Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.688,-,EVEN,Total SG:T: -60.784,Measured Rounds: 36
SG: Tee-to-Green,-1.459,-,EVEN,SG:OTT: -1.263,Measured Rounds: 36
SG: Off-the-Tee,-1.263,-,EVEN,Total SG:OTT: -45.479,Measured Rounds: 36
SG: Approach the Green,-0.563,-,EVEN,Total SG:APP: -20.283,Measured Rounds: 36
SG: Around-the-Green,0.368,-,EVEN,Total SG:ARG: 13.251,Measured Rounds: 36
SG: Putting,-0.230,-,EVEN,Total SG:Putting: -8.273,Measured Rounds: 36
Longest Drives,345,431,EVEN,Tournament: THE CJ CUP,Round: 2
Driving Distance,290.9,-,EVEN,"Total Distance: 26,179",Total Drives: 90
Driving Distance - All Drives,280.2,-,EVEN,"Total Distance: 138,430",# of Drives: 494
Driving Accuracy Percentage,56.29%,-,EVEN,Fairways Hit: 349,Possible Fairways: 620
Left Rough Tendency,13.76%,-,EVEN,Total Left rough: 67,Possible Fwys: 487
Right Rough Tendency,23.20%,-,EVEN,Total Right rough: 113,Possible Fwys: 487
Distance from Edge of Fairway,30' 11,-,EVEN,"Total Distance (Feet): 6,840.167",Total Strokes: 221
Club Head Speed,111.69,-,EVEN,"Total Club Head Speed: 18,652.37",Total Attempts: 167
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,59.88%,-,EVEN,Greens Hit: 485,# Holes: 810
Proximity to Hole,39' 1,-,EVEN,"Total Distance (feet): 25,034.583",# of Attempts: 641
Approaches from > 275 yards,84' 0,-,EVEN,Total Distance (feet): 756.333,# of Attempts: 9
Approaches from 250-275 yards,55' 3,-,EVEN,Total Distance (feet): 718.750,# of Attempts: 13
Approaches from 225-250 yards,55' 9,-,EVEN,"Total Distance (feet): 1,839.750",# of Attempts: 33
Approaches from 200-225 yards,43' 5,-,EVEN,"Total Distance (feet): 2,689.917",# of Attempts: 62
Approaches from > 200 yards,51' 4,-,EVEN,"Total Distance (feet): 6,004.750",# of Attempts: 117
Approaches from 175-200 yards,36' 5,-,EVEN,"Total Distance (feet): 3,637.500",# of Attempts: 100
Approaches from 150-175 yards,29' 8,-,EVEN,"Total Distance (feet): 2,786.667",# of Attempts: 94
Approaches from 125-150 yards,22' 4,-,EVEN,"Total Distance (feet): 1,251.750",# of Attempts: 56
Approaches from 50-125 yards,18' 6,-,EVEN,"Total Distance (feet): 1,461.417",# of Attempts: 79
Approaches from 100-125 yards,21' 2,-,EVEN,Total Distance (feet): 783.000,# of Attempts: 37
Approaches from 75-100 yards,17' 7,-,EVEN,Total Distance (feet): 545.500,# of Attempts: 31
Approaches from 50-75 yards,12' 1,-,EVEN,Total Distance (feet): 132.917,# of Attempts: 11
Approaches from inside 100 yards,16' 8,-,EVEN,Total Distance (feet): 734.167,# of Attempts: 44
Approaches from > 100 yards,35' 10,-,EVEN,"Total Distance (feet): 14,463.667",# of Attempts: 404
Fairway Proximity,33' 11,-,EVEN,: ,Attempts: 448
Rough Proximity,48' 9,-,EVEN,"Total Distance (inches): 96,476",Attempts: 165
Left Rough Proximity,49' 3,-,EVEN,: ,Attempts: 67
Right Rough Proximity,48' 5,-,EVEN,: ,Attempts: 98
Approaches from > 275 yards (Rgh),152' 1,-,EVEN,Total Distance (feet): 304.167,# of Attempts: 2
