Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.808,19,EVEN,Total SG:T: 50.901,Measured Rounds: 63
SG: Tee-to-Green,0.942,12,EVEN,SG:OTT: 0.391,Measured Rounds: 63
SG: Off-the-Tee,0.391,21,EVEN,Total SG:OTT: 24.608,Measured Rounds: 63
SG: Approach the Green,0.476,23,EVEN,Total SG:APP: 30.012,Measured Rounds: 63
SG: Around-the-Green,0.077,66,EVEN,Total SG:ARG: 4.861,Measured Rounds: 63
SG: Putting,-0.134,119,EVEN,Total SG:Putting: -8.426,Measured Rounds: 63
Longest Drives,371,197,EVEN,Tournament: Sentry,Round: 4
Driving Distance,289.6,158,EVEN,"Total Distance: 41,705",Total Drives: 144
Driving Distance - All Drives,284.6,155,EVEN,"Total Distance: 249,276",# of Drives: 876
Driving Accuracy Percentage,73.85%,1,EVEN,Fairways Hit: 740,"Possible Fairways: 1,002"
Left Rough Tendency,6.29%,1,EVEN,Total Left rough: 55,Possible Fwys: 875
Right Rough Tendency,12.11%,16,EVEN,Total Right rough: 106,Possible Fwys: 875
Distance from Edge of Fairway,17' 11,2,EVEN,"Total Distance (Feet): 3,975.000",Total Strokes: 222
Club Head Speed,113.30,139,EVEN,"Total Club Head Speed: 34,670.01",Total Attempts: 306
Total Driving Efficiency,305,158,EVEN,: ,Carry Efficiency Rank: 162
Greens in Regulation Percentage,70.52%,12,EVEN,Greens Hit: 914,"# Holes: 1,296"
Proximity to Hole,37' 7,108,EVEN,"Total Distance (feet): 42,305.833","# of Attempts: 1,126"
Approaches from > 275 yards,84' 6,95,EVEN,"Total Distance (feet): 3,126.083",# of Attempts: 37
Approaches from 250-275 yards,64' 0,102,EVEN,"Total Distance (feet): 2,304.500",# of Attempts: 36
Approaches from 225-250 yards,49' 6,74,EVEN,"Total Distance (feet): 3,219.500",# of Attempts: 65
Approaches from 200-225 yards,42' 1,107,EVEN,"Total Distance (feet): 5,217.333",# of Attempts: 124
Approaches from > 200 yards,52' 11,138,EVEN,"Total Distance (feet): 13,867.417",# of Attempts: 262
Approaches from 175-200 yards,35' 6,131,EVEN,"Total Distance (feet): 5,896.417",# of Attempts: 166
Approaches from 150-175 yards,27' 4,52,EVEN,"Total Distance (feet): 4,759.417",# of Attempts: 174
Approaches from 125-150 yards,23' 9,99,EVEN,"Total Distance (feet): 3,180.500",# of Attempts: 134
Approaches from 50-125 yards,18' 4,80,EVEN,"Total Distance (feet): 2,451.500",# of Attempts: 134
Approaches from 100-125 yards,19' 0,68,EVEN,"Total Distance (feet): 1,745.833",# of Attempts: 92
