Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.421,-,EVEN,Total SG:T: -3.370,Measured Rounds: 8
SG: Tee-to-Green,0.072,-,EVEN,SG:OTT: -0.097,Measured Rounds: 8
SG: Off-the-Tee,-0.097,-,EVEN,Total SG:OTT: -0.774,Measured Rounds: 8
SG: Approach the Green,-0.265,-,EVEN,Total SG:APP: -2.122,Measured Rounds: 8
SG: Around-the-Green,0.434,-,EVEN,Total SG:ARG: 3.471,Measured Rounds: 8
SG: Putting,-0.493,-,EVEN,Total SG:Putting: -3.945,Measured Rounds: 8
Longest Drives,343,312,EVEN,Tournament: Rocket Classic,Round: 3
Driving Distance,302.8,-,EVEN,"Total Distance: 4,844",Total Drives: 16
Driving Distance - All Drives,295.7,-,EVEN,"Total Distance: 33,122",# of Drives: 112
Driving Accuracy Percentage,60.71%,-,EVEN,Fairways Hit: 68,Possible Fairways: 112
Left Rough Tendency,12.50%,-,EVEN,Total Left rough: 14,Possible Fwys: 112
Right Rough Tendency,16.07%,-,EVEN,Total Right rough: 18,Possible Fwys: 112
Distance from Edge of Fairway,28' 10,-,EVEN,"Total Distance (Feet): 1,238.083",Total Strokes: 43
Club Head Speed,115.11,-,EVEN,"Total Club Head Speed: 4,028.85",Total Attempts: 35
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,74.31%,-,EVEN,Greens Hit: 107,# Holes: 144
Proximity to Hole,36' 8,-,EVEN,"Total Distance (feet): 5,238.750",# of Attempts: 143
Approaches from > 275 yards,112' 8,-,EVEN,Total Distance (feet): 337.917,# of Attempts: 3
Approaches from 250-275 yards,51' 11,-,EVEN,Total Distance (feet): 259.667,# of Attempts: 5
Approaches from 225-250 yards,56' 9,-,EVEN,Total Distance (feet): 510.917,# of Attempts: 9
Approaches from 200-225 yards,36' 6,-,EVEN,Total Distance (feet): 474.667,# of Attempts: 13
Approaches from > 200 yards,52' 9,-,EVEN,"Total Distance (feet): 1,583.167",# of Attempts: 30
