Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.183,121,EVEN,Total SG:T: -7.312,Measured Rounds: 40
SG: Tee-to-Green,-0.086,114,EVEN,SG:OTT: 0.103,Measured Rounds: 40
SG: Off-the-Tee,0.103,80,EVEN,Total SG:OTT: 4.101,Measured Rounds: 40
SG: Approach the Green,-0.108,119,EVEN,Total SG:APP: -4.323,Measured Rounds: 40
SG: Around-the-Green,-0.081,118,EVEN,Total SG:ARG: -3.227,Measured Rounds: 40
SG: Putting,-0.097,115,EVEN,Total SG:Putting: -3.864,Measured Rounds: 40
Longest Drives,372,139,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,304.8,59,EVEN,"Total Distance: 28,649",Total Drives: 94
Driving Distance - All Drives,298.7,33,EVEN,"Total Distance: 166,072",# of Drives: 556
Driving Accuracy Percentage,53.06%,157,EVEN,Fairways Hit: 347,Possible Fairways: 654
Left Rough Tendency,12.34%,64,EVEN,Total Left rough: 68,Possible Fwys: 551
Right Rough Tendency,20.87%,167,EVEN,Total Right rough: 115,Possible Fwys: 551
Distance from Edge of Fairway,28' 9,88,EVEN,"Total Distance (Feet): 6,952.083",Total Strokes: 242
Club Head Speed,121.08,20,EVEN,"Total Club Head Speed: 22,641.65",Total Attempts: 187
Total Driving Efficiency,314,162,EVEN,: ,Carry Efficiency Rank: 163
Greens in Regulation Percentage,61.82%,158,EVEN,Greens Hit: 523,# Holes: 846
Proximity to Hole,36' 1,33,EVEN,"Total Distance (feet): 25,811.417",# of Attempts: 716
Approaches from > 275 yards,62' 1,7,EVEN,Total Distance (feet): 869.417,# of Attempts: 14
Approaches from 250-275 yards,55' 9,29,EVEN,Total Distance (feet): 669.083,# of Attempts: 12
Approaches from 225-250 yards,42' 9,9,EVEN,"Total Distance (feet): 1,238.667",# of Attempts: 29
Approaches from 200-225 yards,39' 6,42,EVEN,"Total Distance (feet): 2,487.333",# of Attempts: 63
Approaches from > 200 yards,44' 7,1,EVEN,"Total Distance (feet): 5,264.500",# of Attempts: 118
