Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.401,57,EVEN,Total SG:T: 18.457,Measured Rounds: 46
SG: Tee-to-Green,0.477,48,EVEN,SG:OTT: 0.327,Measured Rounds: 46
SG: Off-the-Tee,0.327,33,EVEN,Total SG:OTT: 15.047,Measured Rounds: 46
SG: Approach the Green,0.020,100,EVEN,Total SG:APP: 0.909,Measured Rounds: 46
SG: Around-the-Green,0.130,55,EVEN,Total SG:ARG: 5.965,Measured Rounds: 46
SG: Putting,-0.075,110,EVEN,Total SG:Putting: -3.466,Measured Rounds: 46
Longest Drives,380,101,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,302.3,80,EVEN,"Total Distance: 29,023",Total Drives: 96
Driving Distance - All Drives,295.5,66,EVEN,"Total Distance: 190,304",# of Drives: 644
Driving Accuracy Percentage,58.48%,99,EVEN,Fairways Hit: 393,Possible Fairways: 672
Left Rough Tendency,13.10%,89,EVEN,Total Left rough: 84,Possible Fwys: 641
Right Rough Tendency,17.00%,117,EVEN,Total Right rough: 109,Possible Fwys: 641
Distance from Edge of Fairway,27' 6,77,EVEN,"Total Distance (Feet): 6,959.750",Total Strokes: 253
Club Head Speed,120.04,36,EVEN,"Total Club Head Speed: 26,407.83",Total Attempts: 220
Total Driving Efficiency,275,142,EVEN,: ,Carry Efficiency Rank: 125
Greens in Regulation Percentage,64.35%,127,EVEN,Greens Hit: 556,# Holes: 864
Proximity to Hole,37' 2,72,EVEN,"Total Distance (feet): 30,410.583",# of Attempts: 819
Approaches from > 275 yards,68' 7,17,EVEN,Total Distance (feet): 823.417,# of Attempts: 12
Approaches from 250-275 yards,51' 10,9,EVEN,"Total Distance (feet): 1,295.667",# of Attempts: 25
Approaches from 225-250 yards,51' 3,103,EVEN,"Total Distance (feet): 2,306.500",# of Attempts: 45
Approaches from 200-225 yards,40' 2,57,EVEN,"Total Distance (feet): 2,732.917",# of Attempts: 68
Approaches from > 200 yards,47' 9,18,EVEN,"Total Distance (feet): 7,158.500",# of Attempts: 150
Approaches from 175-200 yards,37' 5,158,EVEN,"Total Distance (feet): 3,891.667",# of Attempts: 104
Approaches from 150-175 yards,30' 5,146,EVEN,"Total Distance (feet): 3,440.167",# of Attempts: 113
Approaches from 125-150 yards,24' 2,95,EVEN,"Total Distance (feet): 2,223.917",# of Attempts: 92
Approaches from 50-125 yards,18' 10,88,EVEN,"Total Distance (feet): 2,358.333",# of Attempts: 125
Approaches from 100-125 yards,21' 1,123,EVEN,"Total Distance (feet): 1,580.333",# of Attempts: 75
Approaches from 75-100 yards,15' 10,46,EVEN,Total Distance (feet): 679.250,# of Attempts: 43
Approaches from 50-75 yards,14' 1,59,EVEN,Total Distance (feet): 98.750,# of Attempts: 7
Approaches from inside 100 yards,15' 5,35,EVEN,Total Distance (feet): 803.417,# of Attempts: 52
Approaches from > 100 yards,34' 3,82,EVEN,"Total Distance (feet): 18,294.583",# of Attempts: 534
Fairway Proximity,32' 7,73,EVEN,: ,Attempts: 586
Rough Proximity,42' 10,37,EVEN,"Total Distance (inches): 84,340",Attempts: 164
Left Rough Proximity,46' 0,112,EVEN,: ,Attempts: 71
Right Rough Proximity,40' 6,18,EVEN,: ,Attempts: 93
Approaches from > 275 yards (Rgh),56' 10,10,EVEN,Total Distance (feet): 227.250,# of Attempts: 4
Approaches from 250-275 yards (Rgh),75' 9,80,EVEN,Total Distance (feet): 378.750,# of Attempts: 5
Approaches from 225-250 yards (Rgh),60' 1,29,EVEN,Total Distance (feet): 480.333,# of Attempts: 8
Approaches from 200-225 yards (Rgh),64' 0,80,EVEN,Total Distance (feet): 639.917,# of Attempts: 10
Approaches from > 100 yards (Rgh),45' 11,33,EVEN,"Total Distance (feet): 6,663.250",# of Attempts: 145
Approaches from inside 100 yards (Rgh),19' 3,13,EVEN,Total Distance (feet): 365.083,# of Attempts: 19
Approaches from > 200 yards (Rgh),63' 11,18,EVEN,"Total Distance (feet): 1,726.250",# of Attempts: 27
Approaches from 175-200 yards (Rgh),60' 9,146,EVEN,"Total Distance (feet): 1,336.417",# of Attempts: 22
Approaches from 150-175 yards (Rgh),41' 8,49,EVEN,"Total Distance (feet): 1,706.917",# of Attempts: 41
Approaches from 125-150 yards (Rgh),36' 0,70,EVEN,"Total Distance (feet): 1,296.917",# of Attempts: 36
Approaches from 50-125 yards (Rgh),25' 6,38,EVEN,Total Distance (feet): 918.167,# of Attempts: 36
Approaches from 100-125 yards (Rgh),31' 5,87,EVEN,Total Distance (feet): 596.750,# of Attempts: 19
Approaches from 75-100 yards (Rgh),21' 4,36,EVEN,Total Distance (feet): 170.667,# of Attempts: 8
Approaches from 50-75 yards (Rgh),16' 9,22,EVEN,Total Distance (feet): 150.750,# of Attempts: 9
Going for the Green,56.32%,111,EVEN,Attempts: 107,Non-Attempts: 83
