Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.363,136,EVEN,Total SG:T: -15.227,Measured Rounds: 42
SG: Tee-to-Green,0.235,74,EVEN,SG:OTT: -0.077,Measured Rounds: 42
SG: Off-the-Tee,-0.077,118,EVEN,Total SG:OTT: -3.227,Measured Rounds: 42
SG: Approach the Green,0.110,73,EVEN,Total SG:APP: 4.632,Measured Rounds: 42
SG: Around-the-Green,0.202,37,EVEN,Total SG:ARG: 8.471,Measured Rounds: 42
SG: Putting,-0.598,162,EVEN,Total SG:Putting: -25.102,Measured Rounds: 42
Longest Drives,352,266,EVEN,Tournament: Sony Open,Round: 2
Driving Distance,293.9,151,EVEN,"Total Distance: 29,975",Total Drives: 102
Driving Distance - All Drives,287.3,147,EVEN,"Total Distance: 166,049",# of Drives: 578
Driving Accuracy Percentage,64.91%,27,EVEN,Fairways Hit: 457,Possible Fairways: 704
Left Rough Tendency,10.76%,22,EVEN,Total Left rough: 62,Possible Fwys: 576
Right Rough Tendency,15.63%,83,EVEN,Total Right rough: 90,Possible Fwys: 576
Distance from Edge of Fairway,23' 4,24,EVEN,"Total Distance (Feet): 4,782.333",Total Strokes: 205
Club Head Speed,114.42,130,EVEN,"Total Club Head Speed: 21,167.71",Total Attempts: 185
Total Driving Efficiency,305,159,EVEN,: ,Carry Efficiency Rank: 169
Greens in Regulation Percentage,67.32%,49,EVEN,Greens Hit: 618,# Holes: 918
Proximity to Hole,36' 10,56,EVEN,"Total Distance (feet): 27,622.000",# of Attempts: 750
Approaches from > 275 yards,73' 6,34,EVEN,"Total Distance (feet): 1,470.083",# of Attempts: 20
Approaches from 250-275 yards,66' 9,116,EVEN,"Total Distance (feet): 1,401.833",# of Attempts: 21
Approaches from 225-250 yards,47' 8,45,EVEN,"Total Distance (feet): 1,953.583",# of Attempts: 41
Approaches from 200-225 yards,42' 1,93,EVEN,"Total Distance (feet): 2,736.083",# of Attempts: 65
Approaches from > 200 yards,51' 5,91,EVEN,"Total Distance (feet): 7,561.583",# of Attempts: 147
Approaches from 175-200 yards,32' 7,50,EVEN,"Total Distance (feet): 3,911.500",# of Attempts: 120
Approaches from 150-175 yards,26' 6,26,EVEN,"Total Distance (feet): 2,863.333",# of Attempts: 108
Approaches from 125-150 yards,24' 5,107,EVEN,"Total Distance (feet): 1,758.167",# of Attempts: 72
Approaches from 50-125 yards,17' 8,41,EVEN,"Total Distance (feet): 1,837.333",# of Attempts: 104
Approaches from 100-125 yards,16' 4,5,EVEN,Total Distance (feet): 782.333,# of Attempts: 48
Approaches from 75-100 yards,17' 5,79,EVEN,Total Distance (feet): 732.833,# of Attempts: 42
Approaches from 50-75 yards,23' 0,164,EVEN,Total Distance (feet): 322.167,# of Attempts: 14
Approaches from inside 100 yards,18' 3,125,EVEN,"Total Distance (feet): 1,075.583",# of Attempts: 59
Approaches from > 100 yards,34' 1,66,EVEN,"Total Distance (feet): 16,876.917",# of Attempts: 495
Fairway Proximity,32' 5,62,EVEN,: ,Attempts: 554
Rough Proximity,46' 9,134,EVEN,"Total Distance (inches): 80,262",Attempts: 143
Left Rough Proximity,44' 3,83,EVEN,: ,Attempts: 60
Right Rough Proximity,48' 7,137,EVEN,: ,Attempts: 83
Approaches from > 275 yards (Rgh),90' 3,74,EVEN,Total Distance (feet): 360.917,# of Attempts: 4
Approaches from 250-275 yards (Rgh),47' 9,7,EVEN,Total Distance (feet): 190.917,# of Attempts: 4
Approaches from 225-250 yards (Rgh),65' 8,52,EVEN,Total Distance (feet): 394.167,# of Attempts: 6
Approaches from 200-225 yards (Rgh),49' 3,6,EVEN,Total Distance (feet): 738.833,# of Attempts: 15
Approaches from > 100 yards (Rgh),49' 2,106,EVEN,"Total Distance (feet): 6,288.750",# of Attempts: 128
Approaches from inside 100 yards (Rgh),26' 8,117,EVEN,Total Distance (feet): 399.750,# of Attempts: 15
Approaches from > 200 yards (Rgh),58' 1,2,EVEN,"Total Distance (feet): 1,684.833",# of Attempts: 29
Approaches from 175-200 yards (Rgh),55' 10,123,EVEN,"Total Distance (feet): 1,452.667",# of Attempts: 26
Approaches from 150-175 yards (Rgh),51' 3,160,EVEN,"Total Distance (feet): 1,948.333",# of Attempts: 38
Approaches from 125-150 yards (Rgh),35' 9,65,EVEN,Total Distance (feet): 714.833,# of Attempts: 20
Approaches from 50-125 yards (Rgh),29' 4,116,EVEN,Total Distance (feet): 821.500,# of Attempts: 28
Approaches from 100-125 yards (Rgh),32' 6,104,EVEN,Total Distance (feet): 488.083,# of Attempts: 15
Approaches from 75-100 yards (Rgh),26' 11,106,EVEN,Total Distance (feet): 161.417,# of Attempts: 6
Approaches from 50-75 yards (Rgh),24' 7,102,EVEN,Total Distance (feet): 172.000,# of Attempts: 7
Going for the Green,57.79%,95,EVEN,Attempts: 89,Non-Attempts: 65
Going for the Green - Hit Green Pct.,28.09%,25,EVEN,Successes: 25,Attempts: 89
Going for the Green - Birdie or Better,57.30%,118,EVEN,# of Birdie or Better: 51,Attempts: 89
Total Hole Outs,10,98,EVEN,: ,: 
Longest Hole Outs (in yards),14,219,EVEN,Tournament: Valero,Round- Course: 3
Scrambling,59.00%,108,EVEN,Par or Better: 177,Missed GIR: 300
Scrambling from the Rough,50.00%,158,EVEN,Successes: 57,Attempts: 114
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,27.91%,105,EVEN,Successes: 12,Attempts: 43
Scrambling from 20-30 yards,55.10%,70,EVEN,Successes: 27,Attempts: 49
Scrambling from 10-20 yards,67.54%,66,EVEN,Successes: 77,Attempts: 114
Scrambling from < 10 yards,87.80%,74,EVEN,Successes: 36,Attempts: 41
Sand Save Percentage,67.50%,11,EVEN,# Saves: 54,# Bunkers: 80
Proximity to Hole from Sand,7' 1,3,EVEN,Total Distance (feet): 419.917,# of Shots: 59
Total Putting,247.7,148,EVEN,: ,: 
Putting Average,1.798,158,EVEN,"GIR Putts: 1,111",Greens Hit: 618
Overall Putting Average,1.641,156,EVEN,"# of Putts: 1,506",# of Holes: 918
Birdie or Better Conversion Percentage,27.51%,168,EVEN,# Birdies: 170,Greens Hit: 618
Putts Per Round,29.53,156,EVEN,"Total Putts: 1,506",Total Rounds: 51
Putts per Round - Round 1,29.65,146,EVEN,Total Putts: 504,Total Rounds: 17
Putts per Round - Round 2,29.59,145,EVEN,Total Putts: 503,Total Rounds: 17
Putts per Round - Round 3,30.11,153,EVEN,Total Putts: 271,Total Rounds: 9
Putts per Round - Round 4,28.50,62,EVEN,Total Putts: 228,Total Rounds: 8
One-Putt Percentage,36.17%,163,EVEN,# of 1 putts: 332,# of holes: 918
Longest Putts,40' 8,200,EVEN,Year/Tourn#: Mexico Open,Round: 2
3-Putt Avoidance,2.29%,37,EVEN,Total 3 Putts: 21,Total Holes (overall): 918
Putting from - > 25',4.79%,106,EVEN,Attempts: 188,Putts made: 9
Putting from - 20-25',10.00%,122,EVEN,Attempts: 60,Putts made: 6
Putting from - 15-20',6.98%,171,EVEN,Attempts: 86,Putts made: 6
Putting from - 10-15',26.55%,136,EVEN,Attempts: 113,Putts made: 30
Putting - Inside 10',87.23%,123,EVEN,Attempts: 799,Putts made: 697
Putting from 10',44.83%,54,EVEN,Attempts: 29,: 
Putting from 9',37.04%,137,EVEN,Attempts: 27,: 
Putting from 8',57.14%,63,EVEN,Attempts: 28,: 
Putting from 7',52.00%,149,EVEN,Attempts: 50,: 
Putting from 6',65.00%,139,EVEN,Attempts: 40,: 
Putting from 5',81.48%,87,EVEN,Attempts: 54,: 
Putting from 4-8',65.12%,138,EVEN,Attempts: 172,Putts made: 112
Putting from 4',93.18%,72,EVEN,Attempts: 88,: 
Putting from 3',99.38%,125,EVEN,Attempts: 483,: 
Average Distance of Putts made,65' 11,154,EVEN,"Total Dist. (inches): 33,220",Total Rounds: 42
Approach Putt Performance,2' 2,44,EVEN,: ,Attempts: 477
Scoring Average (Adjusted),71.315,123,EVEN,"Total Strokes: 3,596",Total Adjustment: 41.056
Scoring Average (Actual),70.51,106,EVEN,"Total Strokes: 3,596",Total Rounds: 51
Lowest Round,65,129,EVEN,Tourn/Course: Sony Open/Waial,Round: 2
Birdie Average,3.45,151,EVEN,# of Birdies: 176,Total Rounds: 51
Total Birdies,176,111,EVEN,: ,: 
Eagles (Holes per),229.5,111,EVEN,# of Holes: 918,# of Eagles: 4
Total Eagles,4,100,EVEN,: ,: 
Par Breakers,19.61%,155,EVEN,# Birdies/Eagles: 180,# Holes: 918
Bounce Back,15.44%,165,EVEN,: ,: 
Par 3 Birdie or Better Leaders,14.02%,65,EVEN,Par 3 Birdies or Better: 30,Par 3 Holes: 214
Par 4 Birdie or Better Leaders,14.18%,164,EVEN,Par 4 Birdies or Better: 76,Par 4 Holes: 536
Par 5 Birdie or Better Leaders,44.05%,121,EVEN,Par 5 Birdies or Better: 74,Par 5 Holes: 168
Birdie or Better Percentage,19.61%,155,EVEN,Total Birdies: 180,Total Holes: 918
Bogey Avoidance,15.36%,66,EVEN,Bogeys: 141,Holes Played: 918
Final Round Scoring Average,71.50,137,EVEN,Total Strokes: 572,Total Rounds: 8
Final Round Performance,22.22%,164,EVEN,: ,: 
Round 1 Scoring Average,70.18,70,EVEN,"Total Strokes: 1,193",Total Rounds: 17
Round 2 Scoring Average,69.94,53,EVEN,"Total Strokes: 1,189",Total Rounds: 17
Round 3 Scoring Average,71.33,145,EVEN,Total Strokes: 642,Total Rounds: 9
Round 4 Scoring Average,71.50,137,EVEN,Total Strokes: 572,Total Rounds: 8
Par 3 Scoring Average,3.07,94,EVEN,Total Strokes: 657,Total Holes: 214
Par 4 Scoring Average,4.04,114,EVEN,"Total Strokes: 2,167",Total Holes: 536
Par 5 Scoring Average,4.60,74,EVEN,Total Strokes: 772,Total Holes: 168
Front 9 Scoring Average,35.43,141,EVEN,"Total Strokes: 1,807",Total Holes: 51
Back 9 Scoring Average,35.08,43,EVEN,"Total Strokes: 1,789",Total Holes: 51
Early Scoring Average,70.56,116,EVEN,"Total Strokes: 1,905",Total Early Rounds: 27
Late Scoring Average,70.46,88,EVEN,"Total Strokes: 1,691",Total Late Rounds: 24
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,1,426,EVEN,: ,: 
Consecutive Fairways Hit,13,95,EVEN,Current Streak: 3,: 
Consecutive GIR,22,19,EVEN,Current Streak: 9,Round: 1
Consecutive Sand Saves,7,62,EVEN,Current Streak: 0,Round: 2
Best YTD 1-Putt or Better Streak,9,21,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,211,18,EVEN,Current Streak: 1,: 
YTD Par or Better Streak,17,15,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,1,181,EVEN,: ,: 
Official Money,"$247,163",171,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,96,168,EVEN,# of Wins: 0,# of Top 10's: 0
