Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.513,48,EVEN,Total SG:T: 17.450,Measured Rounds: 34
SG: Tee-to-Green,0.239,72,EVEN,SG:OTT: 0.671,Measured Rounds: 34
SG: Off-the-Tee,0.671,4,EVEN,Total SG:OTT: 22.808,Measured Rounds: 34
SG: Approach the Green,-0.061,110,EVEN,Total SG:APP: -2.090,Measured Rounds: 34
SG: Around-the-Green,-0.371,160,EVEN,Total SG:ARG: -12.605,Measured Rounds: 34
SG: Putting,0.275,29,EVEN,Total SG:Putting: 9.339,Measured Rounds: 34
Longest Drives,394,68,EVEN,Tournament: Sony Open,Round: 2
Driving Distance,327.4,1,EVEN,"Total Distance: 25,537",Total Drives: 78
Driving Distance - All Drives,313.1,1,EVEN,"Total Distance: 146,550",# of Drives: 468
Driving Accuracy Percentage,54.83%,142,EVEN,Fairways Hit: 295,Possible Fairways: 538
Left Rough Tendency,13.70%,103,EVEN,Total Left rough: 63,Possible Fwys: 460
Right Rough Tendency,16.74%,108,EVEN,Total Right rough: 77,Possible Fwys: 460
Distance from Edge of Fairway,38' 8,169,EVEN,"Total Distance (Feet): 7,417.333",Total Strokes: 192
Club Head Speed,125.83,2,EVEN,"Total Club Head Speed: 17,867.85",Total Attempts: 142
Total Driving Efficiency,55,26,EVEN,: ,Carry Efficiency Rank: 19
Greens in Regulation Percentage,65.53%,93,EVEN,Greens Hit: 460,# Holes: 702
Proximity to Hole,39' 8,152,EVEN,"Total Distance (feet): 24,095.667",# of Attempts: 608
Approaches from > 275 yards,91' 7,145,EVEN,"Total Distance (feet): 1,098.667",# of Attempts: 12
Approaches from 250-275 yards,77' 8,164,EVEN,"Total Distance (feet): 1,009.417",# of Attempts: 13
Approaches from 225-250 yards,49' 0,65,EVEN,"Total Distance (feet): 1,371.500",# of Attempts: 28
Approaches from 200-225 yards,43' 7,119,EVEN,"Total Distance (feet): 2,177.417",# of Attempts: 50
Approaches from > 200 yards,54' 11,151,EVEN,"Total Distance (feet): 5,657.000",# of Attempts: 103
Approaches from 175-200 yards,36' 10,147,EVEN,"Total Distance (feet): 2,686.250",# of Attempts: 73
Approaches from 150-175 yards,29' 3,119,EVEN,"Total Distance (feet): 2,310.083",# of Attempts: 79
Approaches from 125-150 yards,24' 6,111,EVEN,"Total Distance (feet): 1,713.167",# of Attempts: 70
Approaches from 50-125 yards,18' 11,99,EVEN,"Total Distance (feet): 1,648.750",# of Attempts: 87
Approaches from 100-125 yards,20' 0,93,EVEN,"Total Distance (feet): 1,021.583",# of Attempts: 51
Approaches from 75-100 yards,17' 8,89,EVEN,Total Distance (feet): 405.583,# of Attempts: 23
Approaches from 50-75 yards,17' 1,112,EVEN,Total Distance (feet): 221.583,# of Attempts: 13
Approaches from inside 100 yards,18' 3,125,EVEN,Total Distance (feet): 693.167,# of Attempts: 38
Approaches from > 100 yards,35' 7,129,EVEN,"Total Distance (feet): 13,388.083",# of Attempts: 376
Fairway Proximity,34' 0,136,EVEN,: ,Attempts: 414
Rough Proximity,44' 4,70,EVEN,"Total Distance (inches): 68,685",Attempts: 129
Left Rough Proximity,46' 5,117,EVEN,: ,Attempts: 63
Right Rough Proximity,42' 5,36,EVEN,: ,Attempts: 66
Approaches from > 275 yards (Rgh),137' 3,155,EVEN,Total Distance (feet): 411.667,# of Attempts: 3
Approaches from 250-275 yards (Rgh),57' 2,17,EVEN,Total Distance (feet): 457.333,# of Attempts: 8
Approaches from 225-250 yards (Rgh),80' 3,134,EVEN,Total Distance (feet): 562.000,# of Attempts: 7
Approaches from 200-225 yards (Rgh),59' 10,56,EVEN,Total Distance (feet): 478.833,# of Attempts: 8
Approaches from > 100 yards (Rgh),49' 0,100,EVEN,"Total Distance (feet): 5,192.917",# of Attempts: 106
Approaches from inside 100 yards (Rgh),23' 1,61,EVEN,Total Distance (feet): 530.833,# of Attempts: 23
Approaches from > 200 yards (Rgh),73' 5,101,EVEN,"Total Distance (feet): 1,909.833",# of Attempts: 26
Approaches from 175-200 yards (Rgh),54' 4,106,EVEN,Total Distance (feet): 543.083,# of Attempts: 10
Approaches from 150-175 yards (Rgh),44' 8,90,EVEN,Total Distance (feet): 983.000,# of Attempts: 22
Approaches from 125-150 yards (Rgh),38' 7,107,EVEN,"Total Distance (feet): 1,235.917",# of Attempts: 32
Approaches from 50-125 yards (Rgh),27' 0,68,EVEN,"Total Distance (feet): 1,051.917",# of Attempts: 39
Approaches from 100-125 yards (Rgh),32' 7,106,EVEN,Total Distance (feet): 521.083,# of Attempts: 16
Approaches from 75-100 yards (Rgh),18' 1,9,EVEN,Total Distance (feet): 235.167,# of Attempts: 13
Approaches from 50-75 yards (Rgh),29' 7,142,EVEN,Total Distance (feet): 295.667,# of Attempts: 10
Going for the Green,71.11%,10,EVEN,Attempts: 96,Non-Attempts: 39
Going for the Green - Hit Green Pct.,18.10%,140,EVEN,Successes: 19,Attempts: 105
Going for the Green - Birdie or Better,56.19%,131,EVEN,# of Birdie or Better: 59,Attempts: 105
Total Hole Outs,11,76,EVEN,: ,: 
Longest Hole Outs (in yards),173,22,EVEN,Tournament: Farmers,Round- Course: 3
Scrambling,53.31%,163,EVEN,Par or Better: 129,Missed GIR: 242
Scrambling from the Rough,55.67%,105,EVEN,Successes: 54,Attempts: 97
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,17.50%,163,EVEN,Successes: 7,Attempts: 40
Scrambling from 20-30 yards,50.00%,119,EVEN,Successes: 19,Attempts: 38
Scrambling from 10-20 yards,57.61%,166,EVEN,Successes: 53,Attempts: 92
Scrambling from < 10 yards,84.21%,126,EVEN,Successes: 32,Attempts: 38
Sand Save Percentage,63.79%,26,EVEN,# Saves: 37,# Bunkers: 58
Proximity to Hole from Sand,7' 9,13,EVEN,Total Distance (feet): 287.667,# of Shots: 37
Total Putting,111.9,20,EVEN,: ,: 
Putting Average,1.728,23,EVEN,GIR Putts: 795,Greens Hit: 460
Overall Putting Average,1.577,26,EVEN,"# of Putts: 1,107",# of Holes: 702
Birdie or Better Conversion Percentage,34.20%,27,EVEN,# Birdies: 157,Greens Hit: 459
Putts Per Round,28.38,26,EVEN,"Total Putts: 1,107",Total Rounds: 39
Putts per Round - Round 1,28.50,51,EVEN,Total Putts: 399,Total Rounds: 14
Putts per Round - Round 2,28.43,55,EVEN,Total Putts: 398,Total Rounds: 14
Putts per Round - Round 3,27.50,15,EVEN,Total Putts: 165,Total Rounds: 6
Putts per Round - Round 4,29.00,104,EVEN,Total Putts: 145,Total Rounds: 5
One-Putt Percentage,41.31%,46,EVEN,# of 1 putts: 290,# of holes: 702
Longest Putts,36' 4,231,EVEN,Year/Tourn#: Valspar,Round: 2
3-Putt Avoidance,2.14%,29,EVEN,Total 3 Putts: 15,Total Holes (overall): 702
Putting from - > 25',2.08%,167,EVEN,Attempts: 144,Putts made: 3
Putting from - 20-25',14.58%,50,EVEN,Attempts: 48,Putts made: 7
Putting from - 15-20',20.90%,61,EVEN,Attempts: 67,Putts made: 14
Putting from - 10-15',36.67%,19,EVEN,Attempts: 90,Putts made: 33
Putting - Inside 10',89.07%,36,EVEN,Attempts: 613,Putts made: 546
Putting from 10',36.36%,113,EVEN,Attempts: 22,: 
Putting from 9',60.00%,12,EVEN,Attempts: 20,: 
Putting from 8',50.00%,106,EVEN,Attempts: 20,: 
Putting from 7',61.29%,84,EVEN,Attempts: 31,: 
Putting from 6',70.00%,100,EVEN,Attempts: 30,: 
Putting from 5',84.09%,61,EVEN,Attempts: 44,: 
Putting from 4-8',69.60%,77,EVEN,Attempts: 125,Putts made: 87
Putting from 4',93.24%,71,EVEN,Attempts: 74,: 
Putting from 3',99.46%,115,EVEN,Attempts: 372,: 
Average Distance of Putts made,69' 11,113,EVEN,"Total Dist. (inches): 28,536",Total Rounds: 34
Approach Putt Performance,2' 3,92,EVEN,: ,Attempts: 346
Scoring Average (Adjusted),71.115,95,EVEN,"Total Strokes: 2,752",Total Adjustment: 21.484
Scoring Average (Actual),70.56,113,EVEN,"Total Strokes: 2,752",Total Rounds: 39
Lowest Round,61,2,EVEN,Tourn/Course: Mexico Open/Vid,Round: 2
Birdie Average,4.15,19,EVEN,# of Birdies: 162,Total Rounds: 39
Total Birdies,162,131,EVEN,: ,: 
Eagles (Holes per),234.0,116,EVEN,# of Holes: 702,# of Eagles: 3
Total Eagles,3,127,EVEN,: ,: 
Par Breakers,23.50%,24,EVEN,# Birdies/Eagles: 165,# Holes: 702
Bounce Back,20.66%,106,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.41%,84,EVEN,Par 3 Birdies or Better: 22,Par 3 Holes: 164
Par 4 Birdie or Better Leaders,21.25%,4,EVEN,Par 4 Birdies or Better: 85,Par 4 Holes: 400
Par 5 Birdie or Better Leaders,42.03%,148,EVEN,Par 5 Birdies or Better: 58,Par 5 Holes: 138
Birdie or Better Percentage,23.50%,24,EVEN,Total Birdies: 165,Total Holes: 702
Bogey Avoidance,17.81%,148,EVEN,Bogeys: 125,Holes Played: 702
Final Round Scoring Average,72.40,157,EVEN,Total Strokes: 362,Total Rounds: 5
Final Round Performance,60.00%,60,EVEN,: ,: 
Round 1 Scoring Average,69.79,47,EVEN,Total Strokes: 977,Total Rounds: 14
Round 2 Scoring Average,71.57,159,EVEN,"Total Strokes: 1,002",Total Rounds: 14
Round 3 Scoring Average,68.50,6,EVEN,Total Strokes: 411,Total Rounds: 6
Round 4 Scoring Average,72.40,157,EVEN,Total Strokes: 362,Total Rounds: 5
Par 3 Scoring Average,3.06,80,EVEN,Total Strokes: 502,Total Holes: 164
Par 4 Scoring Average,4.02,75,EVEN,"Total Strokes: 1,607",Total Holes: 400
Par 5 Scoring Average,4.66,132,EVEN,Total Strokes: 643,Total Holes: 138
Front 9 Scoring Average,35.49,147,EVEN,"Total Strokes: 1,384",Total Holes: 39
Back 9 Scoring Average,35.08,43,EVEN,"Total Strokes: 1,368",Total Holes: 39
Early Scoring Average,70.88,140,EVEN,"Total Strokes: 1,205",Total Early Rounds: 17
Late Scoring Average,70.32,67,EVEN,"Total Strokes: 1,547",Total Late Rounds: 22
Consecutive Cuts,2,99,EVEN,: ,: 
Current Streak without a 3-Putt,100,11,EVEN,: ,: 
Consecutive Fairways Hit,11,160,EVEN,Current Streak: 6,: 
Consecutive GIR,17,80,EVEN,Current Streak: 3,Round: 1
Consecutive Sand Saves,7,62,EVEN,Current Streak: 3,Round: 2
Best YTD 1-Putt or Better Streak,7,91,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,149,67,EVEN,Current Streak: 100,: 
YTD Par or Better Streak,8,112,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,5,10,EVEN,: ,: 
Consecutive Birdies Streak,5,9,EVEN,: ,: 
Consecutive Birdies/Eagles streak,4,8,EVEN,: ,: 
Official Money,"$2,950,266",41,EVEN,: ,YTD Victories: 1
Comcast Business TOUR TOP 10,941,36,EVEN,# of Wins: 1,# of Top 10's: 3
