Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.223,128,EVEN,Total SG:T: -9.598,Measured Rounds: 43
SG: Tee-to-Green,0.357,54,EVEN,SG:OTT: 0.352,Measured Rounds: 43
SG: Off-the-Tee,0.352,25,EVEN,Total SG:OTT: 15.128,Measured Rounds: 43
SG: Approach the Green,-0.162,124,EVEN,Total SG:APP: -6.956,Measured Rounds: 43
SG: Around-the-Green,0.167,38,EVEN,Total SG:ARG: 7.162,Measured Rounds: 43
SG: Putting,-0.580,161,EVEN,Total SG:Putting: -24.933,Measured Rounds: 43
Longest Drives,380,128,EVEN,Tournament: Genesis Scottish Open,Round: 1
Driving Distance,314.2,17,EVEN,"Total Distance: 32,367",Total Drives: 103
Driving Distance - All Drives,301.1,23,EVEN,"Total Distance: 177,621",# of Drives: 590
Driving Accuracy Percentage,56.15%,122,EVEN,Fairways Hit: 402,Possible Fairways: 716
Left Rough Tendency,15.75%,130,EVEN,Total Left rough: 92,Possible Fwys: 584
Right Rough Tendency,14.38%,62,EVEN,Total Right rough: 84,Possible Fwys: 584
Distance from Edge of Fairway,28' 10,98,EVEN,"Total Distance (Feet): 7,462.000",Total Strokes: 259
Club Head Speed,121.64,15,EVEN,"Total Club Head Speed: 22,503.08",Total Attempts: 185
Total Driving Efficiency,301,156,EVEN,: ,Carry Efficiency Rank: 153
Greens in Regulation Percentage,64.53%,129,EVEN,Greens Hit: 604,# Holes: 936
Proximity to Hole,37' 6,105,EVEN,"Total Distance (feet): 28,725.750",# of Attempts: 766
Approaches from > 275 yards,77' 0,55,EVEN,"Total Distance (feet): 1,232.000",# of Attempts: 16
Approaches from 250-275 yards,66' 6,120,EVEN,"Total Distance (feet): 1,063.583",# of Attempts: 16
Approaches from 225-250 yards,39' 0,1,EVEN,"Total Distance (feet): 1,014.333",# of Attempts: 26
Approaches from 200-225 yards,42' 4,117,EVEN,"Total Distance (feet): 2,582.833",# of Attempts: 61
Approaches from > 200 yards,49' 6,61,EVEN,"Total Distance (feet): 5,892.750",# of Attempts: 119
Approaches from 175-200 yards,29' 4,6,EVEN,"Total Distance (feet): 2,965.750",# of Attempts: 101
Approaches from 150-175 yards,29' 1,124,EVEN,"Total Distance (feet): 2,531.750",# of Attempts: 87
Approaches from 125-150 yards,26' 3,157,EVEN,"Total Distance (feet): 2,229.167",# of Attempts: 85
Approaches from 50-125 yards,19' 0,114,EVEN,"Total Distance (feet): 1,896.167",# of Attempts: 100
Approaches from 100-125 yards,18' 1,27,EVEN,"Total Distance (feet): 1,120.667",# of Attempts: 62
Approaches from 75-100 yards,22' 0,161,EVEN,Total Distance (feet): 682.167,# of Attempts: 31
Approaches from 50-75 yards,13' 4,37,EVEN,Total Distance (feet): 93.333,# of Attempts: 7
Approaches from inside 100 yards,20' 4,157,EVEN,Total Distance (feet): 791.750,# of Attempts: 39
Approaches from > 100 yards,32' 6,34,EVEN,"Total Distance (feet): 14,740.083",# of Attempts: 454
Fairway Proximity,31' 6,49,EVEN,: ,Attempts: 493
Rough Proximity,43' 10,51,EVEN,"Total Distance (inches): 87,890",Attempts: 167
Left Rough Proximity,48' 2,151,EVEN,: ,Attempts: 86
Right Rough Proximity,39' 3,6,EVEN,: ,Attempts: 81
Approaches from > 275 yards (Rgh),82' 11,41,EVEN,Total Distance (feet): 497.583,# of Attempts: 6
Approaches from 250-275 yards (Rgh),73' 6,61,EVEN,Total Distance (feet): 367.333,# of Attempts: 5
Approaches from 225-250 yards (Rgh),58' 11,19,EVEN,Total Distance (feet): 825.083,# of Attempts: 14
Approaches from 200-225 yards (Rgh),78' 2,155,EVEN,"Total Distance (feet): 1,094.583",# of Attempts: 14
Approaches from > 100 yards (Rgh),46' 2,29,EVEN,"Total Distance (feet): 6,926.583",# of Attempts: 150
Approaches from inside 100 yards (Rgh),23' 5,40,EVEN,Total Distance (feet): 397.583,# of Attempts: 17
Approaches from > 200 yards (Rgh),71' 5,71,EVEN,"Total Distance (feet): 2,784.583",# of Attempts: 39
Approaches from 175-200 yards (Rgh),48' 5,35,EVEN,Total Distance (feet): 823.667,# of Attempts: 17
Approaches from 150-175 yards (Rgh),42' 11,57,EVEN,"Total Distance (feet): 1,374.167",# of Attempts: 32
Approaches from 125-150 yards (Rgh),32' 9,18,EVEN,"Total Distance (feet): 1,278.333",# of Attempts: 39
Approaches from 50-125 yards (Rgh),27' 1,49,EVEN,"Total Distance (feet): 1,029.583",# of Attempts: 38
Approaches from 100-125 yards (Rgh),28' 11,43,EVEN,Total Distance (feet): 665.833,# of Attempts: 23
Approaches from 75-100 yards (Rgh),19' 9,9,EVEN,Total Distance (feet): 237.250,# of Attempts: 12
Approaches from 50-75 yards (Rgh),42' 2,163,EVEN,Total Distance (feet): 126.500,# of Attempts: 3
Going for the Green,70.37%,10,EVEN,Attempts: 114,Non-Attempts: 48
Going for the Green - Hit Green Pct.,30.17%,13,EVEN,Successes: 35,Attempts: 116
