Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,1.182,9,EVEN,Total SG:T: 57.913,Measured Rounds: 49
SG: Tee-to-Green,0.985,9,EVEN,SG:OTT: 0.454,Measured Rounds: 49
SG: Off-the-Tee,0.454,19,EVEN,Total SG:OTT: 22.265,Measured Rounds: 49
SG: Approach the Green,0.201,60,EVEN,Total SG:APP: 9.842,Measured Rounds: 49
SG: Around-the-Green,0.329,16,EVEN,Total SG:ARG: 16.132,Measured Rounds: 49
SG: Putting,0.197,49,EVEN,Total SG:Putting: 9.674,Measured Rounds: 49
Longest Drives,362,200,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,306.0,47,EVEN,"Total Distance: 34,267",Total Drives: 112
Driving Distance - All Drives,297.8,45,EVEN,"Total Distance: 201,927",# of Drives: 678
Driving Accuracy Percentage,64.82%,29,EVEN,Fairways Hit: 503,Possible Fairways: 776
Left Rough Tendency,12.26%,60,EVEN,Total Left rough: 83,Possible Fwys: 677
Right Rough Tendency,14.18%,54,EVEN,Total Right rough: 96,Possible Fwys: 677
Distance from Edge of Fairway,23' 11,36,EVEN,"Total Distance (Feet): 5,644.500",Total Strokes: 236
Club Head Speed,116.34,87,EVEN,"Total Club Head Speed: 26,410.27",Total Attempts: 227
Total Driving Efficiency,103,55,EVEN,: ,Carry Efficiency Rank: 81
Greens in Regulation Percentage,68.75%,32,EVEN,Greens Hit: 693,"# Holes: 1,008"
Proximity to Hole,37' 3,78,EVEN,"Total Distance (feet): 32,462.917",# of Attempts: 872
Approaches from > 275 yards,90' 10,139,EVEN,"Total Distance (feet): 1,997.917",# of Attempts: 22
Approaches from 250-275 yards,68' 10,127,EVEN,"Total Distance (feet): 1,651.167",# of Attempts: 24
Approaches from 225-250 yards,43' 7,13,EVEN,"Total Distance (feet): 1,916.000",# of Attempts: 44
Approaches from 200-225 yards,37' 1,10,EVEN,"Total Distance (feet): 3,042.667",# of Attempts: 82
Approaches from > 200 yards,50' 1,50,EVEN,"Total Distance (feet): 8,607.750",# of Attempts: 172
Approaches from 175-200 yards,33' 7,80,EVEN,"Total Distance (feet): 4,599.333",# of Attempts: 137
Approaches from 150-175 yards,28' 10,106,EVEN,"Total Distance (feet): 3,290.000",# of Attempts: 114
Approaches from 125-150 yards,22' 6,47,EVEN,"Total Distance (feet): 2,272.833",# of Attempts: 101
Approaches from 50-125 yards,18' 1,58,EVEN,"Total Distance (feet): 1,967.250",# of Attempts: 109
Approaches from 100-125 yards,18' 7,37,EVEN,"Total Distance (feet): 1,209.250",# of Attempts: 65
