Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.022,-,EVEN,Total SG:T: -16.357,Measured Rounds: 16
SG: Tee-to-Green,-0.542,-,EVEN,SG:OTT: 0.029,Measured Rounds: 16
SG: Off-the-Tee,0.029,-,EVEN,Total SG:OTT: 0.467,Measured Rounds: 16
SG: Approach the Green,-0.199,-,EVEN,Total SG:APP: -3.192,Measured Rounds: 16
SG: Around-the-Green,-0.372,-,EVEN,Total SG:ARG: -5.949,Measured Rounds: 16
SG: Putting,-0.480,-,EVEN,Total SG:Putting: -7.683,Measured Rounds: 16
Longest Drives,360,215,EVEN,Tournament: Farmers,Round: 2
Driving Distance,302.8,-,EVEN,"Total Distance: 12,719",Total Drives: 42
Driving Distance - All Drives,291.0,-,EVEN,"Total Distance: 64,024",# of Drives: 220
Driving Accuracy Percentage,55.17%,-,EVEN,Fairways Hit: 160,Possible Fairways: 290
Left Rough Tendency,14.88%,-,EVEN,Total Left rough: 32,Possible Fwys: 215
Right Rough Tendency,20.93%,-,EVEN,Total Right rough: 45,Possible Fwys: 215
Distance from Edge of Fairway,29' 6,-,EVEN,"Total Distance (Feet): 2,745.667",Total Strokes: 93
Club Head Speed,117.64,-,EVEN,"Total Club Head Speed: 9,528.92",Total Attempts: 81
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,68.25%,-,EVEN,Greens Hit: 258,# Holes: 378
Proximity to Hole,39' 8,-,EVEN,"Total Distance (feet): 11,271.250",# of Attempts: 284
Approaches from > 275 yards,90' 8,-,EVEN,Total Distance (feet): 815.917,# of Attempts: 9
Approaches from 250-275 yards,47' 7,-,EVEN,Total Distance (feet): 333.083,# of Attempts: 7
Approaches from 225-250 yards,55' 1,-,EVEN,Total Distance (feet): 826.083,# of Attempts: 15
Approaches from 200-225 yards,49' 0,-,EVEN,"Total Distance (feet): 1,176.833",# of Attempts: 24
Approaches from > 200 yards,57' 4,-,EVEN,"Total Distance (feet): 3,151.917",# of Attempts: 55
Approaches from 175-200 yards,36' 2,-,EVEN,"Total Distance (feet): 1,447.333",# of Attempts: 40
Approaches from 150-175 yards,34' 6,-,EVEN,"Total Distance (feet): 1,620.500",# of Attempts: 47
Approaches from 125-150 yards,25' 2,-,EVEN,Total Distance (feet): 503.750,# of Attempts: 20
Approaches from 50-125 yards,18' 4,-,EVEN,Total Distance (feet): 567.333,# of Attempts: 31
Approaches from 100-125 yards,22' 8,-,EVEN,Total Distance (feet): 385.583,# of Attempts: 17
Approaches from 75-100 yards,15' 0,-,EVEN,Total Distance (feet): 149.667,# of Attempts: 10
Approaches from 50-75 yards,8' 0,-,EVEN,Total Distance (feet): 32.083,# of Attempts: 4
Approaches from inside 100 yards,14' 2,-,EVEN,Total Distance (feet): 212.333,# of Attempts: 15
Approaches from > 100 yards,39' 9,-,EVEN,"Total Distance (feet): 7,109.083",# of Attempts: 179
Fairway Proximity,37' 9,-,EVEN,: ,Attempts: 194
Rough Proximity,44' 0,-,EVEN,"Total Distance (inches): 38,008",Attempts: 72
Left Rough Proximity,43' 9,-,EVEN,: ,Attempts: 31
Right Rough Proximity,44' 2,-,EVEN,: ,Attempts: 41
Approaches from > 275 yards (Rgh),95' 7,-,EVEN,Total Distance (feet): 382.250,# of Attempts: 4
Approaches from 250-275 yards (Rgh),74' 0,-,EVEN,Total Distance (feet): 148.000,# of Attempts: 2
Approaches from 225-250 yards (Rgh),69' 1,-,EVEN,Total Distance (feet): 552.583,# of Attempts: 8
Approaches from 200-225 yards (Rgh),51' 2,-,EVEN,Total Distance (feet): 102.333,# of Attempts: 2
Approaches from > 100 yards (Rgh),49' 1,-,EVEN,"Total Distance (feet): 2,797.417",# of Attempts: 57
Approaches from inside 100 yards (Rgh),24' 8,-,EVEN,Total Distance (feet): 369.917,# of Attempts: 15
Approaches from > 200 yards (Rgh),74' 1,-,EVEN,"Total Distance (feet): 1,185.167",# of Attempts: 16
Approaches from 175-200 yards (Rgh),43' 1,-,EVEN,Total Distance (feet): 559.750,# of Attempts: 13
Approaches from 150-175 yards (Rgh),41' 4,-,EVEN,Total Distance (feet): 578.917,# of Attempts: 14
Approaches from 125-150 yards (Rgh),35' 0,-,EVEN,Total Distance (feet): 210.167,# of Attempts: 6
Approaches from 50-125 yards (Rgh),28' 3,-,EVEN,Total Distance (feet): 620.583,# of Attempts: 22
Approaches from 100-125 yards (Rgh),32' 11,-,EVEN,Total Distance (feet): 263.417,# of Attempts: 8
Approaches from 75-100 yards (Rgh),27' 4,-,EVEN,Total Distance (feet): 327.667,# of Attempts: 12
Approaches from 50-75 yards (Rgh),14' 9,-,EVEN,Total Distance (feet): 29.500,# of Attempts: 2
Going for the Green,63.49%,-,EVEN,Attempts: 40,Non-Attempts: 23
Going for the Green - Hit Green Pct.,22.50%,-,EVEN,Successes: 9,Attempts: 40
Going for the Green - Birdie or Better,47.50%,-,EVEN,# of Birdie or Better: 19,Attempts: 40
Total Hole Outs,2,-,EVEN,: ,: 
