Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.603,39,EVEN,Total SG:T: 36.195,Measured Rounds: 60
SG: Tee-to-Green,0.448,51,EVEN,SG:OTT: 0.135,Measured Rounds: 60
SG: Off-the-Tee,0.135,76,EVEN,Total SG:OTT: 8.128,Measured Rounds: 60
SG: Approach the Green,0.065,87,EVEN,Total SG:APP: 3.885,Measured Rounds: 60
SG: Around-the-Green,0.248,30,EVEN,Total SG:ARG: 14.867,Measured Rounds: 60
SG: Putting,0.155,57,EVEN,Total SG:Putting: 9.316,Measured Rounds: 60
Longest Drives,366,172,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,298.6,105,EVEN,"Total Distance: 37,628",Total Drives: 126
Driving Distance - All Drives,288.9,135,EVEN,"Total Distance: 240,926",# of Drives: 834
Driving Accuracy Percentage,57.65%,110,EVEN,Fairways Hit: 505,Possible Fairways: 876
Left Rough Tendency,12.44%,65,EVEN,Total Left rough: 103,Possible Fwys: 828
Right Rough Tendency,17.51%,128,EVEN,Total Right rough: 145,Possible Fwys: 828
Distance from Edge of Fairway,28' 0,82,EVEN,"Total Distance (Feet): 9,315.583",Total Strokes: 333
Club Head Speed,113.69,140,EVEN,"Total Club Head Speed: 29,673.55",Total Attempts: 261
Total Driving Efficiency,96,46,EVEN,: ,Carry Efficiency Rank: 52
Greens in Regulation Percentage,61.29%,163,EVEN,Greens Hit: 695,"# Holes: 1,134"
Proximity to Hole,36' 11,60,EVEN,"Total Distance (feet): 39,503.250","# of Attempts: 1,070"
Approaches from > 275 yards,79' 4,66,EVEN,"Total Distance (feet): 1,666.250",# of Attempts: 21
Approaches from 250-275 yards,65' 3,103,EVEN,"Total Distance (feet): 2,154.583",# of Attempts: 33
Approaches from 225-250 yards,46' 7,28,EVEN,"Total Distance (feet): 2,979.417",# of Attempts: 64
Approaches from 200-225 yards,44' 6,135,EVEN,"Total Distance (feet): 3,782.750",# of Attempts: 85
Approaches from > 200 yards,52' 2,109,EVEN,"Total Distance (feet): 10,583.000",# of Attempts: 203
Approaches from 175-200 yards,34' 1,93,EVEN,"Total Distance (feet): 4,937.417",# of Attempts: 145
