Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.585,39,EVEN,Total SG:T: 32.161,Measured Rounds: 55
SG: Tee-to-Green,0.157,82,EVEN,SG:OTT: -0.674,Measured Rounds: 55
SG: Off-the-Tee,-0.674,159,EVEN,Total SG:OTT: -37.048,Measured Rounds: 55
SG: Approach the Green,0.348,34,EVEN,Total SG:APP: 19.143,Measured Rounds: 55
SG: Around-the-Green,0.483,4,EVEN,Total SG:ARG: 26.542,Measured Rounds: 55
SG: Putting,0.428,14,EVEN,Total SG:Putting: 23.524,Measured Rounds: 55
Longest Drives,346,424,EVEN,Tournament: Genesis Scottish Open,Round: 1
Driving Distance,282.1,164,EVEN,"Total Distance: 34,979",Total Drives: 124
Driving Distance - All Drives,274.1,164,EVEN,"Total Distance: 208,902",# of Drives: 762
Driving Accuracy Percentage,69.53%,6,EVEN,Fairways Hit: 598,Possible Fairways: 860
Left Rough Tendency,10.69%,18,EVEN,Total Left rough: 81,Possible Fwys: 758
Right Rough Tendency,13.06%,29,EVEN,Total Right rough: 99,Possible Fwys: 758
Distance from Edge of Fairway,22' 9,21,EVEN,"Total Distance (Feet): 5,455.083",Total Strokes: 240
Club Head Speed,110.80,156,EVEN,"Total Club Head Speed: 27,809.56",Total Attempts: 251
Total Driving Efficiency,321,165,EVEN,: ,Carry Efficiency Rank: 159
Greens in Regulation Percentage,70.43%,13,EVEN,Greens Hit: 786,"# Holes: 1,116"
Proximity to Hole,36' 8,61,EVEN,"Total Distance (feet): 36,094.250",# of Attempts: 985
Approaches from > 275 yards,107' 5,163,EVEN,"Total Distance (feet): 2,041.167",# of Attempts: 19
Approaches from 250-275 yards,63' 11,101,EVEN,"Total Distance (feet): 1,918.417",# of Attempts: 30
Approaches from 225-250 yards,50' 4,90,EVEN,"Total Distance (feet): 3,069.083",# of Attempts: 61
Approaches from 200-225 yards,42' 1,107,EVEN,"Total Distance (feet): 3,914.500",# of Attempts: 93
Approaches from > 200 yards,53' 11,151,EVEN,"Total Distance (feet): 10,943.167",# of Attempts: 203
Approaches from 175-200 yards,33' 4,82,EVEN,"Total Distance (feet): 5,270.833",# of Attempts: 158
Approaches from 150-175 yards,26' 10,41,EVEN,"Total Distance (feet): 4,137.500",# of Attempts: 154
Approaches from 125-150 yards,21' 8,30,EVEN,"Total Distance (feet): 2,316.083",# of Attempts: 107
Approaches from 50-125 yards,18' 0,63,EVEN,"Total Distance (feet): 2,306.083",# of Attempts: 128
Approaches from 100-125 yards,18' 4,33,EVEN,"Total Distance (feet): 1,173.833",# of Attempts: 64
Approaches from 75-100 yards,17' 5,80,EVEN,Total Distance (feet): 854.333,# of Attempts: 49
Approaches from 50-75 yards,18' 6,127,EVEN,Total Distance (feet): 277.917,# of Attempts: 15
Approaches from inside 100 yards,17' 3,97,EVEN,"Total Distance (feet): 1,156.667",# of Attempts: 67
Approaches from > 100 yards,34' 9,132,EVEN,"Total Distance (feet): 23,841.417",# of Attempts: 686
Fairway Proximity,33' 2,131,EVEN,: ,Attempts: 753
Rough Proximity,43' 9,47,EVEN,"Total Distance (inches): 86,591",Attempts: 165
Left Rough Proximity,44' 10,90,EVEN,: ,Attempts: 77
Right Rough Proximity,42' 9,39,EVEN,: ,Attempts: 88
Approaches from > 275 yards (Rgh),100' 11,94,EVEN,Total Distance (feet): 100.917,# of Attempts: 1
Approaches from 250-275 yards (Rgh),88' 10,125,EVEN,Total Distance (feet): 355.333,# of Attempts: 4
Approaches from 225-250 yards (Rgh),68' 9,65,EVEN,Total Distance (feet): 962.500,# of Attempts: 14
Approaches from 200-225 yards (Rgh),58' 4,35,EVEN,"Total Distance (feet): 1,224.583",# of Attempts: 21
Approaches from > 100 yards (Rgh),46' 8,42,EVEN,"Total Distance (feet): 6,581.167",# of Attempts: 141
Approaches from inside 100 yards (Rgh),26' 5,97,EVEN,Total Distance (feet): 634.750,# of Attempts: 24
Approaches from > 200 yards (Rgh),66' 1,23,EVEN,"Total Distance (feet): 2,643.333",# of Attempts: 40
Approaches from 175-200 yards (Rgh),46' 8,29,EVEN,"Total Distance (feet): 1,634.000",# of Attempts: 35
Approaches from 150-175 yards (Rgh),42' 11,57,EVEN,"Total Distance (feet): 1,245.250",# of Attempts: 29
Approaches from 125-150 yards (Rgh),34' 7,33,EVEN,Total Distance (feet): 484.167,# of Attempts: 14
Approaches from 50-125 yards (Rgh),25' 8,21,EVEN,"Total Distance (feet): 1,079.083",# of Attempts: 42
Approaches from 100-125 yards (Rgh),25' 0,10,EVEN,Total Distance (feet): 574.417,# of Attempts: 23
Approaches from 75-100 yards (Rgh),30' 1,129,EVEN,Total Distance (feet): 300.667,# of Attempts: 10
Approaches from 50-75 yards (Rgh),22' 8,66,EVEN,Total Distance (feet): 204.000,# of Attempts: 9
Going for the Green,41.92%,160,EVEN,Attempts: 83,Non-Attempts: 115
Going for the Green - Hit Green Pct.,15.66%,157,EVEN,Successes: 13,Attempts: 83
