Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-3.126,-,EVEN,Total SG:T: -25.008,Measured Rounds: 8
SG: Tee-to-Green,-2.469,-,EVEN,SG:OTT: -1.099,Measured Rounds: 8
SG: Off-the-Tee,-1.099,-,EVEN,Total SG:OTT: -8.791,Measured Rounds: 8
SG: Approach the Green,-1.137,-,EVEN,Total SG:APP: -9.098,Measured Rounds: 8
SG: Around-the-Green,-0.233,-,EVEN,Total SG:ARG: -1.866,Measured Rounds: 8
SG: Putting,-0.657,-,EVEN,Total SG:Putting: -5.254,Measured Rounds: 8
Longest Drives,334,500,EVEN,Tournament: Procore,Round: 1
Driving Distance,286.8,-,EVEN,"Total Distance: 8,030",Total Drives: 28
Driving Distance - All Drives,279.9,-,EVEN,"Total Distance: 31,352",# of Drives: 112
Driving Accuracy Percentage,60.71%,-,EVEN,Fairways Hit: 119,Possible Fairways: 196
Left Rough Tendency,16.96%,-,EVEN,Total Left rough: 19,Possible Fwys: 112
Right Rough Tendency,15.18%,-,EVEN,Total Right rough: 17,Possible Fwys: 112
Distance from Edge of Fairway,28' 8,-,EVEN,"Total Distance (Feet): 1,406.250",Total Strokes: 49
Club Head Speed,108.90,-,EVEN,"Total Club Head Speed: 4,138.36",Total Attempts: 38
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.70%,-,EVEN,Greens Hit: 158,# Holes: 252
Proximity to Hole,41' 6,-,EVEN,"Total Distance (feet): 5,888.917",# of Attempts: 142
Approaches from > 275 yards,101' 0,-,EVEN,Total Distance (feet): 303.000,# of Attempts: 3
Approaches from 250-275 yards,68' 3,-,EVEN,Total Distance (feet): 204.667,# of Attempts: 3
Approaches from 225-250 yards,67' 7,-,EVEN,Total Distance (feet): 607.917,# of Attempts: 9
Approaches from 200-225 yards,54' 1,-,EVEN,Total Distance (feet): 594.583,# of Attempts: 11
Approaches from > 200 yards,65' 9,-,EVEN,"Total Distance (feet): 1,710.167",# of Attempts: 26
Approaches from 175-200 yards,42' 10,-,EVEN,"Total Distance (feet): 1,027.583",# of Attempts: 24
Approaches from 150-175 yards,32' 2,-,EVEN,Total Distance (feet): 547.333,# of Attempts: 17
Approaches from 125-150 yards,22' 7,-,EVEN,Total Distance (feet): 225.917,# of Attempts: 10
Approaches from 50-125 yards,19' 2,-,EVEN,Total Distance (feet): 420.833,# of Attempts: 22
Approaches from 100-125 yards,22' 2,-,EVEN,Total Distance (feet): 243.667,# of Attempts: 11
Approaches from 75-100 yards,17' 2,-,EVEN,Total Distance (feet): 171.833,# of Attempts: 10
Approaches from 50-75 yards,5' 4,-,EVEN,Total Distance (feet): 5.333,# of Attempts: 1
Approaches from inside 100 yards,16' 1,-,EVEN,Total Distance (feet): 177.167,# of Attempts: 11
Approaches from > 100 yards,42' 8,-,EVEN,"Total Distance (feet): 3,754.667",# of Attempts: 88
Fairway Proximity,39' 9,-,EVEN,: ,Attempts: 99
Rough Proximity,41' 5,-,EVEN,"Total Distance (inches): 15,912",Attempts: 32
Left Rough Proximity,39' 1,-,EVEN,: ,Attempts: 20
Right Rough Proximity,45' 4,-,EVEN,: ,Attempts: 12
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),-,-,EVEN,,
Approaches from 200-225 yards (Rgh),6' 1,-,EVEN,Total Distance (feet): 6.083,# of Attempts: 1
Approaches from > 100 yards (Rgh),43' 0,-,EVEN,"Total Distance (feet): 1,247.167",# of Attempts: 29
Approaches from inside 100 yards (Rgh),26' 3,-,EVEN,Total Distance (feet): 78.833,# of Attempts: 3
