Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.157,118,EVEN,Total SG:T: -8.632,Measured Rounds: 55
SG: Tee-to-Green,-0.300,134,EVEN,SG:OTT: -0.430,Measured Rounds: 55
SG: Off-the-Tee,-0.430,154,EVEN,Total SG:OTT: -23.676,Measured Rounds: 55
SG: Approach the Green,-0.354,150,EVEN,Total SG:APP: -19.477,Measured Rounds: 55
SG: Around-the-Green,0.484,7,EVEN,Total SG:ARG: 26.633,Measured Rounds: 55
SG: Putting,0.143,63,EVEN,Total SG:Putting: 7.889,Measured Rounds: 55
Longest Drives,365,181,EVEN,Tournament: WM Phoenix Open,Round: 2
Driving Distance,304.9,57,EVEN,"Total Distance: 35,363",Total Drives: 116
Driving Distance - All Drives,295.5,66,EVEN,"Total Distance: 225,185",# of Drives: 762
Driving Accuracy Percentage,51.37%,166,EVEN,Fairways Hit: 413,Possible Fairways: 804
Left Rough Tendency,15.85%,143,EVEN,Total Left rough: 119,Possible Fwys: 751
Right Rough Tendency,17.71%,137,EVEN,Total Right rough: 133,Possible Fwys: 751
Distance from Edge of Fairway,30' 5,111,EVEN,"Total Distance (Feet): 10,471.917",Total Strokes: 344
Club Head Speed,115.09,115,EVEN,"Total Club Head Speed: 30,958.84",Total Attempts: 269
Total Driving Efficiency,40,15,EVEN,: ,Carry Efficiency Rank: 14
Greens in Regulation Percentage,61.69%,160,EVEN,Greens Hit: 644,"# Holes: 1,044"
Proximity to Hole,40' 10,167,EVEN,"Total Distance (feet): 39,946.167",# of Attempts: 978
Approaches from > 275 yards,91' 1,141,EVEN,"Total Distance (feet): 2,002.917",# of Attempts: 22
Approaches from 250-275 yards,60' 11,71,EVEN,"Total Distance (feet): 1,339.583",# of Attempts: 22
Approaches from 225-250 yards,53' 5,132,EVEN,"Total Distance (feet): 3,099.583",# of Attempts: 58
Approaches from 200-225 yards,47' 8,166,EVEN,"Total Distance (feet): 3,624.917",# of Attempts: 76
Approaches from > 200 yards,56' 7,163,EVEN,"Total Distance (feet): 10,067.000",# of Attempts: 178
Approaches from 175-200 yards,36' 9,145,EVEN,"Total Distance (feet): 4,810.583",# of Attempts: 131
Approaches from 150-175 yards,28' 8,101,EVEN,"Total Distance (feet): 3,208.000",# of Attempts: 112
Approaches from 125-150 yards,25' 1,137,EVEN,"Total Distance (feet): 2,385.167",# of Attempts: 95
Approaches from 50-125 yards,17' 11,54,EVEN,"Total Distance (feet): 1,969.167",# of Attempts: 110
Approaches from 100-125 yards,21' 6,135,EVEN,"Total Distance (feet): 1,227.417",# of Attempts: 57
Approaches from 75-100 yards,15' 3,29,EVEN,Total Distance (feet): 565.000,# of Attempts: 37
Approaches from 50-75 yards,11' 1,15,EVEN,Total Distance (feet): 176.750,# of Attempts: 16
Approaches from inside 100 yards,14' 0,8,EVEN,Total Distance (feet): 741.750,# of Attempts: 53
Approaches from > 100 yards,37' 10,168,EVEN,"Total Distance (feet): 21,698.167",# of Attempts: 573
Fairway Proximity,35' 10,166,EVEN,: ,Attempts: 626
Rough Proximity,47' 3,140,EVEN,"Total Distance (inches): 139,531",Attempts: 246
Left Rough Proximity,48' 10,156,EVEN,: ,Attempts: 112
Right Rough Proximity,46' 0,102,EVEN,: ,Attempts: 134
Approaches from > 275 yards (Rgh),106' 3,115,EVEN,Total Distance (feet): 637.667,# of Attempts: 6
Approaches from 250-275 yards (Rgh),85' 2,120,EVEN,Total Distance (feet): 851.250,# of Attempts: 10
Approaches from 225-250 yards (Rgh),75' 2,111,EVEN,"Total Distance (feet): 1,126.917",# of Attempts: 15
Approaches from 200-225 yards (Rgh),71' 4,129,EVEN,"Total Distance (feet): 1,426.417",# of Attempts: 20
Approaches from > 100 yards (Rgh),53' 7,165,EVEN,"Total Distance (feet): 10,611.333",# of Attempts: 198
Approaches from inside 100 yards (Rgh),21' 2,33,EVEN,"Total Distance (feet): 1,016.250",# of Attempts: 48
Approaches from > 200 yards (Rgh),79' 3,143,EVEN,"Total Distance (feet): 4,042.250",# of Attempts: 51
Approaches from 175-200 yards (Rgh),58' 7,141,EVEN,"Total Distance (feet): 2,341.833",# of Attempts: 40
Approaches from 150-175 yards (Rgh),43' 7,78,EVEN,"Total Distance (feet): 1,918.500",# of Attempts: 44
Approaches from 125-150 yards (Rgh),46' 2,169,EVEN,"Total Distance (feet): 1,477.250",# of Attempts: 32
Approaches from 50-125 yards (Rgh),23' 4,13,EVEN,"Total Distance (feet): 1,748.333",# of Attempts: 75
Approaches from 100-125 yards (Rgh),26' 10,31,EVEN,Total Distance (feet): 831.500,# of Attempts: 31
Approaches from 75-100 yards (Rgh),18' 10,15,EVEN,Total Distance (feet): 471.750,# of Attempts: 25
Approaches from 50-75 yards (Rgh),23' 5,93,EVEN,Total Distance (feet): 445.083,# of Attempts: 19
Going for the Green,62.10%,63,EVEN,Attempts: 136,Non-Attempts: 83
Going for the Green - Hit Green Pct.,17.52%,145,EVEN,Successes: 24,Attempts: 137
Going for the Green - Birdie or Better,58.39%,104,EVEN,# of Birdie or Better: 80,Attempts: 137
Total Hole Outs,16,22,EVEN,: ,: 
Longest Hole Outs (in yards),22,159,EVEN,Tournament: Farmers,Round- Course: 3
Scrambling,63.00%,33,EVEN,Par or Better: 252,Missed GIR: 400
Scrambling from the Rough,62.43%,36,EVEN,Successes: 108,Attempts: 173
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,30.00%,87,EVEN,Successes: 24,Attempts: 80
Scrambling from 20-30 yards,60.24%,26,EVEN,Successes: 50,Attempts: 83
Scrambling from 10-20 yards,69.18%,46,EVEN,Successes: 101,Attempts: 146
Scrambling from < 10 yards,98.41%,1,EVEN,Successes: 62,Attempts: 63
Sand Save Percentage,59.60%,68,EVEN,# Saves: 59,# Bunkers: 99
Proximity to Hole from Sand,7' 10,16,EVEN,Total Distance (feet): 627.083,# of Shots: 80
Total Putting,169.1,69,EVEN,: ,: 
Putting Average,1.741,52,EVEN,"GIR Putts: 1,121",Greens Hit: 644
Overall Putting Average,1.552,7,EVEN,"# of Putts: 1,620","# of Holes: 1,044"
Birdie or Better Conversion Percentage,31.83%,70,EVEN,# Birdies: 204,Greens Hit: 641
