Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.214,125,EVEN,Total SG:T: -8.144,Measured Rounds: 38
SG: Tee-to-Green,0.096,89,EVEN,SG:OTT: 0.083,Measured Rounds: 38
SG: Off-the-Tee,0.083,85,EVEN,Total SG:OTT: 3.139,Measured Rounds: 38
SG: Approach the Green,0.138,69,EVEN,Total SG:APP: 5.234,Measured Rounds: 38
SG: Around-the-Green,-0.124,128,EVEN,Total SG:ARG: -4.712,Measured Rounds: 38
SG: Putting,-0.311,147,EVEN,Total SG:Putting: -11.805,Measured Rounds: 38
Longest Drives,352,266,EVEN,Tournament: Valspar,Round: 1
Driving Distance,292.6,153,EVEN,"Total Distance: 28,092",Total Drives: 96
Driving Distance - All Drives,286.3,151,EVEN,"Total Distance: 150,029",# of Drives: 524
Driving Accuracy Percentage,72.59%,4,EVEN,Fairways Hit: 482,Possible Fairways: 664
Left Rough Tendency,9.75%,9,EVEN,Total Left rough: 51,Possible Fwys: 523
Right Rough Tendency,10.52%,5,EVEN,Total Right rough: 55,Possible Fwys: 523
Distance from Edge of Fairway,20' 1,6,EVEN,"Total Distance (Feet): 2,895.250",Total Strokes: 144
Club Head Speed,114.49,128,EVEN,"Total Club Head Speed: 21,295.96",Total Attempts: 186
Total Driving Efficiency,320,163,EVEN,: ,Carry Efficiency Rank: 167
Greens in Regulation Percentage,69.56%,20,EVEN,Greens Hit: 601,# Holes: 864
Proximity to Hole,35' 7,20,EVEN,"Total Distance (feet): 24,146.750",# of Attempts: 679
Approaches from > 275 yards,97' 5,160,EVEN,"Total Distance (feet): 1,168.750",# of Attempts: 12
Approaches from 250-275 yards,67' 8,121,EVEN,"Total Distance (feet): 1,352.833",# of Attempts: 20
Approaches from 225-250 yards,42' 6,7,EVEN,"Total Distance (feet): 1,868.167",# of Attempts: 44
Approaches from 200-225 yards,43' 7,119,EVEN,"Total Distance (feet): 2,877.583",# of Attempts: 66
Approaches from > 200 yards,51' 2,82,EVEN,"Total Distance (feet): 7,267.333",# of Attempts: 142
Approaches from 175-200 yards,34' 2,95,EVEN,"Total Distance (feet): 3,827.083",# of Attempts: 112
Approaches from 150-175 yards,26' 0,19,EVEN,"Total Distance (feet): 2,726.167",# of Attempts: 105
Approaches from 125-150 yards,22' 2,33,EVEN,"Total Distance (feet): 1,684.167",# of Attempts: 76
Approaches from 50-125 yards,17' 11,54,EVEN,"Total Distance (feet): 1,930.833",# of Attempts: 108
Approaches from 100-125 yards,20' 6,110,EVEN,"Total Distance (feet): 1,004.167",# of Attempts: 49
Approaches from 75-100 yards,16' 1,51,EVEN,Total Distance (feet): 739.917,# of Attempts: 46
Approaches from 50-75 yards,14' 4,66,EVEN,Total Distance (feet): 186.750,# of Attempts: 13
Approaches from inside 100 yards,15' 6,39,EVEN,Total Distance (feet): 931.250,# of Attempts: 60
Approaches from > 100 yards,34' 1,66,EVEN,"Total Distance (feet): 16,508.917",# of Attempts: 484
Fairway Proximity,32' 1,46,EVEN,: ,Attempts: 544
Rough Proximity,45' 6,104,EVEN,"Total Distance (inches): 54,070",Attempts: 99
Left Rough Proximity,40' 8,26,EVEN,: ,Attempts: 54
Right Rough Proximity,51' 4,162,EVEN,: ,Attempts: 45
Approaches from > 275 yards (Rgh),98' 2,97,EVEN,Total Distance (feet): 98.167,# of Attempts: 1
Approaches from 250-275 yards (Rgh),79' 8,94,EVEN,Total Distance (feet): 318.500,# of Attempts: 4
Approaches from 225-250 yards (Rgh),86' 1,151,EVEN,Total Distance (feet): 258.333,# of Attempts: 3
Approaches from 200-225 yards (Rgh),57' 0,38,EVEN,Total Distance (feet): 741.000,# of Attempts: 13
Approaches from > 100 yards (Rgh),48' 3,84,EVEN,"Total Distance (feet): 4,293.333",# of Attempts: 89
Approaches from inside 100 yards (Rgh),21' 3,36,EVEN,Total Distance (feet): 212.500,# of Attempts: 10
Approaches from > 200 yards (Rgh),67' 5,39,EVEN,"Total Distance (feet): 1,416.000",# of Attempts: 21
Approaches from 175-200 yards (Rgh),62' 5,154,EVEN,"Total Distance (feet): 1,124.000",# of Attempts: 18
Approaches from 150-175 yards (Rgh),40' 9,39,EVEN,Total Distance (feet): 936.667,# of Attempts: 23
Approaches from 125-150 yards (Rgh),40' 10,136,EVEN,Total Distance (feet): 571.250,# of Attempts: 14
Approaches from 50-125 yards (Rgh),19' 4,1,EVEN,Total Distance (feet): 424.667,# of Attempts: 22
Approaches from 100-125 yards (Rgh),18' 11,1,EVEN,Total Distance (feet): 245.417,# of Attempts: 13
Approaches from 75-100 yards (Rgh),20' 0,26,EVEN,Total Distance (feet): 120.167,# of Attempts: 6
Approaches from 50-75 yards (Rgh),19' 8,51,EVEN,Total Distance (feet): 59.083,# of Attempts: 3
Going for the Green,53.19%,138,EVEN,Attempts: 75,Non-Attempts: 66
Going for the Green - Hit Green Pct.,16.00%,152,EVEN,Successes: 12,Attempts: 75
Going for the Green - Birdie or Better,57.33%,117,EVEN,# of Birdie or Better: 43,Attempts: 75
Total Hole Outs,7,143,EVEN,: ,: 
Longest Hole Outs (in yards),177,21,EVEN,Tournament: ONEflight Myrtle,Round- Course: 1
Scrambling,62.36%,38,EVEN,Par or Better: 164,Missed GIR: 263
Scrambling from the Rough,60.75%,49,EVEN,Successes: 65,Attempts: 107
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,36.11%,30,EVEN,Successes: 13,Attempts: 36
Scrambling from 20-30 yards,65.79%,9,EVEN,Successes: 25,Attempts: 38
Scrambling from 10-20 yards,58.65%,161,EVEN,Successes: 61,Attempts: 104
Scrambling from < 10 yards,80.00%,154,EVEN,Successes: 20,Attempts: 25
Sand Save Percentage,52.17%,149,EVEN,# Saves: 36,# Bunkers: 69
Proximity to Hole from Sand,8' 3,27,EVEN,Total Distance (feet): 370.667,# of Shots: 45
Total Putting,281.9,163,EVEN,: ,: 
Putting Average,1.755,85,EVEN,"GIR Putts: 1,055",Greens Hit: 601
Overall Putting Average,1.620,126,EVEN,"# of Putts: 1,400",# of Holes: 864
Birdie or Better Conversion Percentage,29.43%,136,EVEN,# Birdies: 176,Greens Hit: 598
Putts Per Round,29.17,129,EVEN,"Total Putts: 1,400",Total Rounds: 48
Putts per Round - Round 1,28.94,85,EVEN,Total Putts: 463,Total Rounds: 16
Putts per Round - Round 2,29.69,153,EVEN,Total Putts: 475,Total Rounds: 16
Putts per Round - Round 3,29.63,137,EVEN,Total Putts: 237,Total Rounds: 8
Putts per Round - Round 4,28.13,35,EVEN,Total Putts: 225,Total Rounds: 8
One-Putt Percentage,39.35%,113,EVEN,# of 1 putts: 340,# of holes: 864
Longest Putts,45' 10,144,EVEN,Year/Tourn#: THE CJ CUP,Round: 3
3-Putt Avoidance,3.01%,118,EVEN,Total 3 Putts: 26,Total Holes (overall): 864
Putting from - > 25',7.64%,14,EVEN,Attempts: 157,Putts made: 12
Putting from - 20-25',10.81%,109,EVEN,Attempts: 74,Putts made: 8
Putting from - 15-20',13.70%,153,EVEN,Attempts: 73,Putts made: 10
Putting from - 10-15',35.51%,26,EVEN,Attempts: 107,Putts made: 38
Putting - Inside 10',85.67%,162,EVEN,Attempts: 712,Putts made: 610
Putting from 10',30.77%,147,EVEN,Attempts: 26,: 
Putting from 9',44.74%,95,EVEN,Attempts: 38,: 
Putting from 8',43.75%,145,EVEN,Attempts: 32,: 
Putting from 7',67.86%,35,EVEN,Attempts: 28,: 
Putting from 6',66.67%,120,EVEN,Attempts: 42,: 
Putting from 5',70.59%,162,EVEN,Attempts: 51,: 
Putting from 4-8',63.40%,157,EVEN,Attempts: 153,Putts made: 97
Putting from 4',89.83%,127,EVEN,Attempts: 59,: 
Putting from 3',99.77%,52,EVEN,Attempts: 436,: 
Average Distance of Putts made,73' 5,63,EVEN,"Total Dist. (inches): 33,466",Total Rounds: 38
Approach Putt Performance,2' 1,26,EVEN,: ,Attempts: 422
Scoring Average (Adjusted),71.327,125,EVEN,"Total Strokes: 3,363",Total Adjustment: 60.678
Scoring Average (Actual),70.06,44,EVEN,"Total Strokes: 3,363",Total Rounds: 48
Lowest Round,65,129,EVEN,Tourn/Course: Mexico Open/Vid,Round: 4
Birdie Average,3.67,114,EVEN,# of Birdies: 176,Total Rounds: 48
Total Birdies,176,111,EVEN,: ,: 
Eagles (Holes per),123.4,32,EVEN,# of Holes: 864,# of Eagles: 7
Total Eagles,7,36,EVEN,: ,: 
Par Breakers,21.18%,111,EVEN,# Birdies/Eagles: 183,# Holes: 864
Bounce Back,23.21%,53,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.00%,103,EVEN,Par 3 Birdies or Better: 26,Par 3 Holes: 200
Par 4 Birdie or Better Leaders,17.13%,85,EVEN,Par 4 Birdies or Better: 86,Par 4 Holes: 502
Par 5 Birdie or Better Leaders,43.83%,123,EVEN,Par 5 Birdies or Better: 71,Par 5 Holes: 162
Birdie or Better Percentage,21.18%,111,EVEN,Total Birdies: 183,Total Holes: 864
Bogey Avoidance,14.24%,27,EVEN,Bogeys: 123,Holes Played: 864
Final Round Scoring Average,68.63,5,EVEN,Total Strokes: 549,Total Rounds: 8
Final Round Performance,75.00%,12,EVEN,: ,: 
Round 1 Scoring Average,69.81,48,EVEN,"Total Strokes: 1,117",Total Rounds: 16
Round 2 Scoring Average,70.25,81,EVEN,"Total Strokes: 1,124",Total Rounds: 16
Round 3 Scoring Average,71.63,153,EVEN,Total Strokes: 573,Total Rounds: 8
Round 4 Scoring Average,68.63,5,EVEN,Total Strokes: 549,Total Rounds: 8
Par 3 Scoring Average,3.05,64,EVEN,Total Strokes: 610,Total Holes: 200
Par 4 Scoring Average,3.99,21,EVEN,"Total Strokes: 2,005",Total Holes: 502
Par 5 Scoring Average,4.62,98,EVEN,Total Strokes: 748,Total Holes: 162
Front 9 Scoring Average,35.10,86,EVEN,"Total Strokes: 1,685",Total Holes: 48
Back 9 Scoring Average,34.96,22,EVEN,"Total Strokes: 1,678",Total Holes: 48
Early Scoring Average,70.45,101,EVEN,"Total Strokes: 2,043",Total Early Rounds: 29
Late Scoring Average,69.47,11,EVEN,"Total Strokes: 1,320",Total Late Rounds: 19
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,34,128,EVEN,: ,: 
Consecutive Fairways Hit,20,15,EVEN,Current Streak: 6,: 
Consecutive GIR,14,133,EVEN,Current Streak: 3,Round: 2
Consecutive Sand Saves,4,196,EVEN,Current Streak: 2,Round: 2
Best YTD 1-Putt or Better Streak,7,91,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,88,187,EVEN,Current Streak: 34,: 
YTD Par or Better Streak,11,56,EVEN,: ,: 
Consecutive Par 3 Birdies,2,75,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,3,24,EVEN,: ,: 
Official Money,"$252,267",169,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,107,163,EVEN,# of Wins: 0,# of Top 10's: 0
