Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.143,-,EVEN,Total SG:T: -5.287,Measured Rounds: 37
SG: Tee-to-Green,-0.311,-,EVEN,SG:OTT: -0.287,Measured Rounds: 37
SG: Off-the-Tee,-0.287,-,EVEN,Total SG:OTT: -10.603,Measured Rounds: 37
SG: Approach the Green,-0.032,-,EVEN,Total SG:APP: -1.176,Measured Rounds: 37
SG: Around-the-Green,0.007,-,EVEN,Total SG:ARG: 0.262,Measured Rounds: 37
SG: Putting,0.168,-,EVEN,Total SG:Putting: 6.230,Measured Rounds: 37
Longest Drives,384,109,EVEN,Tournament: Mexico Open,Round: 2
Driving Distance,298.7,-,EVEN,"Total Distance: 25,688",Total Drives: 86
Driving Distance - All Drives,289.2,-,EVEN,"Total Distance: 147,488",# of Drives: 510
Driving Accuracy Percentage,60.61%,-,EVEN,Fairways Hit: 360,Possible Fairways: 594
Left Rough Tendency,15.55%,-,EVEN,Total Left rough: 79,Possible Fwys: 508
Right Rough Tendency,15.35%,-,EVEN,Total Right rough: 78,Possible Fwys: 508
Distance from Edge of Fairway,24' 9,-,EVEN,"Total Distance (Feet): 5,101.000",Total Strokes: 206
Club Head Speed,115.07,-,EVEN,"Total Club Head Speed: 21,632.91",Total Attempts: 188
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,67.31%,-,EVEN,Greens Hit: 521,# Holes: 774
Proximity to Hole,38' 3,-,EVEN,"Total Distance (feet): 25,366.500",# of Attempts: 663
Approaches from > 275 yards,111' 4,-,EVEN,"Total Distance (feet): 1,002.167",# of Attempts: 9
Approaches from 250-275 yards,55' 0,-,EVEN,Total Distance (feet): 715.417,# of Attempts: 13
Approaches from 225-250 yards,45' 0,-,EVEN,"Total Distance (feet): 2,068.083",# of Attempts: 46
Approaches from 200-225 yards,40' 3,-,EVEN,"Total Distance (feet): 2,457.167",# of Attempts: 61
Approaches from > 200 yards,48' 5,-,EVEN,"Total Distance (feet): 6,242.833",# of Attempts: 129
Approaches from 175-200 yards,36' 7,-,EVEN,"Total Distance (feet): 3,474.083",# of Attempts: 95
Approaches from 150-175 yards,29' 4,-,EVEN,"Total Distance (feet): 2,783.333",# of Attempts: 95
Approaches from 125-150 yards,24' 8,-,EVEN,"Total Distance (feet): 1,132.917",# of Attempts: 46
Approaches from 50-125 yards,19' 2,-,EVEN,"Total Distance (feet): 1,900.667",# of Attempts: 99
Approaches from 100-125 yards,21' 2,-,EVEN,"Total Distance (feet): 1,144.750",# of Attempts: 54
Approaches from 75-100 yards,17' 3,-,EVEN,Total Distance (feet): 602.750,# of Attempts: 35
Approaches from 50-75 yards,15' 4,-,EVEN,Total Distance (feet): 153.167,# of Attempts: 10
Approaches from inside 100 yards,16' 11,-,EVEN,Total Distance (feet): 776.417,# of Attempts: 46
Approaches from > 100 yards,35' 3,-,EVEN,"Total Distance (feet): 14,777.917",# of Attempts: 419
Fairway Proximity,33' 5,-,EVEN,: ,Attempts: 465
Rough Proximity,46' 4,-,EVEN,"Total Distance (inches): 82,835",Attempts: 149
Left Rough Proximity,42' 11,-,EVEN,: ,Attempts: 70
Right Rough Proximity,49' 4,-,EVEN,: ,Attempts: 79
Approaches from > 275 yards (Rgh),105' 3,-,EVEN,Total Distance (feet): 315.667,# of Attempts: 3
Approaches from 250-275 yards (Rgh),78' 5,-,EVEN,Total Distance (feet): 470.417,# of Attempts: 6
Approaches from 225-250 yards (Rgh),65' 9,-,EVEN,Total Distance (feet): 855.000,# of Attempts: 13
Approaches from 200-225 yards (Rgh),67' 1,-,EVEN,Total Distance (feet): 939.417,# of Attempts: 14
Approaches from > 100 yards (Rgh),50' 6,-,EVEN,"Total Distance (feet): 6,512.917",# of Attempts: 129
Approaches from inside 100 yards (Rgh),19' 6,-,EVEN,Total Distance (feet): 390.000,# of Attempts: 20
Approaches from > 200 yards (Rgh),71' 8,-,EVEN,"Total Distance (feet): 2,580.500",# of Attempts: 36
Approaches from 175-200 yards (Rgh),43' 5,-,EVEN,Total Distance (feet): 868.917,# of Attempts: 20
Approaches from 150-175 yards (Rgh),55' 8,-,EVEN,"Total Distance (feet): 1,613.167",# of Attempts: 29
Approaches from 125-150 yards (Rgh),35' 5,-,EVEN,Total Distance (feet): 778.333,# of Attempts: 22
Approaches from 50-125 yards (Rgh),25' 10,-,EVEN,"Total Distance (feet): 1,006.833",# of Attempts: 39
Approaches from 100-125 yards (Rgh),30' 7,-,EVEN,Total Distance (feet): 672.000,# of Attempts: 22
Approaches from 75-100 yards (Rgh),12' 5,-,EVEN,Total Distance (feet): 99.000,# of Attempts: 8
Approaches from 50-75 yards (Rgh),26' 2,-,EVEN,Total Distance (feet): 235.833,# of Attempts: 9
Going for the Green,56.34%,-,EVEN,Attempts: 80,Non-Attempts: 62
Going for the Green - Hit Green Pct.,22.50%,-,EVEN,Successes: 18,Attempts: 80
Going for the Green - Birdie or Better,65.00%,-,EVEN,# of Birdie or Better: 52,Attempts: 80
Total Hole Outs,13,-,EVEN,: ,: 
Longest Hole Outs (in yards),122,73,EVEN,Tournament: Valero,Round- Course: 4
Scrambling,56.92%,-,EVEN,Par or Better: 144,Missed GIR: 253
Scrambling from the Rough,44.44%,-,EVEN,Successes: 40,Attempts: 90
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,19.57%,-,EVEN,Successes: 9,Attempts: 46
Scrambling from 20-30 yards,48.84%,-,EVEN,Successes: 21,Attempts: 43
