Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.338,138,EVEN,Total SG:T: -18.256,Measured Rounds: 54
SG: Tee-to-Green,-0.486,145,EVEN,SG:OTT: -0.121,Measured Rounds: 54
SG: Off-the-Tee,-0.121,122,EVEN,Total SG:OTT: -6.522,Measured Rounds: 54
SG: Approach the Green,-0.527,158,EVEN,Total SG:APP: -28.441,Measured Rounds: 54
SG: Around-the-Green,0.161,41,EVEN,Total SG:ARG: 8.697,Measured Rounds: 54
SG: Putting,0.148,59,EVEN,Total SG:Putting: 8.011,Measured Rounds: 54
Longest Drives,362,286,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,299.2,124,EVEN,"Total Distance: 34,111",Total Drives: 114
Driving Distance - All Drives,289.6,128,EVEN,"Total Distance: 217,170",# of Drives: 750
Driving Accuracy Percentage,60.86%,67,EVEN,Fairways Hit: 482,Possible Fairways: 792
Left Rough Tendency,10.95%,22,EVEN,Total Left rough: 82,Possible Fwys: 749
Right Rough Tendency,17.89%,141,EVEN,Total Right rough: 134,Possible Fwys: 749
Distance from Edge of Fairway,23' 4,30,EVEN,"Total Distance (Feet): 6,526.000",Total Strokes: 280
Club Head Speed,113.52,137,EVEN,"Total Club Head Speed: 32,012.53",Total Attempts: 282
Total Driving Efficiency,192,97,EVEN,: ,Carry Efficiency Rank: 141
Greens in Regulation Percentage,64.72%,124,EVEN,Greens Hit: 664,"# Holes: 1,026"
Proximity to Hole,36' 10,71,EVEN,"Total Distance (feet): 35,335.667",# of Attempts: 960
Approaches from > 275 yards,118' 3,165,EVEN,Total Distance (feet): 946.167,# of Attempts: 8
Approaches from 250-275 yards,71' 5,144,EVEN,"Total Distance (feet): 1,500.500",# of Attempts: 21
Approaches from 225-250 yards,56' 4,153,EVEN,"Total Distance (feet): 3,098.333",# of Attempts: 55
Approaches from 200-225 yards,44' 10,150,EVEN,"Total Distance (feet): 3,451.583",# of Attempts: 77
Approaches from > 200 yards,55' 11,159,EVEN,"Total Distance (feet): 8,996.583",# of Attempts: 161
Approaches from 175-200 yards,34' 11,117,EVEN,"Total Distance (feet): 4,677.333",# of Attempts: 134
Approaches from 150-175 yards,28' 2,92,EVEN,"Total Distance (feet): 3,694.000",# of Attempts: 131
Approaches from 125-150 yards,23' 2,73,EVEN,"Total Distance (feet): 2,708.417",# of Attempts: 117
Approaches from 50-125 yards,20' 10,156,EVEN,"Total Distance (feet): 3,410.083",# of Attempts: 164
Approaches from 100-125 yards,21' 3,136,EVEN,"Total Distance (feet): 1,973.667",# of Attempts: 93
Approaches from 75-100 yards,21' 6,158,EVEN,"Total Distance (feet): 1,204.500",# of Attempts: 56
Approaches from 50-75 yards,15' 6,82,EVEN,Total Distance (feet): 231.917,# of Attempts: 15
Approaches from inside 100 yards,19' 11,152,EVEN,"Total Distance (feet): 1,453.083",# of Attempts: 73
Approaches from > 100 yards,34' 8,129,EVEN,"Total Distance (feet): 22,050.000",# of Attempts: 636
Fairway Proximity,33' 2,131,EVEN,: ,Attempts: 709
Rough Proximity,44' 4,64,EVEN,"Total Distance (inches): 102,669",Attempts: 193
Left Rough Proximity,44' 9,89,EVEN,: ,Attempts: 79
Right Rough Proximity,44' 1,53,EVEN,: ,Attempts: 114
Approaches from > 275 yards (Rgh),79' 10,33,EVEN,Total Distance (feet): 319.417,# of Attempts: 4
Approaches from 250-275 yards (Rgh),64' 5,28,EVEN,Total Distance (feet): 386.250,# of Attempts: 6
Approaches from 225-250 yards (Rgh),69' 7,69,EVEN,Total Distance (feet): 765.000,# of Attempts: 11
Approaches from 200-225 yards (Rgh),63' 3,72,EVEN,Total Distance (feet): 822.583,# of Attempts: 13
Approaches from > 100 yards (Rgh),47' 11,73,EVEN,"Total Distance (feet): 7,855.250",# of Attempts: 164
Approaches from inside 100 yards (Rgh),24' 2,54,EVEN,Total Distance (feet): 700.500,# of Attempts: 29
Approaches from > 200 yards (Rgh),67' 5,37,EVEN,"Total Distance (feet): 2,293.250",# of Attempts: 34
Approaches from 175-200 yards (Rgh),54' 7,102,EVEN,"Total Distance (feet): 1,636.250",# of Attempts: 30
Approaches from 150-175 yards (Rgh),50' 2,147,EVEN,"Total Distance (feet): 1,854.750",# of Attempts: 37
Approaches from 125-150 yards (Rgh),33' 4,23,EVEN,"Total Distance (feet): 1,334.667",# of Attempts: 40
Approaches from 50-125 yards (Rgh),28' 11,85,EVEN,"Total Distance (feet): 1,388.167",# of Attempts: 48
Approaches from 100-125 yards (Rgh),32' 0,85,EVEN,Total Distance (feet): 736.333,# of Attempts: 23
Approaches from 75-100 yards (Rgh),25' 6,68,EVEN,Total Distance (feet): 407.750,# of Attempts: 16
Approaches from 50-75 yards (Rgh),27' 1,114,EVEN,Total Distance (feet): 244.083,# of Attempts: 9
Going for the Green,51.05%,146,EVEN,Attempts: 97,Non-Attempts: 93
Going for the Green - Hit Green Pct.,27.84%,34,EVEN,Successes: 27,Attempts: 97
Going for the Green - Birdie or Better,59.79%,82,EVEN,# of Birdie or Better: 58,Attempts: 97
Total Hole Outs,17,43,EVEN,: ,: 
Longest Hole Outs (in yards),33,136,EVEN,Tournament: Procore,Round- Course: 1
Scrambling,61.05%,51,EVEN,Par or Better: 221,Missed GIR: 362
Scrambling from the Rough,56.74%,79,EVEN,Successes: 80,Attempts: 141
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,34.85%,30,EVEN,Successes: 23,Attempts: 66
Scrambling from 20-30 yards,56.67%,52,EVEN,Successes: 34,Attempts: 60
Scrambling from 10-20 yards,68.24%,52,EVEN,Successes: 101,Attempts: 148
Scrambling from < 10 yards,89.29%,54,EVEN,Successes: 50,Attempts: 56
Sand Save Percentage,58.54%,73,EVEN,# Saves: 48,# Bunkers: 82
Proximity to Hole from Sand,7' 10,7,EVEN,Total Distance (feet): 509.083,# of Shots: 65
Total Putting,141.3,50,EVEN,: ,: 
Putting Average,1.774,121,EVEN,"GIR Putts: 1,178",Greens Hit: 664
Overall Putting Average,1.600,71,EVEN,"# of Putts: 1,642","# of Holes: 1,026"
Birdie or Better Conversion Percentage,29.35%,140,EVEN,# Birdies: 194,Greens Hit: 661
Putts Per Round,28.81,72,EVEN,"Total Putts: 1,642",Total Rounds: 57
Putts per Round - Round 1,29.25,108,EVEN,Total Putts: 585,Total Rounds: 20
Putts per Round - Round 2,28.55,47,EVEN,Total Putts: 571,Total Rounds: 20
Putts per Round - Round 3,28.78,74,EVEN,Total Putts: 259,Total Rounds: 9
Putts per Round - Round 4,28.38,41,EVEN,Total Putts: 227,Total Rounds: 8
One-Putt Percentage,39.67%,94,EVEN,# of 1 putts: 407,"# of holes: 1,026"
Longest Putts,52' 3,118,EVEN,Year/Tourn#: ONEflight Myrtle,Round: 4
3-Putt Avoidance,2.92%,95,EVEN,Total 3 Putts: 30,"Total Holes (overall): 1,026"
Putting from - > 25',6.11%,48,EVEN,Attempts: 262,Putts made: 16
Putting from - 20-25',15.58%,31,EVEN,Attempts: 77,Putts made: 12
Putting from - 15-20',20.79%,55,EVEN,Attempts: 101,Putts made: 21
Putting from - 10-15',29.53%,107,EVEN,Attempts: 149,Putts made: 44
Putting - Inside 10',89.09%,25,EVEN,Attempts: 972,Putts made: 866
Putting from 10',50.00%,16,EVEN,Attempts: 24,: 
Putting from 9',42.42%,120,EVEN,Attempts: 33,: 
Putting from 8',59.46%,41,EVEN,Attempts: 37,: 
Putting from 7',66.00%,39,EVEN,Attempts: 50,: 
Putting from 6',77.94%,20,EVEN,Attempts: 68,: 
Putting from 5',79.45%,113,EVEN,Attempts: 73,: 
Putting from 4-8',72.81%,26,EVEN,Attempts: 228,Putts made: 166
Putting from 4',90.91%,107,EVEN,Attempts: 121,: 
Putting from 3',99.65%,69,EVEN,Attempts: 566,: 
Average Distance of Putts made,76' 11,24,EVEN,"Total Dist. (inches): 49,838",Total Rounds: 54
Approach Putt Performance,2' 5,134,EVEN,: ,Attempts: 572
Scoring Average (Adjusted),71.338,132,EVEN,"Total Strokes: 4,017",Total Adjustment: 49.264
Scoring Average (Actual),70.47,117,EVEN,"Total Strokes: 4,017",Total Rounds: 57
Lowest Round,64,90,EVEN,Tourn/Course: Rocket Classic/,Round: 2
Birdie Average,3.51,145,EVEN,# of Birdies: 200,Total Rounds: 57
Total Birdies,200,148,EVEN,: ,: 
Eagles (Holes per),205.2,101,EVEN,"# of Holes: 1,026",# of Eagles: 5
Total Eagles,5,109,EVEN,: ,: 
Par Breakers,19.98%,148,EVEN,# Birdies/Eagles: 205,"# Holes: 1,026"
Bounce Back,21.66%,91,EVEN,: ,: 
Par 3 Birdie or Better Leaders,11.97%,126,EVEN,Par 3 Birdies or Better: 28,Par 3 Holes: 234
Par 4 Birdie or Better Leaders,16.61%,116,EVEN,Par 4 Birdies or Better: 103,Par 4 Holes: 620
Par 5 Birdie or Better Leaders,43.02%,140,EVEN,Par 5 Birdies or Better: 74,Par 5 Holes: 172
Birdie or Better Percentage,19.98%,148,EVEN,Total Birdies: 205,"Total Holes: 1,026"
Bogey Avoidance,15.89%,90,EVEN,Bogeys: 163,"Holes Played: 1,026"
Final Round Scoring Average,69.88,61,EVEN,Total Strokes: 559,Total Rounds: 8
Final Round Performance,22.22%,162,EVEN,: ,: 
Round 1 Scoring Average,71.35,151,EVEN,"Total Strokes: 1,427",Total Rounds: 20
Round 2 Scoring Average,70.05,75,EVEN,"Total Strokes: 1,401",Total Rounds: 20
Round 3 Scoring Average,70.00,58,EVEN,Total Strokes: 630,Total Rounds: 9
Round 4 Scoring Average,69.88,61,EVEN,Total Strokes: 559,Total Rounds: 8
Par 3 Scoring Average,3.09,127,EVEN,Total Strokes: 723,Total Holes: 234
Par 4 Scoring Average,4.03,98,EVEN,"Total Strokes: 2,497",Total Holes: 620
Par 5 Scoring Average,4.63,112,EVEN,Total Strokes: 797,Total Holes: 172
Front 9 Scoring Average,35.25,130,EVEN,"Total Strokes: 2,009",Total Holes: 57
Back 9 Scoring Average,35.23,87,EVEN,"Total Strokes: 2,008",Total Holes: 57
Early Scoring Average,70.55,126,EVEN,"Total Strokes: 2,046",Total Early Rounds: 29
Late Scoring Average,70.39,97,EVEN,"Total Strokes: 1,971",Total Late Rounds: 28
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,16,321,EVEN,: ,: 
Consecutive Fairways Hit,15,64,EVEN,Current Streak: 1,: 
Consecutive GIR,14,164,EVEN,Current Streak: 1,Round: 1
Consecutive Sand Saves,6,112,EVEN,Current Streak: 2,Round: 1
Best YTD 1-Putt or Better Streak,10,11,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,133,120,EVEN,Current Streak: 16,: 
YTD Par or Better Streak,9,116,EVEN,: ,: 
Consecutive Par 3 Birdies,1,253,EVEN,: ,: 
Consecutive Holes Below Par,3,178,EVEN,: ,: 
Consecutive Birdies Streak,3,173,EVEN,: ,: 
Consecutive Birdies/Eagles streak,2,88,EVEN,: ,: 
Official Money,"$426,906",165,EVEN,: ,YTD Victories: 
FedExCup Fall Points,157,163,EVEN,: ,: 
Comcast Business TOUR TOP 10,157,163,EVEN,# of Wins: 0,# of Top 10's: 0
