Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.904,-,EVEN,Total SG:T: -6.331,Measured Rounds: 7
SG: Tee-to-Green,-0.808,-,EVEN,SG:OTT: -0.494,Measured Rounds: 7
SG: Off-the-Tee,-0.494,-,EVEN,Total SG:OTT: -3.455,Measured Rounds: 7
SG: Approach the Green,-0.684,-,EVEN,Total SG:APP: -4.788,Measured Rounds: 7
SG: Around-the-Green,0.369,-,EVEN,Total SG:ARG: 2.586,Measured Rounds: 7
SG: Putting,-0.096,-,EVEN,Total SG:Putting: -0.675,Measured Rounds: 7
Longest Drives,338,482,EVEN,Tournament: ISCO Championship,Round: 1
Driving Distance,297.6,-,EVEN,"Total Distance: 7,738",Total Drives: 26
Driving Distance - All Drives,285.5,-,EVEN,"Total Distance: 27,976",# of Drives: 98
Driving Accuracy Percentage,59.34%,-,EVEN,Fairways Hit: 108,Possible Fairways: 182
Left Rough Tendency,12.37%,-,EVEN,Total Left rough: 12,Possible Fwys: 97
Right Rough Tendency,19.59%,-,EVEN,Total Right rough: 19,Possible Fwys: 97
Distance from Edge of Fairway,37' 8,-,EVEN,"Total Distance (Feet): 1,583.500",Total Strokes: 42
Club Head Speed,113.65,-,EVEN,"Total Club Head Speed: 3,295.79",Total Attempts: 29
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.82%,-,EVEN,Greens Hit: 147,# Holes: 234
Proximity to Hole,37' 6,-,EVEN,"Total Distance (feet): 4,612.250",# of Attempts: 123
Approaches from > 275 yards,126' 6,-,EVEN,Total Distance (feet): 126.500,# of Attempts: 1
Approaches from 250-275 yards,39' 4,-,EVEN,Total Distance (feet): 39.333,# of Attempts: 1
Approaches from 225-250 yards,68' 7,-,EVEN,Total Distance (feet): 411.250,# of Attempts: 6
Approaches from 200-225 yards,37' 5,-,EVEN,Total Distance (feet): 262.167,# of Attempts: 7
Approaches from > 200 yards,55' 11,-,EVEN,Total Distance (feet): 839.250,# of Attempts: 15
Approaches from 175-200 yards,40' 9,-,EVEN,Total Distance (feet): 896.167,# of Attempts: 22
Approaches from 150-175 yards,39' 11,-,EVEN,Total Distance (feet): 359.000,# of Attempts: 9
Approaches from 125-150 yards,25' 2,-,EVEN,Total Distance (feet): 377.333,# of Attempts: 15
Approaches from 50-125 yards,16' 6,-,EVEN,Total Distance (feet): 428.083,# of Attempts: 26
Approaches from 100-125 yards,12' 11,-,EVEN,Total Distance (feet): 155.000,# of Attempts: 12
Approaches from 75-100 yards,21' 3,-,EVEN,Total Distance (feet): 191.500,# of Attempts: 9
Approaches from 50-75 yards,16' 4,-,EVEN,Total Distance (feet): 81.583,# of Attempts: 5
