Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.381,-,EVEN,Total SG:T: -31.774,Measured Rounds: 23
SG: Tee-to-Green,-1.756,-,EVEN,SG:OTT: -0.923,Measured Rounds: 23
SG: Off-the-Tee,-0.923,-,EVEN,Total SG:OTT: -21.238,Measured Rounds: 23
SG: Approach the Green,-0.917,-,EVEN,Total SG:APP: -21.097,Measured Rounds: 23
SG: Around-the-Green,0.084,-,EVEN,Total SG:ARG: 1.941,Measured Rounds: 23
SG: Putting,0.375,-,EVEN,Total SG:Putting: 8.621,Measured Rounds: 23
Longest Drives,365,181,EVEN,Tournament: Valero,Round: 2
Driving Distance,298.8,-,EVEN,"Total Distance: 18,527",Total Drives: 62
Driving Distance - All Drives,288.5,-,EVEN,"Total Distance: 90,598",# of Drives: 314
Driving Accuracy Percentage,50.23%,-,EVEN,Fairways Hit: 214,Possible Fairways: 426
Left Rough Tendency,18.09%,-,EVEN,Total Left rough: 55,Possible Fwys: 304
Right Rough Tendency,20.72%,-,EVEN,Total Right rough: 63,Possible Fwys: 304
Distance from Edge of Fairway,35' 5,-,EVEN,"Total Distance (Feet): 5,449.917",Total Strokes: 154
Club Head Speed,116.18,-,EVEN,"Total Club Head Speed: 12,199.09",Total Attempts: 105
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,59.68%,-,EVEN,Greens Hit: 333,# Holes: 558
Proximity to Hole,42' 8,-,EVEN,"Total Distance (feet): 17,612.167",# of Attempts: 413
Approaches from > 275 yards,109' 11,-,EVEN,Total Distance (feet): 549.500,# of Attempts: 5
Approaches from 250-275 yards,69' 4,-,EVEN,Total Distance (feet): 485.417,# of Attempts: 7
Approaches from 225-250 yards,61' 7,-,EVEN,"Total Distance (feet): 1,169.500",# of Attempts: 19
Approaches from 200-225 yards,53' 1,-,EVEN,"Total Distance (feet): 1,752.500",# of Attempts: 33
Approaches from > 200 yards,61' 10,-,EVEN,"Total Distance (feet): 3,956.917",# of Attempts: 64
Approaches from 175-200 yards,37' 0,-,EVEN,"Total Distance (feet): 2,147.000",# of Attempts: 58
Approaches from 150-175 yards,36' 11,-,EVEN,"Total Distance (feet): 2,287.000",# of Attempts: 62
Approaches from 125-150 yards,28' 5,-,EVEN,Total Distance (feet): 937.667,# of Attempts: 33
Approaches from 50-125 yards,20' 2,-,EVEN,"Total Distance (feet): 1,127.250",# of Attempts: 56
Approaches from 100-125 yards,22' 11,-,EVEN,Total Distance (feet): 756.000,# of Attempts: 33
Approaches from 75-100 yards,17' 3,-,EVEN,Total Distance (feet): 258.583,# of Attempts: 15
Approaches from 50-75 yards,14' 1,-,EVEN,Total Distance (feet): 112.667,# of Attempts: 8
Approaches from inside 100 yards,15' 9,-,EVEN,Total Distance (feet): 378.667,# of Attempts: 24
Approaches from > 100 yards,40' 4,-,EVEN,"Total Distance (feet): 10,084.583",# of Attempts: 250
Fairway Proximity,38' 2,-,EVEN,: ,Attempts: 274
Rough Proximity,49' 5,-,EVEN,"Total Distance (inches): 68,248",Attempts: 115
Left Rough Proximity,47' 7,-,EVEN,: ,Attempts: 58
Right Rough Proximity,51' 5,-,EVEN,: ,Attempts: 57
Approaches from > 275 yards (Rgh),102' 10,-,EVEN,Total Distance (feet): 308.500,# of Attempts: 3
Approaches from 250-275 yards (Rgh),55' 2,-,EVEN,Total Distance (feet): 220.667,# of Attempts: 4
Approaches from 225-250 yards (Rgh),86' 3,-,EVEN,Total Distance (feet): 775.917,# of Attempts: 9
Approaches from 200-225 yards (Rgh),78' 4,-,EVEN,"Total Distance (feet): 1,018.250",# of Attempts: 13
Approaches from > 100 yards (Rgh),53' 7,-,EVEN,"Total Distance (feet): 5,254.583",# of Attempts: 98
Approaches from inside 100 yards (Rgh),25' 5,-,EVEN,Total Distance (feet): 432.750,# of Attempts: 17
Approaches from > 200 yards (Rgh),80' 1,-,EVEN,"Total Distance (feet): 2,323.333",# of Attempts: 29
Approaches from 175-200 yards (Rgh),59' 8,-,EVEN,Total Distance (feet): 894.583,# of Attempts: 15
Approaches from 150-175 yards (Rgh),44' 3,-,EVEN,Total Distance (feet): 929.167,# of Attempts: 21
Approaches from 125-150 yards (Rgh),37' 0,-,EVEN,Total Distance (feet): 666.333,# of Attempts: 18
Approaches from 50-125 yards (Rgh),29' 10,-,EVEN,Total Distance (feet): 865.583,# of Attempts: 29
Approaches from 100-125 yards (Rgh),29' 5,-,EVEN,Total Distance (feet): 441.167,# of Attempts: 15
Approaches from 75-100 yards (Rgh),32' 4,-,EVEN,Total Distance (feet): 226.167,# of Attempts: 7
Approaches from 50-75 yards (Rgh),28' 4,-,EVEN,Total Distance (feet): 198.250,# of Attempts: 7
Going for the Green,44.58%,-,EVEN,Attempts: 37,Non-Attempts: 46
Going for the Green - Hit Green Pct.,21.62%,-,EVEN,Successes: 8,Attempts: 37
Going for the Green - Birdie or Better,62.16%,-,EVEN,# of Birdie or Better: 23,Attempts: 37
Total Hole Outs,12,-,EVEN,: ,: 
Longest Hole Outs (in yards),26,138,EVEN,Tournament: Valspar,Round- Course: 2
Scrambling,60.00%,-,EVEN,Par or Better: 135,Missed GIR: 225
Scrambling from the Rough,52.87%,-,EVEN,Successes: 46,Attempts: 87
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,34.78%,-,EVEN,Successes: 16,Attempts: 46
Scrambling from 20-30 yards,50.00%,-,EVEN,Successes: 16,Attempts: 32
Scrambling from 10-20 yards,65.63%,-,EVEN,Successes: 42,Attempts: 64
Scrambling from < 10 yards,86.96%,-,EVEN,Successes: 20,Attempts: 23
Sand Save Percentage,62.79%,-,EVEN,# Saves: 27,# Bunkers: 43
