Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.974,-,EVEN,Total SG:T: -3.896,Measured Rounds: 4
SG: Tee-to-Green,-1.504,-,EVEN,SG:OTT: -0.488,Measured Rounds: 4
SG: Off-the-Tee,-0.488,-,EVEN,Total SG:OTT: -1.951,Measured Rounds: 4
SG: Approach the Green,-0.070,-,EVEN,Total SG:APP: -0.279,Measured Rounds: 4
SG: Around-the-Green,-0.947,-,EVEN,Total SG:ARG: -3.789,Measured Rounds: 4
SG: Putting,0.531,-,EVEN,Total SG:Putting: 2.122,Measured Rounds: 4
Longest Drives,359,223,EVEN,Tournament: Corales Puntacana,Round: 2
Driving Distance,319.3,-,EVEN,"Total Distance: 3,831",Total Drives: 12
Driving Distance - All Drives,308.5,-,EVEN,"Total Distance: 17,278",# of Drives: 56
Driving Accuracy Percentage,53.57%,-,EVEN,Fairways Hit: 45,Possible Fairways: 84
Left Rough Tendency,17.86%,-,EVEN,Total Left rough: 10,Possible Fwys: 56
Right Rough Tendency,21.43%,-,EVEN,Total Right rough: 12,Possible Fwys: 56
Distance from Edge of Fairway,50' 9,-,EVEN,"Total Distance (Feet): 1,472.083",Total Strokes: 29
Club Head Speed,129.31,-,EVEN,"Total Club Head Speed: 2,068.92",Total Attempts: 16
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,71.30%,-,EVEN,Greens Hit: 77,# Holes: 108
Proximity to Hole,41' 2,-,EVEN,"Total Distance (feet): 2,961.333",# of Attempts: 72
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,50' 4,-,EVEN,Total Distance (feet): 302.083,# of Attempts: 6
Approaches from 200-225 yards,44' 11,-,EVEN,Total Distance (feet): 404.083,# of Attempts: 9
Approaches from > 200 yards,47' 1,-,EVEN,Total Distance (feet): 706.167,# of Attempts: 15
Approaches from 175-200 yards,30' 0,-,EVEN,Total Distance (feet): 329.750,# of Attempts: 11
Approaches from 150-175 yards,36' 9,-,EVEN,Total Distance (feet): 220.500,# of Attempts: 6
Approaches from 125-150 yards,19' 7,-,EVEN,Total Distance (feet): 97.750,# of Attempts: 5
Approaches from 50-125 yards,18' 1,-,EVEN,Total Distance (feet): 72.250,# of Attempts: 4
Approaches from 100-125 yards,31' 2,-,EVEN,Total Distance (feet): 62.333,# of Attempts: 2
