Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-5.788,-,EVEN,Total SG:T: -11.575,Measured Rounds: 2
SG: Tee-to-Green,-4.898,-,EVEN,SG:OTT: -0.447,Measured Rounds: 2
SG: Off-the-Tee,-0.447,-,EVEN,Total SG:OTT: -0.894,Measured Rounds: 2
SG: Approach the Green,-4.034,-,EVEN,Total SG:APP: -8.068,Measured Rounds: 2
SG: Around-the-Green,-0.417,-,EVEN,Total SG:ARG: -0.834,Measured Rounds: 2
SG: Putting,-0.890,-,EVEN,Total SG:Putting: -1.780,Measured Rounds: 2
Longest Drives,342,461,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,313.3,-,EVEN,"Total Distance: 1,253",Total Drives: 4
Driving Distance - All Drives,286.6,-,EVEN,"Total Distance: 8,025",# of Drives: 28
Driving Accuracy Percentage,57.14%,-,EVEN,Fairways Hit: 16,Possible Fairways: 28
Left Rough Tendency,3.70%,-,EVEN,Total Left rough: 1,Possible Fwys: 27
Right Rough Tendency,29.63%,-,EVEN,Total Right rough: 8,Possible Fwys: 27
Distance from Edge of Fairway,32' 11,-,EVEN,Total Distance (Feet): 362.500,Total Strokes: 11
Club Head Speed,112.62,-,EVEN,"Total Club Head Speed: 1,013.57",Total Attempts: 9
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,44.44%,-,EVEN,Greens Hit: 16,# Holes: 36
Proximity to Hole,54' 5,-,EVEN,"Total Distance (feet): 1,903.750",# of Attempts: 35
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,64' 9,-,EVEN,Total Distance (feet): 388.500,# of Attempts: 6
Approaches from 200-225 yards,49' 3,-,EVEN,Total Distance (feet): 196.833,# of Attempts: 4
Approaches from > 200 yards,58' 6,-,EVEN,Total Distance (feet): 585.333,# of Attempts: 10
Approaches from 175-200 yards,34' 7,-,EVEN,Total Distance (feet): 103.833,# of Attempts: 3
Approaches from 150-175 yards,40' 4,-,EVEN,Total Distance (feet): 241.750,# of Attempts: 6
Approaches from 125-150 yards,20' 4,-,EVEN,Total Distance (feet): 40.583,# of Attempts: 2
Approaches from 50-125 yards,20' 8,-,EVEN,Total Distance (feet): 82.500,# of Attempts: 4
Approaches from 100-125 yards,11' 9,-,EVEN,Total Distance (feet): 23.500,# of Attempts: 2
Approaches from 75-100 yards,29' 6,-,EVEN,Total Distance (feet): 59.000,# of Attempts: 2
Approaches from 50-75 yards,-,-,EVEN,,
Approaches from inside 100 yards,29' 6,-,EVEN,Total Distance (feet): 59.000,# of Attempts: 2
