Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.100,91,EVEN,Total SG:T: 4.697,Measured Rounds: 47
SG: Tee-to-Green,-0.491,146,EVEN,SG:OTT: -0.301,Measured Rounds: 47
SG: Off-the-Tee,-0.301,143,EVEN,Total SG:OTT: -14.134,Measured Rounds: 47
SG: Approach the Green,-0.168,127,EVEN,Total SG:APP: -7.891,Measured Rounds: 47
SG: Around-the-Green,-0.022,93,EVEN,Total SG:ARG: -1.037,Measured Rounds: 47
SG: Putting,0.591,9,EVEN,Total SG:Putting: 27.761,Measured Rounds: 47
Longest Drives,371,197,EVEN,Tournament: Wyndham,Round: 2
Driving Distance,286.4,161,EVEN,"Total Distance: 30,930",Total Drives: 108
Driving Distance - All Drives,280.3,162,EVEN,"Total Distance: 182,206",# of Drives: 650
Driving Accuracy Percentage,67.25%,12,EVEN,Fairways Hit: 503,Possible Fairways: 748
Left Rough Tendency,10.92%,20,EVEN,Total Left rough: 71,Possible Fwys: 650
Right Rough Tendency,12.15%,17,EVEN,Total Right rough: 79,Possible Fwys: 650
Distance from Edge of Fairway,24' 10,43,EVEN,"Total Distance (Feet): 5,313.250",Total Strokes: 214
Club Head Speed,107.60,163,EVEN,"Total Club Head Speed: 23,886.91",Total Attempts: 222
Total Driving Efficiency,66,32,EVEN,: ,Carry Efficiency Rank: 55
Greens in Regulation Percentage,65.64%,102,EVEN,Greens Hit: 638,# Holes: 972
Proximity to Hole,37' 3,93,EVEN,"Total Distance (feet): 31,193.833",# of Attempts: 838
Approaches from > 275 yards,90' 1,137,EVEN,"Total Distance (feet): 1,350.917",# of Attempts: 15
Approaches from 250-275 yards,73' 2,152,EVEN,"Total Distance (feet): 1,171.000",# of Attempts: 16
Approaches from 225-250 yards,69' 1,165,EVEN,"Total Distance (feet): 2,416.750",# of Attempts: 35
Approaches from 200-225 yards,43' 2,130,EVEN,"Total Distance (feet): 4,057.333",# of Attempts: 94
Approaches from > 200 yards,56' 3,160,EVEN,"Total Distance (feet): 8,996.000",# of Attempts: 160
Approaches from 175-200 yards,37' 3,157,EVEN,"Total Distance (feet): 4,616.583",# of Attempts: 124
Approaches from 150-175 yards,28' 0,86,EVEN,"Total Distance (feet): 3,836.000",# of Attempts: 137
Approaches from 125-150 yards,23' 1,70,EVEN,"Total Distance (feet): 2,030.083",# of Attempts: 88
Approaches from 50-125 yards,17' 0,19,EVEN,"Total Distance (feet): 2,264.417",# of Attempts: 133
Approaches from 100-125 yards,18' 6,38,EVEN,"Total Distance (feet): 1,498.417",# of Attempts: 81
Approaches from 75-100 yards,15' 4,29,EVEN,Total Distance (feet): 691.250,# of Attempts: 45
Approaches from 50-75 yards,10' 8,8,EVEN,Total Distance (feet): 74.750,# of Attempts: 7
Approaches from inside 100 yards,15' 2,29,EVEN,Total Distance (feet): 803.167,# of Attempts: 53
Approaches from > 100 yards,35' 7,144,EVEN,"Total Distance (feet): 20,977.083",# of Attempts: 590
Fairway Proximity,33' 10,145,EVEN,: ,Attempts: 643
Rough Proximity,43' 9,47,EVEN,"Total Distance (inches): 66,722",Attempts: 127
Left Rough Proximity,41' 3,23,EVEN,: ,Attempts: 58
Right Rough Proximity,45' 11,88,EVEN,: ,Attempts: 69
Approaches from > 275 yards (Rgh),121' 5,140,EVEN,Total Distance (feet): 242.833,# of Attempts: 2
Approaches from 250-275 yards (Rgh),56' 8,10,EVEN,Total Distance (feet): 113.250,# of Attempts: 2
Approaches from 225-250 yards (Rgh),78' 1,119,EVEN,Total Distance (feet): 312.417,# of Attempts: 4
Approaches from 200-225 yards (Rgh),58' 8,40,EVEN,Total Distance (feet): 703.917,# of Attempts: 12
Approaches from > 100 yards (Rgh),46' 4,34,EVEN,"Total Distance (feet): 5,235.417",# of Attempts: 113
Approaches from inside 100 yards (Rgh),23' 2,36,EVEN,Total Distance (feet): 324.750,# of Attempts: 14
Approaches from > 200 yards (Rgh),68' 7,45,EVEN,"Total Distance (feet): 1,372.417",# of Attempts: 20
