Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.302,131,EVEN,Total SG:T: -11.182,Measured Rounds: 37
SG: Tee-to-Green,-0.416,144,EVEN,SG:OTT: -1.033,Measured Rounds: 37
SG: Off-the-Tee,-1.033,168,EVEN,Total SG:OTT: -38.217,Measured Rounds: 37
SG: Approach the Green,0.316,38,EVEN,Total SG:APP: 11.698,Measured Rounds: 37
SG: Around-the-Green,0.301,18,EVEN,Total SG:ARG: 11.132,Measured Rounds: 37
SG: Putting,0.114,70,EVEN,Total SG:Putting: 4.205,Measured Rounds: 37
Longest Drives,339,331,EVEN,Tournament: Truist,Round: 3
Driving Distance,276.1,171,EVEN,"Total Distance: 24,298",Total Drives: 88
Driving Distance - All Drives,273.2,171,EVEN,"Total Distance: 139,877",# of Drives: 512
Driving Accuracy Percentage,65.74%,23,EVEN,Fairways Hit: 401,Possible Fairways: 610
Left Rough Tendency,12.94%,84,EVEN,Total Left rough: 66,Possible Fwys: 510
Right Rough Tendency,13.53%,36,EVEN,Total Right rough: 69,Possible Fwys: 510
Distance from Edge of Fairway,25' 1,44,EVEN,"Total Distance (Feet): 4,613.583",Total Strokes: 184
Club Head Speed,108.32,168,EVEN,"Total Club Head Speed: 21,013.36",Total Attempts: 194
Total Driving Efficiency,300,156,EVEN,: ,Carry Efficiency Rank: 158
Greens in Regulation Percentage,62.25%,154,EVEN,Greens Hit: 493,# Holes: 792
Proximity to Hole,36' 9,52,EVEN,"Total Distance (feet): 24,354.167",# of Attempts: 662
Approaches from > 275 yards,81' 11,86,EVEN,"Total Distance (feet): 1,064.917",# of Attempts: 13
Approaches from 250-275 yards,62' 8,85,EVEN,"Total Distance (feet): 1,002.333",# of Attempts: 16
Approaches from 225-250 yards,53' 0,127,EVEN,"Total Distance (feet): 2,014.917",# of Attempts: 38
Approaches from 200-225 yards,44' 5,133,EVEN,"Total Distance (feet): 3,020.000",# of Attempts: 68
Approaches from > 200 yards,52' 7,117,EVEN,"Total Distance (feet): 7,102.167",# of Attempts: 135
Approaches from 175-200 yards,33' 5,75,EVEN,"Total Distance (feet): 3,672.917",# of Attempts: 110
Approaches from 150-175 yards,26' 9,32,EVEN,"Total Distance (feet): 2,539.833",# of Attempts: 95
Approaches from 125-150 yards,24' 7,114,EVEN,"Total Distance (feet): 1,599.417",# of Attempts: 65
Approaches from 50-125 yards,17' 7,39,EVEN,"Total Distance (feet): 1,832.083",# of Attempts: 104
Approaches from 100-125 yards,21' 6,135,EVEN,"Total Distance (feet): 1,139.833",# of Attempts: 53
Approaches from 75-100 yards,15' 5,35,EVEN,Total Distance (feet): 569.417,# of Attempts: 37
Approaches from 50-75 yards,8' 9,3,EVEN,Total Distance (feet): 122.833,# of Attempts: 14
Approaches from inside 100 yards,13' 2,1,EVEN,Total Distance (feet): 710.500,# of Attempts: 54
Approaches from > 100 yards,35' 1,111,EVEN,"Total Distance (feet): 16,054.167",# of Attempts: 458
Fairway Proximity,32' 9,87,EVEN,: ,Attempts: 512
Rough Proximity,48' 0,153,EVEN,"Total Distance (inches): 63,385",Attempts: 110
Left Rough Proximity,43' 0,61,EVEN,: ,Attempts: 58
Right Rough Proximity,53' 7,169,EVEN,: ,Attempts: 52
Approaches from > 275 yards (Rgh),138' 8,156,EVEN,Total Distance (feet): 277.333,# of Attempts: 2
Approaches from 250-275 yards (Rgh),98' 1,150,EVEN,Total Distance (feet): 490.333,# of Attempts: 5
Approaches from 225-250 yards (Rgh),79' 2,130,EVEN,Total Distance (feet): 553.917,# of Attempts: 7
Approaches from 200-225 yards (Rgh),66' 4,96,EVEN,Total Distance (feet): 795.583,# of Attempts: 12
Approaches from > 100 yards (Rgh),51' 5,149,EVEN,"Total Distance (feet): 4,833.667",# of Attempts: 94
Approaches from inside 100 yards (Rgh),28' 0,142,EVEN,Total Distance (feet): 448.417,# of Attempts: 16
Approaches from > 200 yards (Rgh),81' 5,160,EVEN,"Total Distance (feet): 2,117.167",# of Attempts: 26
Approaches from 175-200 yards (Rgh),54' 5,109,EVEN,Total Distance (feet): 870.000,# of Attempts: 16
Approaches from 150-175 yards (Rgh),36' 2,5,EVEN,Total Distance (feet): 940.750,# of Attempts: 26
Approaches from 125-150 yards (Rgh),44' 0,160,EVEN,Total Distance (feet): 616.333,# of Attempts: 14
Approaches from 50-125 yards (Rgh),26' 4,54,EVEN,Total Distance (feet): 737.833,# of Attempts: 28
Approaches from 100-125 yards (Rgh),24' 1,16,EVEN,Total Distance (feet): 289.417,# of Attempts: 12
Approaches from 75-100 yards (Rgh),33' 1,155,EVEN,Total Distance (feet): 364.250,# of Attempts: 11
Approaches from 50-75 yards (Rgh),16' 10,23,EVEN,Total Distance (feet): 84.167,# of Attempts: 5
Going for the Green,29.66%,171,EVEN,Attempts: 43,Non-Attempts: 102
