Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.167,84,EVEN,Total SG:T: 10.173,Measured Rounds: 61
SG: Tee-to-Green,0.086,91,EVEN,SG:OTT: 0.006,Measured Rounds: 61
SG: Off-the-Tee,0.006,105,EVEN,Total SG:OTT: 0.381,Measured Rounds: 61
SG: Approach the Green,-0.018,104,EVEN,Total SG:APP: -1.109,Measured Rounds: 61
SG: Around-the-Green,0.098,61,EVEN,Total SG:ARG: 5.999,Measured Rounds: 61
SG: Putting,0.080,78,EVEN,Total SG:Putting: 4.902,Measured Rounds: 61
Longest Drives,428,6,EVEN,Tournament: Sentry,Round: 4
Driving Distance,292.3,154,EVEN,"Total Distance: 39,171",Total Drives: 134
Driving Distance - All Drives,288.7,136,EVEN,"Total Distance: 247,718",# of Drives: 858
Driving Accuracy Percentage,63.16%,41,EVEN,Fairways Hit: 595,Possible Fairways: 942
Left Rough Tendency,12.73%,75,EVEN,Total Left rough: 109,Possible Fwys: 856
Right Rough Tendency,13.32%,32,EVEN,Total Right rough: 114,Possible Fwys: 856
Distance from Edge of Fairway,22' 0,15,EVEN,"Total Distance (Feet): 6,568.167",Total Strokes: 299
Club Head Speed,110.97,161,EVEN,"Total Club Head Speed: 34,956.17",Total Attempts: 315
Total Driving Efficiency,56,27,EVEN,: ,Carry Efficiency Rank: 48
Greens in Regulation Percentage,65.84%,86,EVEN,Greens Hit: 794,"# Holes: 1,206"
Proximity to Hole,36' 6,43,EVEN,"Total Distance (feet): 39,693.500","# of Attempts: 1,087"
Approaches from > 275 yards,97' 6,161,EVEN,"Total Distance (feet): 1,852.333",# of Attempts: 19
Approaches from 250-275 yards,60' 7,67,EVEN,"Total Distance (feet): 2,121.583",# of Attempts: 35
Approaches from 225-250 yards,50' 3,85,EVEN,"Total Distance (feet): 2,714.083",# of Attempts: 54
Approaches from 200-225 yards,44' 0,128,EVEN,"Total Distance (feet): 4,050.500",# of Attempts: 92
Approaches from > 200 yards,53' 8,133,EVEN,"Total Distance (feet): 10,738.500",# of Attempts: 200
Approaches from 175-200 yards,32' 11,58,EVEN,"Total Distance (feet): 4,806.750",# of Attempts: 146
Approaches from 150-175 yards,27' 6,53,EVEN,"Total Distance (feet): 4,344.667",# of Attempts: 158
Approaches from 125-150 yards,23' 0,56,EVEN,"Total Distance (feet): 2,642.917",# of Attempts: 115
