Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.102,115,EVEN,Total SG:T: -5.321,Measured Rounds: 52
SG: Tee-to-Green,-0.276,132,EVEN,SG:OTT: -0.081,Measured Rounds: 52
SG: Off-the-Tee,-0.081,114,EVEN,Total SG:OTT: -4.209,Measured Rounds: 52
SG: Approach the Green,-0.342,147,EVEN,Total SG:APP: -17.777,Measured Rounds: 52
SG: Around-the-Green,0.147,47,EVEN,Total SG:ARG: 7.648,Measured Rounds: 52
SG: Putting,0.173,48,EVEN,Total SG:Putting: 9.016,Measured Rounds: 52
Longest Drives,394,73,EVEN,Tournament: Sentry,Round: 1
Driving Distance,290.3,157,EVEN,"Total Distance: 33,678",Total Drives: 116
Driving Distance - All Drives,285.3,153,EVEN,"Total Distance: 208,298",# of Drives: 730
Driving Accuracy Percentage,68.67%,8,EVEN,Fairways Hit: 559,Possible Fairways: 814
Left Rough Tendency,11.00%,25,EVEN,Total Left rough: 80,Possible Fwys: 727
Right Rough Tendency,13.76%,48,EVEN,Total Right rough: 100,Possible Fwys: 727
Distance from Edge of Fairway,22' 8,20,EVEN,"Total Distance (Feet): 5,076.333",Total Strokes: 224
Club Head Speed,108.89,161,EVEN,"Total Club Head Speed: 27,113.55",Total Attempts: 249
Total Driving Efficiency,30,10,EVEN,: ,Carry Efficiency Rank: 28
Greens in Regulation Percentage,68.97%,31,EVEN,Greens Hit: 720,"# Holes: 1,044"
Proximity to Hole,36' 0,38,EVEN,"Total Distance (feet): 33,433.750",# of Attempts: 929
Approaches from > 275 yards,105' 1,162,EVEN,Total Distance (feet): 840.500,# of Attempts: 8
Approaches from 250-275 yards,69' 6,135,EVEN,"Total Distance (feet): 1,806.667",# of Attempts: 26
Approaches from 225-250 yards,50' 11,97,EVEN,"Total Distance (feet): 2,443.750",# of Attempts: 48
Approaches from 200-225 yards,44' 6,145,EVEN,"Total Distance (feet): 3,425.667",# of Attempts: 77
Approaches from > 200 yards,53' 7,147,EVEN,"Total Distance (feet): 8,516.583",# of Attempts: 159
Approaches from 175-200 yards,33' 6,85,EVEN,"Total Distance (feet): 4,617.250",# of Attempts: 138
Approaches from 150-175 yards,27' 10,75,EVEN,"Total Distance (feet): 4,207.500",# of Attempts: 151
Approaches from 125-150 yards,23' 10,101,EVEN,"Total Distance (feet): 2,767.250",# of Attempts: 116
Approaches from 50-125 yards,18' 7,92,EVEN,"Total Distance (feet): 2,731.750",# of Attempts: 147
Approaches from 100-125 yards,18' 10,53,EVEN,"Total Distance (feet): 1,490.083",# of Attempts: 79
Approaches from 75-100 yards,18' 0,99,EVEN,Total Distance (feet): 971.833,# of Attempts: 54
