Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.044,-,EVEN,Total SG:T: -5.219,Measured Rounds: 5
SG: Tee-to-Green,-1.162,-,EVEN,SG:OTT: -1.369,Measured Rounds: 5
SG: Off-the-Tee,-1.369,-,EVEN,Total SG:OTT: -6.843,Measured Rounds: 5
SG: Approach the Green,0.745,-,EVEN,Total SG:APP: 3.727,Measured Rounds: 5
SG: Around-the-Green,-0.539,-,EVEN,Total SG:ARG: -2.693,Measured Rounds: 5
SG: Putting,0.118,-,EVEN,Total SG:Putting: 0.590,Measured Rounds: 5
Longest Drives,348,285,EVEN,Tournament: Valero,Round: 2
Driving Distance,298.6,-,EVEN,"Total Distance: 4,181",Total Drives: 14
Driving Distance - All Drives,286.8,-,EVEN,"Total Distance: 19,501",# of Drives: 68
Driving Accuracy Percentage,45.83%,-,EVEN,Fairways Hit: 44,Possible Fairways: 96
Left Rough Tendency,19.40%,-,EVEN,Total Left rough: 13,Possible Fwys: 67
Right Rough Tendency,25.37%,-,EVEN,Total Right rough: 17,Possible Fwys: 67
Distance from Edge of Fairway,42' 1,-,EVEN,"Total Distance (Feet): 1,853.333",Total Strokes: 44
Club Head Speed,114.21,-,EVEN,"Total Club Head Speed: 2,741.05",Total Attempts: 24
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,60.32%,-,EVEN,Greens Hit: 76,# Holes: 126
Proximity to Hole,34' 9,-,EVEN,"Total Distance (feet): 3,128.583",# of Attempts: 90
Approaches from > 275 yards,75' 0,-,EVEN,Total Distance (feet): 150.000,# of Attempts: 2
Approaches from 250-275 yards,43' 0,-,EVEN,Total Distance (feet): 43.000,# of Attempts: 1
Approaches from 225-250 yards,65' 3,-,EVEN,Total Distance (feet): 260.833,# of Attempts: 4
Approaches from 200-225 yards,36' 10,-,EVEN,Total Distance (feet): 221.167,# of Attempts: 6
Approaches from > 200 yards,51' 11,-,EVEN,Total Distance (feet): 675.000,# of Attempts: 13
Approaches from 175-200 yards,28' 0,-,EVEN,Total Distance (feet): 308.167,# of Attempts: 11
Approaches from 150-175 yards,29' 10,-,EVEN,Total Distance (feet): 298.333,# of Attempts: 10
Approaches from 125-150 yards,28' 10,-,EVEN,Total Distance (feet): 259.167,# of Attempts: 9
Approaches from 50-125 yards,14' 11,-,EVEN,Total Distance (feet): 194.000,# of Attempts: 13
Approaches from 100-125 yards,13' 11,-,EVEN,Total Distance (feet): 97.333,# of Attempts: 7
