Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.266,133,EVEN,Total SG:T: -19.666,Measured Rounds: 74
SG: Tee-to-Green,0.162,78,EVEN,SG:OTT: 0.347,Measured Rounds: 74
SG: Off-the-Tee,0.347,27,EVEN,Total SG:OTT: 25.713,Measured Rounds: 74
SG: Approach the Green,-0.378,150,EVEN,Total SG:APP: -27.940,Measured Rounds: 74
SG: Around-the-Green,0.192,31,EVEN,Total SG:ARG: 14.213,Measured Rounds: 74
SG: Putting,-0.428,152,EVEN,Total SG:Putting: -31.655,Measured Rounds: 74
Longest Drives,440,3,EVEN,Tournament: Sentry,Round: 4
Driving Distance,307.7,50,EVEN,"Total Distance: 49,224",Total Drives: 160
Driving Distance - All Drives,302.1,19,EVEN,"Total Distance: 311,777","# of Drives: 1,032"
Driving Accuracy Percentage,53.85%,146,EVEN,Fairways Hit: 601,"Possible Fairways: 1,116"
Left Rough Tendency,15.69%,127,EVEN,Total Left rough: 160,"Possible Fwys: 1,020"
Right Rough Tendency,14.61%,70,EVEN,Total Right rough: 149,"Possible Fwys: 1,020"
Distance from Edge of Fairway,29' 7,109,EVEN,"Total Distance (Feet): 13,296.250",Total Strokes: 449
Club Head Speed,117.06,74,EVEN,"Total Club Head Speed: 41,789.17",Total Attempts: 357
Total Driving Efficiency,31,12,EVEN,: ,Carry Efficiency Rank: 5
Greens in Regulation Percentage,64.72%,124,EVEN,Greens Hit: 932,"# Holes: 1,440"
Proximity to Hole,39' 7,157,EVEN,"Total Distance (feet): 52,322.750","# of Attempts: 1,323"
Approaches from > 275 yards,80' 4,70,EVEN,"Total Distance (feet): 1,284.667",# of Attempts: 16
Approaches from 250-275 yards,80' 0,165,EVEN,"Total Distance (feet): 2,400.167",# of Attempts: 30
Approaches from 225-250 yards,61' 9,164,EVEN,"Total Distance (feet): 4,135.750",# of Attempts: 67
Approaches from 200-225 yards,41' 1,83,EVEN,"Total Distance (feet): 4,682.250",# of Attempts: 114
Approaches from > 200 yards,55' 1,155,EVEN,"Total Distance (feet): 12,502.833",# of Attempts: 227
Approaches from 175-200 yards,35' 5,128,EVEN,"Total Distance (feet): 4,958.583",# of Attempts: 140
Approaches from 150-175 yards,28' 4,97,EVEN,"Total Distance (feet): 4,339.583",# of Attempts: 153
Approaches from 125-150 yards,23' 1,70,EVEN,"Total Distance (feet): 2,998.500",# of Attempts: 130
Approaches from 50-125 yards,18' 5,83,EVEN,"Total Distance (feet): 3,524.500",# of Attempts: 191
Approaches from 100-125 yards,18' 10,53,EVEN,"Total Distance (feet): 1,879.167",# of Attempts: 100
Approaches from 75-100 yards,19' 1,130,EVEN,"Total Distance (feet): 1,085.667",# of Attempts: 57
Approaches from 50-75 yards,16' 6,102,EVEN,Total Distance (feet): 559.667,# of Attempts: 34
Approaches from inside 100 yards,17' 5,103,EVEN,"Total Distance (feet): 1,670.000",# of Attempts: 96
Approaches from > 100 yards,35' 7,144,EVEN,"Total Distance (feet): 26,678.667",# of Attempts: 750
Fairway Proximity,33' 6,140,EVEN,: ,Attempts: 846
Rough Proximity,44' 4,64,EVEN,"Total Distance (inches): 154,672",Attempts: 291
Left Rough Proximity,44' 5,75,EVEN,: ,Attempts: 154
Right Rough Proximity,44' 1,53,EVEN,: ,Attempts: 137
Approaches from > 275 yards (Rgh),123' 2,145,EVEN,Total Distance (feet): 123.167,# of Attempts: 1
Approaches from 250-275 yards (Rgh),96' 6,147,EVEN,Total Distance (feet): 675.583,# of Attempts: 7
Approaches from 225-250 yards (Rgh),81' 10,136,EVEN,Total Distance (feet): 981.583,# of Attempts: 12
Approaches from 200-225 yards (Rgh),71' 2,122,EVEN,"Total Distance (feet): 1,566.333",# of Attempts: 22
Approaches from > 100 yards (Rgh),49' 6,121,EVEN,"Total Distance (feet): 11,636.333",# of Attempts: 235
