Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.455,-,EVEN,Total SG:T: -10.928,Measured Rounds: 24
SG: Tee-to-Green,0.036,-,EVEN,SG:OTT: -0.038,Measured Rounds: 24
SG: Off-the-Tee,-0.038,-,EVEN,Total SG:OTT: -0.901,Measured Rounds: 24
SG: Approach the Green,-0.283,-,EVEN,Total SG:APP: -6.784,Measured Rounds: 24
SG: Around-the-Green,0.356,-,EVEN,Total SG:ARG: 8.546,Measured Rounds: 24
SG: Putting,-0.491,-,EVEN,Total SG:Putting: -11.787,Measured Rounds: 24
Longest Drives,365,257,EVEN,Tournament: Sony Open,Round: 3
Driving Distance,294.0,-,EVEN,"Total Distance: 14,111",Total Drives: 48
Driving Distance - All Drives,286.0,-,EVEN,"Total Distance: 93,231",# of Drives: 326
Driving Accuracy Percentage,62.27%,-,EVEN,Fairways Hit: 203,Possible Fairways: 326
Left Rough Tendency,10.28%,-,EVEN,Total Left rough: 33,Possible Fwys: 321
Right Rough Tendency,14.64%,-,EVEN,Total Right rough: 47,Possible Fwys: 321
Distance from Edge of Fairway,23' 6,-,EVEN,"Total Distance (Feet): 2,730.417",Total Strokes: 116
Club Head Speed,109.89,-,EVEN,"Total Club Head Speed: 13,077.12",Total Attempts: 119
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,63.43%,-,EVEN,Greens Hit: 274,# Holes: 432
Proximity to Hole,38' 11,-,EVEN,"Total Distance (feet): 16,702.500",# of Attempts: 429
Approaches from > 275 yards,62' 11,-,EVEN,Total Distance (feet): 251.583,# of Attempts: 4
Approaches from 250-275 yards,79' 9,-,EVEN,Total Distance (feet): 957.083,# of Attempts: 12
Approaches from 225-250 yards,45' 9,-,EVEN,"Total Distance (feet): 1,053.000",# of Attempts: 23
Approaches from 200-225 yards,45' 7,-,EVEN,"Total Distance (feet): 1,732.250",# of Attempts: 38
Approaches from > 200 yards,51' 10,-,EVEN,"Total Distance (feet): 3,993.917",# of Attempts: 77
Approaches from 175-200 yards,38' 8,-,EVEN,"Total Distance (feet): 2,550.750",# of Attempts: 66
Approaches from 150-175 yards,29' 0,-,EVEN,"Total Distance (feet): 1,941.833",# of Attempts: 67
Approaches from 125-150 yards,27' 6,-,EVEN,"Total Distance (feet): 1,512.833",# of Attempts: 55
Approaches from 50-125 yards,18' 10,-,EVEN,Total Distance (feet): 904.667,# of Attempts: 48
Approaches from 100-125 yards,19' 9,-,EVEN,Total Distance (feet): 612.833,# of Attempts: 31
Approaches from 75-100 yards,18' 8,-,EVEN,Total Distance (feet): 242.333,# of Attempts: 13
Approaches from 50-75 yards,12' 5,-,EVEN,Total Distance (feet): 49.500,# of Attempts: 4
Approaches from inside 100 yards,18' 0,-,EVEN,Total Distance (feet): 341.833,# of Attempts: 19
Approaches from > 100 yards,35' 10,-,EVEN,"Total Distance (feet): 10,612.167",# of Attempts: 296
Fairway Proximity,34' 9,-,EVEN,: ,Attempts: 315
Rough Proximity,49' 5,-,EVEN,"Total Distance (inches): 47,449",Attempts: 80
Left Rough Proximity,43' 9,-,EVEN,: ,Attempts: 33
Right Rough Proximity,53' 5,-,EVEN,: ,Attempts: 47
Approaches from > 275 yards (Rgh),139' 11,-,EVEN,Total Distance (feet): 139.917,# of Attempts: 1
Approaches from 250-275 yards (Rgh),80' 4,-,EVEN,Total Distance (feet): 241.083,# of Attempts: 3
Approaches from 225-250 yards (Rgh),72' 1,-,EVEN,Total Distance (feet): 792.917,# of Attempts: 11
Approaches from 200-225 yards (Rgh),65' 1,-,EVEN,Total Distance (feet): 781.000,# of Attempts: 12
Approaches from > 100 yards (Rgh),51' 0,-,EVEN,"Total Distance (feet): 3,875.500",# of Attempts: 76
Approaches from inside 100 yards (Rgh),19' 8,-,EVEN,Total Distance (feet): 78.583,# of Attempts: 4
Approaches from > 200 yards (Rgh),72' 5,-,EVEN,"Total Distance (feet): 1,954.917",# of Attempts: 27
Approaches from 175-200 yards (Rgh),41' 10,-,EVEN,Total Distance (feet): 585.667,# of Attempts: 14
Approaches from 150-175 yards (Rgh),45' 11,-,EVEN,Total Distance (feet): 963.417,# of Attempts: 21
Approaches from 125-150 yards (Rgh),34' 4,-,EVEN,Total Distance (feet): 205.833,# of Attempts: 6
Approaches from 50-125 yards (Rgh),19' 10,-,EVEN,Total Distance (feet): 197.917,# of Attempts: 10
Approaches from 100-125 yards (Rgh),20' 9,-,EVEN,Total Distance (feet): 165.667,# of Attempts: 8
Approaches from 75-100 yards (Rgh),6' 1,-,EVEN,Total Distance (feet): 6.083,# of Attempts: 1
Approaches from 50-75 yards (Rgh),26' 2,-,EVEN,Total Distance (feet): 26.167,# of Attempts: 1
Going for the Green,57.78%,-,EVEN,Attempts: 52,Non-Attempts: 38
Going for the Green - Hit Green Pct.,25.00%,-,EVEN,Successes: 13,Attempts: 52
Going for the Green - Birdie or Better,63.46%,-,EVEN,# of Birdie or Better: 33,Attempts: 52
Total Hole Outs,3,-,EVEN,: ,: 
Longest Hole Outs (in yards),14,255,EVEN,Tournament: Valspar,Round- Course: 3
Scrambling,60.76%,-,EVEN,Par or Better: 96,Missed GIR: 158
Scrambling from the Rough,61.82%,-,EVEN,Successes: 34,Attempts: 55
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,25.00%,-,EVEN,Successes: 6,Attempts: 24
Scrambling from 20-30 yards,53.33%,-,EVEN,Successes: 16,Attempts: 30
Scrambling from 10-20 yards,66.67%,-,EVEN,Successes: 44,Attempts: 66
Scrambling from < 10 yards,85.71%,-,EVEN,Successes: 30,Attempts: 35
Sand Save Percentage,56.82%,-,EVEN,# Saves: 25,# Bunkers: 44
Proximity to Hole from Sand,9' 0,-,EVEN,Total Distance (feet): 379.000,# of Shots: 42
Total Putting,-,-,EVEN,,
Putting Average,1.796,-,EVEN,GIR Putts: 492,Greens Hit: 274
Overall Putting Average,1.632,-,EVEN,# of Putts: 705,# of Holes: 432
Birdie or Better Conversion Percentage,28.47%,-,EVEN,# Birdies: 78,Greens Hit: 274
Putts Per Round,29.38,-,EVEN,Total Putts: 705,Total Rounds: 24
Putts per Round - Round 1,28.71,-,EVEN,Total Putts: 201,Total Rounds: 7
Putts per Round - Round 2,28.86,-,EVEN,Total Putts: 202,Total Rounds: 7
Putts per Round - Round 3,31.60,-,EVEN,Total Putts: 158,Total Rounds: 5
Putts per Round - Round 4,28.80,-,EVEN,Total Putts: 144,Total Rounds: 5
One-Putt Percentage,38.19%,-,EVEN,# of 1 putts: 165,# of holes: 432
