Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.668,153,EVEN,Total SG:T: -33.407,Measured Rounds: 50
SG: Tee-to-Green,-0.635,154,EVEN,SG:OTT: -0.388,Measured Rounds: 50
SG: Off-the-Tee,-0.388,149,EVEN,Total SG:OTT: -19.407,Measured Rounds: 50
SG: Approach the Green,-0.195,129,EVEN,Total SG:APP: -9.766,Measured Rounds: 50
SG: Around-the-Green,-0.052,113,EVEN,Total SG:ARG: -2.592,Measured Rounds: 50
SG: Putting,-0.033,101,EVEN,Total SG:Putting: -1.644,Measured Rounds: 50
Longest Drives,417,13,EVEN,Tournament: Sentry,Round: 2
Driving Distance,301.3,87,EVEN,"Total Distance: 32,544",Total Drives: 108
Driving Distance - All Drives,294.3,76,EVEN,"Total Distance: 206,603",# of Drives: 702
Driving Accuracy Percentage,52.51%,161,EVEN,Fairways Hit: 398,Possible Fairways: 758
Left Rough Tendency,13.96%,109,EVEN,Total Left rough: 97,Possible Fwys: 695
Right Rough Tendency,18.56%,144,EVEN,Total Right rough: 129,Possible Fwys: 695
Distance from Edge of Fairway,32' 7,142,EVEN,"Total Distance (Feet): 10,009.250",Total Strokes: 307
Club Head Speed,117.64,67,EVEN,"Total Club Head Speed: 25,292.84",Total Attempts: 215
Total Driving Efficiency,151,73,EVEN,: ,Carry Efficiency Rank: 67
Greens in Regulation Percentage,62.35%,150,EVEN,Greens Hit: 606,# Holes: 972
Proximity to Hole,39' 2,141,EVEN,"Total Distance (feet): 34,875.583",# of Attempts: 891
Approaches from > 275 yards,71' 2,26,EVEN,"Total Distance (feet): 1,352.167",# of Attempts: 19
Approaches from 250-275 yards,60' 2,65,EVEN,"Total Distance (feet): 1,504.667",# of Attempts: 25
Approaches from 225-250 yards,48' 7,61,EVEN,"Total Distance (feet): 1,993.250",# of Attempts: 41
Approaches from 200-225 yards,40' 8,69,EVEN,"Total Distance (feet): 3,172.167",# of Attempts: 78
