Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.281,72,EVEN,Total SG:T: 17.160,Measured Rounds: 61
SG: Tee-to-Green,-0.253,132,EVEN,SG:OTT: 0.166,Measured Rounds: 61
SG: Off-the-Tee,0.166,63,EVEN,Total SG:OTT: 10.156,Measured Rounds: 61
SG: Approach the Green,-0.363,151,EVEN,Total SG:APP: -22.134,Measured Rounds: 61
SG: Around-the-Green,-0.057,115,EVEN,Total SG:ARG: -3.458,Measured Rounds: 61
SG: Putting,0.534,10,EVEN,Total SG:Putting: 32.594,Measured Rounds: 61
Longest Drives,407,24,EVEN,Tournament: Sentry,Round: 1
Driving Distance,311.6,19,EVEN,"Total Distance: 40,506",Total Drives: 130
Driving Distance - All Drives,302.7,16,EVEN,"Total Distance: 259,083",# of Drives: 856
Driving Accuracy Percentage,52.08%,163,EVEN,Fairways Hit: 475,Possible Fairways: 912
Left Rough Tendency,15.51%,136,EVEN,Total Left rough: 130,Possible Fwys: 838
Right Rough Tendency,17.66%,134,EVEN,Total Right rough: 148,Possible Fwys: 838
Distance from Edge of Fairway,30' 10,118,EVEN,"Total Distance (Feet): 11,717.333",Total Strokes: 380
Club Head Speed,123.07,13,EVEN,"Total Club Head Speed: 38,151.82",Total Attempts: 310
Total Driving Efficiency,299,153,EVEN,: ,Carry Efficiency Rank: 138
Greens in Regulation Percentage,62.82%,145,EVEN,Greens Hit: 735,"# Holes: 1,170"
Proximity to Hole,39' 9,156,EVEN,"Total Distance (feet): 43,053.167","# of Attempts: 1,084"
Approaches from > 275 yards,81' 10,85,EVEN,"Total Distance (feet): 1,964.917",# of Attempts: 24
Approaches from 250-275 yards,74' 9,156,EVEN,"Total Distance (feet): 2,018.500",# of Attempts: 27
Approaches from 225-250 yards,61' 11,168,EVEN,"Total Distance (feet): 3,220.917",# of Attempts: 52
Approaches from 200-225 yards,44' 9,142,EVEN,"Total Distance (feet): 4,339.917",# of Attempts: 97
Approaches from > 200 yards,57' 9,168,EVEN,"Total Distance (feet): 11,544.250",# of Attempts: 200
Approaches from 175-200 yards,36' 9,145,EVEN,"Total Distance (feet): 4,521.250",# of Attempts: 123
Approaches from 150-175 yards,29' 3,119,EVEN,"Total Distance (feet): 3,888.917",# of Attempts: 133
Approaches from 125-150 yards,23' 4,68,EVEN,"Total Distance (feet): 2,594.417",# of Attempts: 111
Approaches from 50-125 yards,19' 9,128,EVEN,"Total Distance (feet): 2,921.000",# of Attempts: 148
Approaches from 100-125 yards,19' 7,73,EVEN,"Total Distance (feet): 1,431.583",# of Attempts: 73
Approaches from 75-100 yards,20' 6,148,EVEN,"Total Distance (feet): 1,065.750",# of Attempts: 52
Approaches from 50-75 yards,18' 5,127,EVEN,Total Distance (feet): 423.667,# of Attempts: 23
Approaches from inside 100 yards,19' 9,153,EVEN,"Total Distance (feet): 1,537.917",# of Attempts: 78
Approaches from > 100 yards,37' 6,166,EVEN,"Total Distance (feet): 23,980.417",# of Attempts: 640
Fairway Proximity,35' 6,158,EVEN,: ,Attempts: 718
Rough Proximity,41' 9,20,EVEN,"Total Distance (inches): 120,343",Attempts: 240
Left Rough Proximity,44' 3,83,EVEN,: ,Attempts: 121
Right Rough Proximity,39' 3,7,EVEN,: ,Attempts: 119
Approaches from > 275 yards (Rgh),90' 2,70,EVEN,Total Distance (feet): 360.667,# of Attempts: 4
Approaches from 250-275 yards (Rgh),86' 5,125,EVEN,Total Distance (feet): 345.500,# of Attempts: 4
Approaches from 225-250 yards (Rgh),53' 6,15,EVEN,Total Distance (feet): 481.583,# of Attempts: 9
Approaches from 200-225 yards (Rgh),57' 10,42,EVEN,Total Distance (feet): 867.500,# of Attempts: 15
Approaches from > 100 yards (Rgh),47' 10,70,EVEN,"Total Distance (feet): 8,608.250",# of Attempts: 180
Approaches from inside 100 yards (Rgh),23' 8,75,EVEN,"Total Distance (feet): 1,420.333",# of Attempts: 60
Approaches from > 200 yards (Rgh),64' 3,19,EVEN,"Total Distance (feet): 2,055.250",# of Attempts: 32
Approaches from 175-200 yards (Rgh),53' 6,98,EVEN,"Total Distance (feet): 1,498.250",# of Attempts: 28
Approaches from 150-175 yards (Rgh),46' 7,124,EVEN,"Total Distance (feet): 2,141.167",# of Attempts: 46
Approaches from 125-150 yards (Rgh),41' 0,137,EVEN,"Total Distance (feet): 1,803.833",# of Attempts: 44
Approaches from 50-125 yards (Rgh),28' 10,104,EVEN,"Total Distance (feet): 2,391.000",# of Attempts: 83
Approaches from 100-125 yards (Rgh),37' 0,151,EVEN,"Total Distance (feet): 1,109.750",# of Attempts: 30
Approaches from 75-100 yards (Rgh),26' 11,106,EVEN,Total Distance (feet): 808.333,# of Attempts: 30
Approaches from 50-75 yards (Rgh),20' 7,63,EVEN,Total Distance (feet): 472.917,# of Attempts: 23
Going for the Green,66.80%,28,EVEN,Attempts: 167,Non-Attempts: 83
Going for the Green - Hit Green Pct.,20.93%,111,EVEN,Successes: 36,Attempts: 172
Going for the Green - Birdie or Better,55.81%,133,EVEN,# of Birdie or Better: 96,Attempts: 172
Total Hole Outs,13,42,EVEN,: ,: 
Longest Hole Outs (in yards),14,224,EVEN,Tournament: Cognizant Classic,Round- Course: 1
Scrambling,57.01%,132,EVEN,Par or Better: 248,Missed GIR: 435
Scrambling from the Rough,58.60%,67,EVEN,Successes: 92,Attempts: 157
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,38.10%,18,EVEN,Successes: 32,Attempts: 84
Scrambling from 20-30 yards,52.86%,99,EVEN,Successes: 37,Attempts: 70
Scrambling from 10-20 yards,63.53%,112,EVEN,Successes: 108,Attempts: 170
Scrambling from < 10 yards,82.19%,144,EVEN,Successes: 60,Attempts: 73
Sand Save Percentage,61.47%,48,EVEN,# Saves: 67,# Bunkers: 109
Proximity to Hole from Sand,9' 4,95,EVEN,Total Distance (feet): 746.917,# of Shots: 80
Total Putting,156.6,52,EVEN,: ,: 
Putting Average,1.724,16,EVEN,"GIR Putts: 1,267",Greens Hit: 735
Overall Putting Average,1.571,22,EVEN,"# of Putts: 1,838","# of Holes: 1,170"
Birdie or Better Conversion Percentage,34.97%,14,EVEN,# Birdies: 257,Greens Hit: 735
Putts Per Round,28.28,22,EVEN,"Total Putts: 1,838",Total Rounds: 65
Putts per Round - Round 1,28.42,45,EVEN,Total Putts: 540,Total Rounds: 19
Putts per Round - Round 2,27.42,4,EVEN,Total Putts: 521,Total Rounds: 19
Putts per Round - Round 3,28.79,88,EVEN,Total Putts: 403,Total Rounds: 14
Putts per Round - Round 4,28.77,84,EVEN,Total Putts: 374,Total Rounds: 13
One-Putt Percentage,43.50%,14,EVEN,# of 1 putts: 509,"# of holes: 1,170"
Longest Putts,71' 2,11,EVEN,Year/Tourn#: WM Phoenix Open,Round: 2
3-Putt Avoidance,2.74%,83,EVEN,Total 3 Putts: 32,"Total Holes (overall): 1,170"
Putting from - > 25',9.34%,3,EVEN,Attempts: 257,Putts made: 24
Putting from - 20-25',10.13%,119,EVEN,Attempts: 79,Putts made: 8
Putting from - 15-20',19.12%,85,EVEN,Attempts: 136,Putts made: 26
Putting from - 10-15',38.73%,7,EVEN,Attempts: 142,Putts made: 55
Putting - Inside 10',88.36%,62,EVEN,"Attempts: 1,100",Putts made: 972
Putting from 10',37.50%,105,EVEN,Attempts: 40,: 
Putting from 9',60.98%,8,EVEN,Attempts: 41,: 
Putting from 8',41.03%,158,EVEN,Attempts: 39,: 
Putting from 7',63.49%,59,EVEN,Attempts: 63,: 
Putting from 6',73.53%,69,EVEN,Attempts: 68,: 
Putting from 5',85.56%,47,EVEN,Attempts: 90,: 
Putting from 4-8',70.38%,67,EVEN,Attempts: 260,Putts made: 183
Putting from 4',93.33%,67,EVEN,Attempts: 120,: 
Putting from 3',99.69%,68,EVEN,Attempts: 639,: 
Average Distance of Putts made,80' 4,7,EVEN,"Total Dist. (inches): 58,809",Total Rounds: 61
Approach Putt Performance,2' 3,92,EVEN,: ,Attempts: 598
Scoring Average (Adjusted),71.241,113,EVEN,"Total Strokes: 4,605",Total Adjustment: 25.655
Scoring Average (Actual),70.85,142,EVEN,"Total Strokes: 4,605",Total Rounds: 65
Lowest Round,64,70,EVEN,Tourn/Course: WM Phoenix Open,Round: 2
Birdie Average,4.05,33,EVEN,# of Birdies: 263,Total Rounds: 65
Total Birdies,263,11,EVEN,: ,: 
Eagles (Holes per),292.5,144,EVEN,"# of Holes: 1,170",# of Eagles: 4
Total Eagles,4,100,EVEN,: ,: 
Par Breakers,22.82%,40,EVEN,# Birdies/Eagles: 267,"# Holes: 1,170"
Bounce Back,22.28%,71,EVEN,: ,: 
Par 3 Birdie or Better Leaders,12.79%,107,EVEN,Par 3 Birdies or Better: 33,Par 3 Holes: 258
Par 4 Birdie or Better Leaders,18.34%,39,EVEN,Par 4 Birdies or Better: 128,Par 4 Holes: 698
Par 5 Birdie or Better Leaders,49.53%,43,EVEN,Par 5 Birdies or Better: 106,Par 5 Holes: 214
Birdie or Better Percentage,22.82%,40,EVEN,Total Birdies: 267,"Total Holes: 1,170"
Bogey Avoidance,17.61%,142,EVEN,Bogeys: 206,"Holes Played: 1,170"
Final Round Scoring Average,70.00,57,EVEN,Total Strokes: 910,Total Rounds: 13
Final Round Performance,69.23%,26,EVEN,: ,: 
Round 1 Scoring Average,71.37,157,EVEN,"Total Strokes: 1,356",Total Rounds: 19
Round 2 Scoring Average,70.95,139,EVEN,"Total Strokes: 1,348",Total Rounds: 19
Round 3 Scoring Average,70.79,116,EVEN,Total Strokes: 991,Total Rounds: 14
Round 4 Scoring Average,70.00,57,EVEN,Total Strokes: 910,Total Rounds: 13
Par 3 Scoring Average,3.12,146,EVEN,Total Strokes: 805,Total Holes: 258
Par 4 Scoring Average,4.03,96,EVEN,"Total Strokes: 2,816",Total Holes: 698
Par 5 Scoring Average,4.60,74,EVEN,Total Strokes: 984,Total Holes: 214
Front 9 Scoring Average,35.80,166,EVEN,"Total Strokes: 2,327",Total Holes: 65
Back 9 Scoring Average,35.05,36,EVEN,"Total Strokes: 2,278",Total Holes: 65
Early Scoring Average,70.84,137,EVEN,"Total Strokes: 2,196",Total Early Rounds: 31
Late Scoring Average,70.85,122,EVEN,"Total Strokes: 2,409",Total Late Rounds: 34
Consecutive Cuts,8,13,EVEN,: ,: 
Current Streak without a 3-Putt,2,406,EVEN,: ,: 
Consecutive Fairways Hit,14,75,EVEN,Current Streak: 5,: 
Consecutive GIR,15,110,EVEN,Current Streak: 3,Round: 1
Consecutive Sand Saves,11,15,EVEN,Current Streak: 2,Round: 2
Best YTD 1-Putt or Better Streak,9,21,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,108,156,EVEN,Current Streak: 2,: 
YTD Par or Better Streak,8,112,EVEN,: ,: 
Consecutive Par 3 Birdies,2,75,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,3,24,EVEN,: ,: 
Official Money,"$3,195,646",35,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,964,35,EVEN,# of Wins: 0,# of Top 10's: 4
