Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.449,141,EVEN,Total SG:T: -23.366,Measured Rounds: 52
SG: Tee-to-Green,-0.617,150,EVEN,SG:OTT: -0.677,Measured Rounds: 52
SG: Off-the-Tee,-0.677,160,EVEN,Total SG:OTT: -35.200,Measured Rounds: 52
SG: Approach the Green,0.031,92,EVEN,Total SG:APP: 1.633,Measured Rounds: 52
SG: Around-the-Green,0.028,77,EVEN,Total SG:ARG: 1.469,Measured Rounds: 52
SG: Putting,0.168,51,EVEN,Total SG:Putting: 8.733,Measured Rounds: 52
Longest Drives,372,189,EVEN,Tournament: Wyndham,Round: 2
Driving Distance,291.5,155,EVEN,"Total Distance: 33,234",Total Drives: 114
Driving Distance - All Drives,285.7,151,EVEN,"Total Distance: 206,311",# of Drives: 722
Driving Accuracy Percentage,51.39%,158,EVEN,Fairways Hit: 407,Possible Fairways: 792
Left Rough Tendency,21.32%,165,EVEN,Total Left rough: 152,Possible Fwys: 713
Right Rough Tendency,15.43%,93,EVEN,Total Right rough: 110,Possible Fwys: 713
Distance from Edge of Fairway,33' 0,149,EVEN,"Total Distance (Feet): 11,340.417",Total Strokes: 344
Club Head Speed,112.49,143,EVEN,"Total Club Head Speed: 27,786.14",Total Attempts: 247
Total Driving Efficiency,207,105,EVEN,: ,Carry Efficiency Rank: 136
Greens in Regulation Percentage,64.72%,124,EVEN,Greens Hit: 664,"# Holes: 1,026"
Proximity to Hole,37' 2,90,EVEN,"Total Distance (feet): 34,502.417",# of Attempts: 928
Approaches from > 275 yards,85' 7,107,EVEN,Total Distance (feet): 941.083,# of Attempts: 11
Approaches from 250-275 yards,66' 0,116,EVEN,"Total Distance (feet): 1,517.333",# of Attempts: 23
Approaches from 225-250 yards,48' 4,52,EVEN,"Total Distance (feet): 2,126.500",# of Attempts: 44
Approaches from 200-225 yards,46' 10,160,EVEN,"Total Distance (feet): 3,042.250",# of Attempts: 65
Approaches from > 200 yards,53' 4,146,EVEN,"Total Distance (feet): 7,627.167",# of Attempts: 143
Approaches from 175-200 yards,36' 0,141,EVEN,"Total Distance (feet): 4,394.917",# of Attempts: 122
Approaches from 150-175 yards,28' 0,86,EVEN,"Total Distance (feet): 3,412.583",# of Attempts: 122
Approaches from 125-150 yards,20' 8,13,EVEN,"Total Distance (feet): 1,821.000",# of Attempts: 88
Approaches from 50-125 yards,17' 4,28,EVEN,"Total Distance (feet): 2,272.500",# of Attempts: 131
Approaches from 100-125 yards,18' 6,38,EVEN,"Total Distance (feet): 1,167.750",# of Attempts: 63
Approaches from 75-100 yards,14' 9,14,EVEN,Total Distance (feet): 724.417,# of Attempts: 49
Approaches from 50-75 yards,20' 0,144,EVEN,Total Distance (feet): 380.333,# of Attempts: 19
Approaches from inside 100 yards,16' 10,81,EVEN,"Total Distance (feet): 1,160.833",# of Attempts: 69
Approaches from > 100 yards,34' 3,115,EVEN,"Total Distance (feet): 18,423.417",# of Attempts: 538
Fairway Proximity,32' 3,92,EVEN,: ,Attempts: 607
Rough Proximity,44' 2,57,EVEN,"Total Distance (inches): 133,480",Attempts: 252
Left Rough Proximity,43' 8,69,EVEN,: ,Attempts: 143
Right Rough Proximity,44' 10,67,EVEN,: ,Attempts: 109
Approaches from > 275 yards (Rgh),90' 1,64,EVEN,Total Distance (feet): 450.250,# of Attempts: 5
Approaches from 250-275 yards (Rgh),106' 9,161,EVEN,Total Distance (feet): 853.667,# of Attempts: 8
Approaches from 225-250 yards (Rgh),90' 1,155,EVEN,Total Distance (feet): 630.833,# of Attempts: 7
Approaches from 200-225 yards (Rgh),57' 6,32,EVEN,"Total Distance (feet): 1,034.333",# of Attempts: 18
Approaches from > 100 yards (Rgh),46' 11,45,EVEN,"Total Distance (feet): 10,565.000",# of Attempts: 225
Approaches from inside 100 yards (Rgh),20' 8,14,EVEN,Total Distance (feet): 558.333,# of Attempts: 27
Approaches from > 200 yards (Rgh),78' 2,135,EVEN,"Total Distance (feet): 2,969.083",# of Attempts: 38
Approaches from 175-200 yards (Rgh),54' 3,98,EVEN,"Total Distance (feet): 2,876.667",# of Attempts: 53
Approaches from 150-175 yards (Rgh),44' 8,80,EVEN,"Total Distance (feet): 2,098.000",# of Attempts: 47
Approaches from 125-150 yards (Rgh),30' 8,8,EVEN,"Total Distance (feet): 1,623.333",# of Attempts: 53
Approaches from 50-125 yards (Rgh),24' 11,16,EVEN,"Total Distance (feet): 1,394.000",# of Attempts: 56
Approaches from 100-125 yards (Rgh),29' 4,47,EVEN,Total Distance (feet): 997.917,# of Attempts: 34
Approaches from 75-100 yards (Rgh),18' 11,5,EVEN,Total Distance (feet): 264.500,# of Attempts: 14
Approaches from 50-75 yards (Rgh),16' 5,11,EVEN,Total Distance (feet): 131.583,# of Attempts: 8
Going for the Green,46.91%,155,EVEN,Attempts: 91,Non-Attempts: 103
Going for the Green - Hit Green Pct.,28.57%,26,EVEN,Successes: 26,Attempts: 91
Going for the Green - Birdie or Better,63.74%,26,EVEN,# of Birdie or Better: 58,Attempts: 91
Total Hole Outs,12,111,EVEN,: ,: 
Longest Hole Outs (in yards),32,140,EVEN,Tournament: WM Phoenix Open,Round- Course: 2
Scrambling,55.80%,142,EVEN,Par or Better: 202,Missed GIR: 362
Scrambling from the Rough,52.94%,133,EVEN,Successes: 81,Attempts: 153
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,23.44%,145,EVEN,Successes: 15,Attempts: 64
Scrambling from 20-30 yards,52.05%,100,EVEN,Successes: 38,Attempts: 73
Scrambling from 10-20 yards,61.76%,131,EVEN,Successes: 84,Attempts: 136
Scrambling from < 10 yards,92.59%,15,EVEN,Successes: 50,Attempts: 54
Sand Save Percentage,56.32%,99,EVEN,# Saves: 49,# Bunkers: 87
Proximity to Hole from Sand,9' 4,81,EVEN,Total Distance (feet): 637.083,# of Shots: 68
Total Putting,143.3,53,EVEN,: ,: 
