Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.487,-,EVEN,Total SG:T: 0.487,Measured Rounds: 1
SG: Tee-to-Green,-0.857,-,EVEN,SG:OTT: 0.053,Measured Rounds: 1
SG: Off-the-Tee,0.053,-,EVEN,Total SG:OTT: 0.053,Measured Rounds: 1
SG: Approach the Green,-1.286,-,EVEN,Total SG:APP: -1.286,Measured Rounds: 1
SG: Around-the-Green,0.377,-,EVEN,Total SG:ARG: 0.377,Measured Rounds: 1
SG: Putting,1.344,-,EVEN,Total SG:Putting: 1.344,Measured Rounds: 1
Longest Drives,342,317,EVEN,Tournament: Corales Puntacana,Round: 2
Driving Distance,302.4,-,EVEN,"Total Distance: 4,838",Total Drives: 16
Driving Distance - All Drives,301.3,-,EVEN,"Total Distance: 4,218",# of Drives: 14
Driving Accuracy Percentage,57.14%,-,EVEN,Fairways Hit: 64,Possible Fairways: 112
Left Rough Tendency,7.14%,-,EVEN,Total Left rough: 1,Possible Fwys: 14
Right Rough Tendency,28.57%,-,EVEN,Total Right rough: 4,Possible Fwys: 14
Distance from Edge of Fairway,39' 11,-,EVEN,Total Distance (Feet): 319.250,Total Strokes: 8
Club Head Speed,116.55,-,EVEN,Total Club Head Speed: 466.21,Total Attempts: 4
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,63.19%,-,EVEN,Greens Hit: 91,# Holes: 144
Proximity to Hole,46' 7,-,EVEN,Total Distance (feet): 839.000,# of Attempts: 18
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,29' 11,-,EVEN,Total Distance (feet): 29.917,# of Attempts: 1
Approaches from 225-250 yards,57' 4,-,EVEN,Total Distance (feet): 114.583,# of Attempts: 2
Approaches from 200-225 yards,16' 2,-,EVEN,Total Distance (feet): 16.167,# of Attempts: 1
Approaches from > 200 yards,40' 2,-,EVEN,Total Distance (feet): 160.667,# of Attempts: 4
Approaches from 175-200 yards,17' 7,-,EVEN,Total Distance (feet): 35.167,# of Attempts: 2
Approaches from 150-175 yards,30' 7,-,EVEN,Total Distance (feet): 30.583,# of Attempts: 1
Approaches from 125-150 yards,39' 7,-,EVEN,Total Distance (feet): 79.083,# of Attempts: 2
Approaches from 50-125 yards,32' 1,-,EVEN,Total Distance (feet): 32.083,# of Attempts: 1
Approaches from 100-125 yards,-,-,EVEN,,
Approaches from 75-100 yards,32' 1,-,EVEN,Total Distance (feet): 32.083,# of Attempts: 1
Approaches from 50-75 yards,-,-,EVEN,,
Approaches from inside 100 yards,32' 1,-,EVEN,Total Distance (feet): 32.083,# of Attempts: 1
Approaches from > 100 yards,33' 11,-,EVEN,Total Distance (feet): 305.500,# of Attempts: 9
Fairway Proximity,33' 9,-,EVEN,: ,Attempts: 10
