Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.247,128,EVEN,Total SG:T: -9.138,Measured Rounds: 37
SG: Tee-to-Green,-0.167,122,EVEN,SG:OTT: 0.288,Measured Rounds: 37
SG: Off-the-Tee,0.288,39,EVEN,Total SG:OTT: 10.673,Measured Rounds: 37
SG: Approach the Green,-0.124,123,EVEN,Total SG:APP: -4.596,Measured Rounds: 37
SG: Around-the-Green,-0.331,156,EVEN,Total SG:ARG: -12.265,Measured Rounds: 37
SG: Putting,-0.080,111,EVEN,Total SG:Putting: -2.948,Measured Rounds: 37
Longest Drives,359,223,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,294.9,143,EVEN,"Total Distance: 27,127",Total Drives: 92
Driving Distance - All Drives,289.7,122,EVEN,"Total Distance: 149,510",# of Drives: 516
Driving Accuracy Percentage,66.82%,18,EVEN,Fairways Hit: 429,Possible Fairways: 642
Left Rough Tendency,11.26%,31,EVEN,Total Left rough: 58,Possible Fwys: 515
Right Rough Tendency,13.40%,33,EVEN,Total Right rough: 69,Possible Fwys: 515
Distance from Edge of Fairway,22' 4,19,EVEN,"Total Distance (Feet): 3,802.500",Total Strokes: 170
Club Head Speed,111.47,158,EVEN,"Total Club Head Speed: 20,287.97",Total Attempts: 182
Total Driving Efficiency,23,8,EVEN,: ,Carry Efficiency Rank: 17
Greens in Regulation Percentage,67.15%,55,EVEN,Greens Hit: 556,# Holes: 828
Proximity to Hole,36' 9,52,EVEN,"Total Distance (feet): 24,203.333",# of Attempts: 659
Approaches from > 275 yards,88' 1,126,EVEN,"Total Distance (feet): 1,496.833",# of Attempts: 17
Approaches from 250-275 yards,66' 10,117,EVEN,Total Distance (feet): 801.583,# of Attempts: 12
Approaches from 225-250 yards,53' 7,134,EVEN,"Total Distance (feet): 2,251.750",# of Attempts: 42
Approaches from 200-225 yards,39' 6,42,EVEN,"Total Distance (feet): 2,092.500",# of Attempts: 53
Approaches from > 200 yards,53' 7,130,EVEN,"Total Distance (feet): 6,642.667",# of Attempts: 124
Approaches from 175-200 yards,31' 10,32,EVEN,"Total Distance (feet): 2,927.250",# of Attempts: 92
Approaches from 150-175 yards,28' 7,96,EVEN,"Total Distance (feet): 2,657.167",# of Attempts: 93
Approaches from 125-150 yards,23' 10,84,EVEN,"Total Distance (feet): 2,000.333",# of Attempts: 84
Approaches from 50-125 yards,20' 5,147,EVEN,"Total Distance (feet): 2,247.250",# of Attempts: 110
Approaches from 100-125 yards,22' 4,153,EVEN,"Total Distance (feet): 1,449.000",# of Attempts: 65
Approaches from 75-100 yards,18' 2,101,EVEN,Total Distance (feet): 562.583,# of Attempts: 31
Approaches from 50-75 yards,16' 10,104,EVEN,Total Distance (feet): 235.667,# of Attempts: 14
Approaches from inside 100 yards,17' 3,97,EVEN,Total Distance (feet): 829.500,# of Attempts: 48
Approaches from > 100 yards,34' 3,82,EVEN,"Total Distance (feet): 15,676.417",# of Attempts: 458
Fairway Proximity,32' 7,73,EVEN,: ,Attempts: 506
Rough Proximity,47' 10,151,EVEN,"Total Distance (inches): 63,762",Attempts: 111
Left Rough Proximity,47' 9,147,EVEN,: ,Attempts: 48
Right Rough Proximity,47' 11,127,EVEN,: ,Attempts: 63
Approaches from > 275 yards (Rgh),101' 2,104,EVEN,Total Distance (feet): 404.583,# of Attempts: 4
Approaches from 250-275 yards (Rgh),70' 9,49,EVEN,Total Distance (feet): 212.333,# of Attempts: 3
Approaches from 225-250 yards (Rgh),70' 8,85,EVEN,Total Distance (feet): 635.667,# of Attempts: 9
Approaches from 200-225 yards (Rgh),72' 7,137,EVEN,Total Distance (feet): 580.667,# of Attempts: 8
Approaches from > 100 yards (Rgh),50' 4,134,EVEN,"Total Distance (feet): 4,980.750",# of Attempts: 99
Approaches from inside 100 yards (Rgh),27' 9,135,EVEN,Total Distance (feet): 332.750,# of Attempts: 12
Approaches from > 200 yards (Rgh),76' 5,125,EVEN,"Total Distance (feet): 1,833.250",# of Attempts: 24
