Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.205,123,EVEN,Total SG:T: -8.193,Measured Rounds: 40
SG: Tee-to-Green,-0.397,142,EVEN,SG:OTT: -0.174,Measured Rounds: 40
SG: Off-the-Tee,-0.174,130,EVEN,Total SG:OTT: -6.950,Measured Rounds: 40
SG: Approach the Green,-0.035,107,EVEN,Total SG:APP: -1.413,Measured Rounds: 40
SG: Around-the-Green,-0.188,138,EVEN,Total SG:ARG: -7.532,Measured Rounds: 40
SG: Putting,0.193,50,EVEN,Total SG:Putting: 7.702,Measured Rounds: 40
Longest Drives,360,215,EVEN,Tournament: Valero,Round: 4
Driving Distance,292.9,152,EVEN,"Total Distance: 29,875",Total Drives: 102
Driving Distance - All Drives,288.4,140,EVEN,"Total Distance: 158,606",# of Drives: 550
Driving Accuracy Percentage,61.36%,62,EVEN,Fairways Hit: 432,Possible Fairways: 704
Left Rough Tendency,15.48%,133,EVEN,Total Left rough: 85,Possible Fwys: 549
Right Rough Tendency,15.48%,80,EVEN,Total Right rough: 85,Possible Fwys: 549
Distance from Edge of Fairway,27' 0,70,EVEN,"Total Distance (Feet): 5,635.250",Total Strokes: 209
Club Head Speed,111.93,156,EVEN,"Total Club Head Speed: 22,274.72",Total Attempts: 199
Total Driving Efficiency,73,35,EVEN,: ,Carry Efficiency Rank: 35
Greens in Regulation Percentage,66.88%,60,EVEN,Greens Hit: 614,# Holes: 918
Proximity to Hole,37' 4,82,EVEN,"Total Distance (feet): 26,464.000",# of Attempts: 709
Approaches from > 275 yards,87' 3,120,EVEN,"Total Distance (feet): 1,308.750",# of Attempts: 15
Approaches from 250-275 yards,50' 0,4,EVEN,Total Distance (feet): 799.500,# of Attempts: 16
Approaches from 225-250 yards,47' 8,45,EVEN,"Total Distance (feet): 1,812.667",# of Attempts: 38
Approaches from 200-225 yards,43' 9,122,EVEN,"Total Distance (feet): 2,802.583",# of Attempts: 64
Approaches from > 200 yards,50' 7,61,EVEN,"Total Distance (feet): 6,723.500",# of Attempts: 133
Approaches from 175-200 yards,34' 7,107,EVEN,"Total Distance (feet): 3,704.500",# of Attempts: 107
Approaches from 150-175 yards,29' 0,111,EVEN,"Total Distance (feet): 2,725.500",# of Attempts: 94
Approaches from 125-150 yards,24' 9,123,EVEN,"Total Distance (feet): 1,780.750",# of Attempts: 72
Approaches from 50-125 yards,18' 11,99,EVEN,"Total Distance (feet): 2,058.833",# of Attempts: 109
Approaches from 100-125 yards,22' 5,155,EVEN,"Total Distance (feet): 1,322.333",# of Attempts: 59
Approaches from 75-100 yards,16' 2,54,EVEN,Total Distance (feet): 582.000,# of Attempts: 36
Approaches from 50-75 yards,11' 0,13,EVEN,Total Distance (feet): 154.500,# of Attempts: 14
Approaches from inside 100 yards,14' 5,17,EVEN,Total Distance (feet): 765.833,# of Attempts: 53
Approaches from > 100 yards,35' 0,109,EVEN,"Total Distance (feet): 16,256.583",# of Attempts: 465
Fairway Proximity,32' 10,90,EVEN,: ,Attempts: 518
Rough Proximity,47' 5,143,EVEN,"Total Distance (inches): 84,783",Attempts: 149
Left Rough Proximity,45' 5,106,EVEN,: ,Attempts: 72
Right Rough Proximity,49' 3,147,EVEN,: ,Attempts: 77
Approaches from > 275 yards (Rgh),115' 4,130,EVEN,Total Distance (feet): 692.167,# of Attempts: 6
Approaches from 250-275 yards (Rgh),81' 3,103,EVEN,Total Distance (feet): 81.250,# of Attempts: 1
Approaches from 225-250 yards (Rgh),72' 6,99,EVEN,Total Distance (feet): 362.417,# of Attempts: 5
