Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.052,98,EVEN,Total SG:T: 2.184,Measured Rounds: 42
SG: Tee-to-Green,-0.068,110,EVEN,SG:OTT: -0.396,Measured Rounds: 42
SG: Off-the-Tee,-0.396,150,EVEN,Total SG:OTT: -16.628,Measured Rounds: 42
SG: Approach the Green,0.198,61,EVEN,Total SG:APP: 8.308,Measured Rounds: 42
SG: Around-the-Green,0.131,54,EVEN,Total SG:ARG: 5.483,Measured Rounds: 42
SG: Putting,0.120,68,EVEN,Total SG:Putting: 5.022,Measured Rounds: 42
Longest Drives,371,146,EVEN,Tournament: Corales Puntacana,Round: 3
Driving Distance,302.7,76,EVEN,"Total Distance: 32,081",Total Drives: 106
Driving Distance - All Drives,291.7,100,EVEN,"Total Distance: 168,594",# of Drives: 578
Driving Accuracy Percentage,60.52%,77,EVEN,Fairways Hit: 443,Possible Fairways: 732
Left Rough Tendency,15.61%,138,EVEN,Total Left rough: 89,Possible Fwys: 570
Right Rough Tendency,11.75%,12,EVEN,Total Right rough: 67,Possible Fwys: 570
Distance from Edge of Fairway,31' 4,126,EVEN,"Total Distance (Feet): 7,074.167",Total Strokes: 226
Club Head Speed,115.22,111,EVEN,"Total Club Head Speed: 22,236.71",Total Attempts: 193
Total Driving Efficiency,60,32,EVEN,: ,Carry Efficiency Rank: 29
Greens in Regulation Percentage,65.51%,95,EVEN,Greens Hit: 625,# Holes: 954
Proximity to Hole,37' 6,94,EVEN,"Total Distance (feet): 28,096.917",# of Attempts: 749
Approaches from > 275 yards,76' 4,46,EVEN,"Total Distance (feet): 1,374.667",# of Attempts: 18
Approaches from 250-275 yards,64' 10,101,EVEN,"Total Distance (feet): 1,232.417",# of Attempts: 19
Approaches from 225-250 yards,52' 9,123,EVEN,"Total Distance (feet): 1,476.083",# of Attempts: 28
Approaches from 200-225 yards,43' 10,124,EVEN,"Total Distance (feet): 3,158.333",# of Attempts: 72
Approaches from > 200 yards,52' 10,121,EVEN,"Total Distance (feet): 7,241.500",# of Attempts: 137
Approaches from 175-200 yards,34' 11,119,EVEN,"Total Distance (feet): 3,632.750",# of Attempts: 104
Approaches from 150-175 yards,29' 2,116,EVEN,"Total Distance (feet): 3,326.583",# of Attempts: 114
Approaches from 125-150 yards,24' 9,123,EVEN,"Total Distance (feet): 1,980.500",# of Attempts: 80
Approaches from 50-125 yards,17' 6,34,EVEN,"Total Distance (feet): 1,677.500",# of Attempts: 96
Approaches from 100-125 yards,20' 3,103,EVEN,"Total Distance (feet): 1,091.750",# of Attempts: 54
Approaches from 75-100 yards,12' 10,2,EVEN,Total Distance (feet): 398.667,# of Attempts: 31
Approaches from 50-75 yards,17' 0,109,EVEN,Total Distance (feet): 187.083,# of Attempts: 11
Approaches from inside 100 yards,14' 5,17,EVEN,Total Distance (feet): 618.167,# of Attempts: 43
Approaches from > 100 yards,35' 4,116,EVEN,"Total Distance (feet): 17,273.083",# of Attempts: 489
Fairway Proximity,33' 8,118,EVEN,: ,Attempts: 532
Rough Proximity,44' 1,65,EVEN,"Total Distance (inches): 79,921",Attempts: 151
Left Rough Proximity,45' 11,110,EVEN,: ,Attempts: 82
Right Rough Proximity,41' 11,30,EVEN,: ,Attempts: 69
Approaches from > 275 yards (Rgh),81' 10,44,EVEN,Total Distance (feet): 327.333,# of Attempts: 4
Approaches from 250-275 yards (Rgh),69' 0,41,EVEN,Total Distance (feet): 413.750,# of Attempts: 6
Approaches from 225-250 yards (Rgh),64' 4,49,EVEN,Total Distance (feet): 514.500,# of Attempts: 8
Approaches from 200-225 yards (Rgh),69' 6,123,EVEN,"Total Distance (feet): 1,320.417",# of Attempts: 19
Approaches from > 100 yards (Rgh),47' 9,69,EVEN,"Total Distance (feet): 6,347.250",# of Attempts: 133
Approaches from inside 100 yards (Rgh),17' 5,3,EVEN,Total Distance (feet): 312.833,# of Attempts: 18
Approaches from > 200 yards (Rgh),69' 7,57,EVEN,"Total Distance (feet): 2,576.000",# of Attempts: 37
Approaches from 175-200 yards (Rgh),47' 8,45,EVEN,"Total Distance (feet): 1,335.417",# of Attempts: 28
Approaches from 150-175 yards (Rgh),35' 7,4,EVEN,Total Distance (feet): 747.000,# of Attempts: 21
Approaches from 125-150 yards (Rgh),36' 9,82,EVEN,Total Distance (feet): 881.667,# of Attempts: 24
Approaches from 50-125 yards (Rgh),29' 2,112,EVEN,"Total Distance (feet): 1,106.833",# of Attempts: 38
Approaches from 100-125 yards (Rgh),35' 1,132,EVEN,Total Distance (feet): 807.167,# of Attempts: 23
Approaches from 75-100 yards (Rgh),24' 1,76,EVEN,Total Distance (feet): 192.917,# of Attempts: 8
Approaches from 50-75 yards (Rgh),15' 3,14,EVEN,Total Distance (feet): 106.750,# of Attempts: 7
Going for the Green,63.06%,55,EVEN,Attempts: 99,Non-Attempts: 58
Going for the Green - Hit Green Pct.,28.28%,22,EVEN,Successes: 28,Attempts: 99
Going for the Green - Birdie or Better,61.62%,61,EVEN,# of Birdie or Better: 61,Attempts: 99
Total Hole Outs,12,61,EVEN,: ,: 
Longest Hole Outs (in yards),25,141,EVEN,Tournament: Valero,Round- Course: 4
Scrambling,61.09%,69,EVEN,Par or Better: 201,Missed GIR: 329
Scrambling from the Rough,61.48%,42,EVEN,Successes: 75,Attempts: 122
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,26.98%,117,EVEN,Successes: 17,Attempts: 63
Scrambling from 20-30 yards,55.36%,66,EVEN,Successes: 31,Attempts: 56
Scrambling from 10-20 yards,71.43%,23,EVEN,Successes: 70,Attempts: 98
Scrambling from < 10 yards,90.91%,41,EVEN,Successes: 40,Attempts: 44
Sand Save Percentage,56.45%,109,EVEN,# Saves: 35,# Bunkers: 62
Proximity to Hole from Sand,8' 11,70,EVEN,Total Distance (feet): 420.167,# of Shots: 47
Total Putting,147.1,42,EVEN,: ,: 
Putting Average,1.734,34,EVEN,"GIR Putts: 1,084",Greens Hit: 625
Overall Putting Average,1.585,43,EVEN,"# of Putts: 1,512",# of Holes: 954
Birdie or Better Conversion Percentage,33.33%,34,EVEN,# Birdies: 208,Greens Hit: 624
Putts Per Round,28.53,44,EVEN,"Total Putts: 1,512",Total Rounds: 53
Putts per Round - Round 1,28.41,42,EVEN,Total Putts: 483,Total Rounds: 17
Putts per Round - Round 2,29.00,95,EVEN,Total Putts: 493,Total Rounds: 17
Putts per Round - Round 3,28.30,48,EVEN,Total Putts: 283,Total Rounds: 10
Putts per Round - Round 4,28.11,34,EVEN,Total Putts: 253,Total Rounds: 9
One-Putt Percentage,40.88%,60,EVEN,# of 1 putts: 390,# of holes: 954
Longest Putts,54' 3,69,EVEN,Year/Tourn#: RBC Canadian,Round: 2
3-Putt Avoidance,1.78%,14,EVEN,Total 3 Putts: 17,Total Holes (overall): 954
Putting from - > 25',8.21%,9,EVEN,Attempts: 195,Putts made: 16
Putting from - 20-25',15.69%,38,EVEN,Attempts: 51,Putts made: 8
Putting from - 15-20',21.92%,45,EVEN,Attempts: 73,Putts made: 16
Putting from - 10-15',27.42%,129,EVEN,Attempts: 124,Putts made: 34
Putting - Inside 10',87.71%,92,EVEN,Attempts: 765,Putts made: 671
Putting from 10',22.58%,169,EVEN,Attempts: 31,: 
Putting from 9',47.06%,77,EVEN,Attempts: 34,: 
Putting from 8',62.50%,25,EVEN,Attempts: 24,: 
Putting from 7',62.86%,65,EVEN,Attempts: 35,: 
Putting from 6',58.97%,167,EVEN,Attempts: 39,: 
Putting from 5',87.72%,29,EVEN,Attempts: 57,: 
Putting from 4-8',70.97%,56,EVEN,Attempts: 155,Putts made: 110
Putting from 4',96.51%,17,EVEN,Attempts: 86,: 
Putting from 3',99.13%,151,EVEN,Attempts: 459,: 
Average Distance of Putts made,78' 1,15,EVEN,"Total Dist. (inches): 39,348",Total Rounds: 42
Approach Putt Performance,2' 4,121,EVEN,: ,Attempts: 447
Scoring Average (Adjusted),70.892,75,EVEN,"Total Strokes: 3,712",Total Adjustment: 45.277
Scoring Average (Actual),70.04,41,EVEN,"Total Strokes: 3,712",Total Rounds: 53
Lowest Round,65,129,EVEN,Tourn/Course: Rocket Classic/,Round: 2
Birdie Average,3.94,47,EVEN,# of Birdies: 209,Total Rounds: 53
Total Birdies,209,69,EVEN,: ,: 
Eagles (Holes per),119.3,27,EVEN,# of Holes: 954,# of Eagles: 8
Total Eagles,8,23,EVEN,: ,: 
Par Breakers,22.75%,42,EVEN,# Birdies/Eagles: 217,# Holes: 954
Bounce Back,25.00%,25,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.96%,67,EVEN,Par 3 Birdies or Better: 31,Par 3 Holes: 222
Par 4 Birdie or Better Leaders,16.55%,105,EVEN,Par 4 Birdies or Better: 91,Par 4 Holes: 550
Par 5 Birdie or Better Leaders,52.20%,16,EVEN,Par 5 Birdies or Better: 95,Par 5 Holes: 182
Birdie or Better Percentage,22.75%,42,EVEN,Total Birdies: 217,Total Holes: 954
Bogey Avoidance,14.99%,52,EVEN,Bogeys: 143,Holes Played: 954
Final Round Scoring Average,69.67,32,EVEN,Total Strokes: 627,Total Rounds: 9
Final Round Performance,66.67%,30,EVEN,: ,: 
Round 1 Scoring Average,70.00,57,EVEN,"Total Strokes: 1,190",Total Rounds: 17
Round 2 Scoring Average,70.65,117,EVEN,"Total Strokes: 1,201",Total Rounds: 17
Round 3 Scoring Average,69.40,20,EVEN,Total Strokes: 694,Total Rounds: 10
Round 4 Scoring Average,69.67,32,EVEN,Total Strokes: 627,Total Rounds: 9
Par 3 Scoring Average,2.98,6,EVEN,Total Strokes: 662,Total Holes: 222
Par 4 Scoring Average,4.04,114,EVEN,"Total Strokes: 2,221",Total Holes: 550
Par 5 Scoring Average,4.55,26,EVEN,Total Strokes: 829,Total Holes: 182
Front 9 Scoring Average,34.87,41,EVEN,"Total Strokes: 1,848",Total Holes: 53
Back 9 Scoring Average,35.17,57,EVEN,"Total Strokes: 1,864",Total Holes: 53
Early Scoring Average,69.80,43,EVEN,"Total Strokes: 1,745",Total Early Rounds: 25
Late Scoring Average,70.25,62,EVEN,"Total Strokes: 1,967",Total Late Rounds: 28
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,58,44,EVEN,: ,: 
Consecutive Fairways Hit,18,26,EVEN,Current Streak: 1,: 
Consecutive GIR,19,54,EVEN,Current Streak: 4,Round: 2
Consecutive Sand Saves,5,144,EVEN,Current Streak: 0,Round: 4
Best YTD 1-Putt or Better Streak,6,141,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,122,123,EVEN,Current Streak: 58,: 
YTD Par or Better Streak,13,37,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,3,162,EVEN,: ,: 
Consecutive Birdies Streak,3,158,EVEN,: ,: 
Consecutive Birdies/Eagles streak,3,24,EVEN,: ,: 
Official Money,"$850,518",109,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,306,99,EVEN,# of Wins: 0,# of Top 10's: 2
