Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.140,121,EVEN,Total SG:T: -8.408,Measured Rounds: 60
SG: Tee-to-Green,-0.087,115,EVEN,SG:OTT: -0.254,Measured Rounds: 60
SG: Off-the-Tee,-0.254,135,EVEN,Total SG:OTT: -15.245,Measured Rounds: 60
SG: Approach the Green,-0.010,96,EVEN,Total SG:APP: -0.598,Measured Rounds: 60
SG: Around-the-Green,0.177,35,EVEN,Total SG:ARG: 10.609,Measured Rounds: 60
SG: Putting,-0.053,104,EVEN,Total SG:Putting: -3.174,Measured Rounds: 60
Longest Drives,361,294,EVEN,Tournament: Wyndham,Round: 1
Driving Distance,299.4,118,EVEN,"Total Distance: 38,917",Total Drives: 130
Driving Distance - All Drives,291.0,112,EVEN,"Total Distance: 240,959",# of Drives: 828
Driving Accuracy Percentage,61.02%,64,EVEN,Fairways Hit: 548,Possible Fairways: 898
Left Rough Tendency,12.56%,73,EVEN,Total Left rough: 103,Possible Fwys: 820
Right Rough Tendency,14.63%,71,EVEN,Total Right rough: 120,Possible Fwys: 820
Distance from Edge of Fairway,30' 9,125,EVEN,"Total Distance (Feet): 9,416.750",Total Strokes: 306
Club Head Speed,112.02,148,EVEN,"Total Club Head Speed: 31,365.64",Total Attempts: 280
Total Driving Efficiency,14,4,EVEN,: ,Carry Efficiency Rank: 2
Greens in Regulation Percentage,64.53%,129,EVEN,Greens Hit: 755,"# Holes: 1,170"
Proximity to Hole,37' 0,81,EVEN,"Total Distance (feet): 39,706.333","# of Attempts: 1,072"
Approaches from > 275 yards,81' 4,75,EVEN,"Total Distance (feet): 2,441.000",# of Attempts: 30
Approaches from 250-275 yards,57' 10,49,EVEN,Total Distance (feet): 925.000,# of Attempts: 16
Approaches from 225-250 yards,46' 10,34,EVEN,"Total Distance (feet): 3,186.417",# of Attempts: 68
Approaches from 200-225 yards,38' 1,29,EVEN,"Total Distance (feet): 3,427.917",# of Attempts: 90
Approaches from > 200 yards,48' 11,49,EVEN,"Total Distance (feet): 9,980.333",# of Attempts: 204
Approaches from 175-200 yards,33' 9,93,EVEN,"Total Distance (feet): 4,797.667",# of Attempts: 142
Approaches from 150-175 yards,29' 10,138,EVEN,"Total Distance (feet): 4,596.000",# of Attempts: 154
Approaches from 125-150 yards,20' 10,15,EVEN,"Total Distance (feet): 2,310.250",# of Attempts: 111
Approaches from 50-125 yards,19' 5,128,EVEN,"Total Distance (feet): 3,144.333",# of Attempts: 162
Approaches from 100-125 yards,21' 1,134,EVEN,"Total Distance (feet): 2,042.167",# of Attempts: 97
Approaches from 75-100 yards,16' 5,55,EVEN,Total Distance (feet): 771.417,# of Attempts: 47
Approaches from 50-75 yards,18' 5,124,EVEN,Total Distance (feet): 330.750,# of Attempts: 18
Approaches from inside 100 yards,16' 7,74,EVEN,"Total Distance (feet): 1,127.917",# of Attempts: 68
Approaches from > 100 yards,33' 6,73,EVEN,"Total Distance (feet): 23,726.417",# of Attempts: 708
Fairway Proximity,32' 0,77,EVEN,: ,Attempts: 776
Rough Proximity,46' 9,130,EVEN,"Total Distance (inches): 124,088",Attempts: 221
Left Rough Proximity,46' 3,125,EVEN,: ,Attempts: 107
Right Rough Proximity,47' 4,121,EVEN,: ,Attempts: 114
Approaches from > 275 yards (Rgh),121' 9,142,EVEN,Total Distance (feet): 486.833,# of Attempts: 4
Approaches from 250-275 yards (Rgh),90' 9,132,EVEN,Total Distance (feet): 544.250,# of Attempts: 6
Approaches from 225-250 yards (Rgh),82' 3,137,EVEN,"Total Distance (feet): 1,233.583",# of Attempts: 15
Approaches from 200-225 yards (Rgh),57' 7,33,EVEN,"Total Distance (feet): 1,210.000",# of Attempts: 21
Approaches from > 100 yards (Rgh),51' 7,151,EVEN,"Total Distance (feet): 9,745.333",# of Attempts: 189
Approaches from inside 100 yards (Rgh),18' 7,3,EVEN,Total Distance (feet): 595.333,# of Attempts: 32
Approaches from > 200 yards (Rgh),75' 6,112,EVEN,"Total Distance (feet): 3,474.667",# of Attempts: 46
Approaches from 175-200 yards (Rgh),57' 4,131,EVEN,"Total Distance (feet): 1,892.417",# of Attempts: 33
Approaches from 150-175 yards (Rgh),49' 3,139,EVEN,"Total Distance (feet): 1,624.083",# of Attempts: 33
Approaches from 125-150 yards (Rgh),35' 5,42,EVEN,"Total Distance (feet): 1,627.667",# of Attempts: 46
Approaches from 50-125 yards (Rgh),27' 8,58,EVEN,"Total Distance (feet): 1,714.833",# of Attempts: 62
Approaches from 100-125 yards (Rgh),36' 4,148,EVEN,"Total Distance (feet): 1,126.500",# of Attempts: 31
Approaches from 75-100 yards (Rgh),19' 7,7,EVEN,Total Distance (feet): 352.333,# of Attempts: 18
Approaches from 50-75 yards (Rgh),18' 2,27,EVEN,Total Distance (feet): 236.000,# of Attempts: 13
Going for the Green,55.56%,127,EVEN,Attempts: 125,Non-Attempts: 100
Going for the Green - Hit Green Pct.,20.00%,128,EVEN,Successes: 25,Attempts: 125
Going for the Green - Birdie or Better,56.00%,139,EVEN,# of Birdie or Better: 70,Attempts: 125
Total Hole Outs,14,74,EVEN,: ,: 
Longest Hole Outs (in yards),186,20,EVEN,Tournament: Houston Open,Round- Course: 2
Scrambling,61.20%,46,EVEN,Par or Better: 254,Missed GIR: 415
Scrambling from the Rough,53.94%,116,EVEN,Successes: 89,Attempts: 165
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,33.33%,47,EVEN,Successes: 23,Attempts: 69
Scrambling from 20-30 yards,62.82%,11,EVEN,Successes: 49,Attempts: 78
Scrambling from 10-20 yards,63.53%,109,EVEN,Successes: 108,Attempts: 170
Scrambling from < 10 yards,81.67%,142,EVEN,Successes: 49,Attempts: 60
Sand Save Percentage,56.25%,101,EVEN,# Saves: 63,# Bunkers: 112
Proximity to Hole from Sand,10' 1,111,EVEN,Total Distance (feet): 934.667,# of Shots: 93
Total Putting,174.8,79,EVEN,: ,: 
Putting Average,1.744,47,EVEN,"GIR Putts: 1,317",Greens Hit: 755
Overall Putting Average,1.591,46,EVEN,"# of Putts: 1,862","# of Holes: 1,170"
Birdie or Better Conversion Percentage,30.68%,105,EVEN,# Birdies: 231,Greens Hit: 753
Putts Per Round,28.65,48,EVEN,"Total Putts: 1,862",Total Rounds: 65
Putts per Round - Round 1,28.52,41,EVEN,Total Putts: 599,Total Rounds: 21
