Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.443,140,EVEN,Total SG:T: -15.498,Measured Rounds: 35
SG: Tee-to-Green,0.344,60,EVEN,SG:OTT: 0.084,Measured Rounds: 35
SG: Off-the-Tee,0.084,84,EVEN,Total SG:OTT: 2.948,Measured Rounds: 35
SG: Approach the Green,0.211,58,EVEN,Total SG:APP: 7.395,Measured Rounds: 35
SG: Around-the-Green,0.048,78,EVEN,Total SG:ARG: 1.692,Measured Rounds: 35
SG: Putting,-0.787,168,EVEN,Total SG:Putting: -27.530,Measured Rounds: 35
Longest Drives,380,101,EVEN,Tournament: Farmers,Round: 4
Driving Distance,305.8,52,EVEN,"Total Distance: 25,688",Total Drives: 84
Driving Distance - All Drives,295.9,64,EVEN,"Total Distance: 143,239",# of Drives: 484
Driving Accuracy Percentage,60.82%,69,EVEN,Fairways Hit: 354,Possible Fairways: 582
Left Rough Tendency,12.53%,67,EVEN,Total Left rough: 60,Possible Fwys: 479
Right Rough Tendency,17.12%,119,EVEN,Total Right rough: 82,Possible Fwys: 479
Distance from Edge of Fairway,29' 3,94,EVEN,"Total Distance (Feet): 5,650.083",Total Strokes: 193
Club Head Speed,115.96,95,EVEN,"Total Club Head Speed: 20,177.47",Total Attempts: 174
Total Driving Efficiency,102,52,EVEN,: ,Carry Efficiency Rank: 74
Greens in Regulation Percentage,66.27%,74,EVEN,Greens Hit: 501,# Holes: 756
Proximity to Hole,34' 6,7,EVEN,"Total Distance (feet): 21,465.083",# of Attempts: 622
Approaches from > 275 yards,61' 10,6,EVEN,Total Distance (feet): 556.250,# of Attempts: 9
Approaches from 250-275 yards,72' 8,149,EVEN,"Total Distance (feet): 1,089.917",# of Attempts: 15
Approaches from 225-250 yards,47' 6,42,EVEN,"Total Distance (feet): 1,615.083",# of Attempts: 34
Approaches from 200-225 yards,38' 8,30,EVEN,"Total Distance (feet): 2,010.000",# of Attempts: 52
Approaches from > 200 yards,47' 11,20,EVEN,"Total Distance (feet): 5,271.250",# of Attempts: 110
Approaches from 175-200 yards,31' 10,32,EVEN,"Total Distance (feet): 2,831.917",# of Attempts: 89
Approaches from 150-175 yards,23' 7,1,EVEN,"Total Distance (feet): 1,862.500",# of Attempts: 79
Approaches from 125-150 yards,24' 4,102,EVEN,"Total Distance (feet): 1,726.917",# of Attempts: 71
Approaches from 50-125 yards,19' 7,119,EVEN,"Total Distance (feet): 1,762.667",# of Attempts: 90
