Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.849,-,EVEN,Total SG:T: -14.440,Measured Rounds: 17
SG: Tee-to-Green,-1.077,-,EVEN,SG:OTT: 0.079,Measured Rounds: 17
SG: Off-the-Tee,0.079,-,EVEN,Total SG:OTT: 1.351,Measured Rounds: 17
SG: Approach the Green,-0.706,-,EVEN,Total SG:APP: -12.006,Measured Rounds: 17
SG: Around-the-Green,-0.450,-,EVEN,Total SG:ARG: -7.655,Measured Rounds: 17
SG: Putting,0.228,-,EVEN,Total SG:Putting: 3.869,Measured Rounds: 17
Longest Drives,372,189,EVEN,Tournament: Wyndham,Round: 4
Driving Distance,304.2,-,EVEN,"Total Distance: 13,994",Total Drives: 46
Driving Distance - All Drives,292.7,-,EVEN,"Total Distance: 69,664",# of Drives: 238
Driving Accuracy Percentage,63.35%,-,EVEN,Fairways Hit: 204,Possible Fairways: 322
Left Rough Tendency,16.95%,-,EVEN,Total Left rough: 40,Possible Fwys: 236
Right Rough Tendency,9.75%,-,EVEN,Total Right rough: 23,Possible Fwys: 236
Distance from Edge of Fairway,31' 6,-,EVEN,"Total Distance (Feet): 2,581.000",Total Strokes: 82
Club Head Speed,114.46,-,EVEN,"Total Club Head Speed: 9,157.10",Total Attempts: 80
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,64.98%,-,EVEN,Greens Hit: 269,# Holes: 414
Proximity to Hole,33' 6,-,EVEN,"Total Distance (feet): 10,119.250",# of Attempts: 302
Approaches from > 275 yards,105' 2,-,EVEN,Total Distance (feet): 315.417,# of Attempts: 3
Approaches from 250-275 yards,50' 5,-,EVEN,Total Distance (feet): 403.500,# of Attempts: 8
Approaches from 225-250 yards,40' 4,-,EVEN,Total Distance (feet): 484.417,# of Attempts: 12
Approaches from 200-225 yards,38' 6,-,EVEN,Total Distance (feet): 885.833,# of Attempts: 23
Approaches from > 200 yards,45' 5,-,EVEN,"Total Distance (feet): 2,089.167",# of Attempts: 46
Approaches from 175-200 yards,34' 5,-,EVEN,"Total Distance (feet): 1,929.167",# of Attempts: 56
Approaches from 150-175 yards,25' 4,-,EVEN,"Total Distance (feet): 1,062.583",# of Attempts: 42
Approaches from 125-150 yards,20' 8,-,EVEN,Total Distance (feet): 890.083,# of Attempts: 43
Approaches from 50-125 yards,18' 7,-,EVEN,Total Distance (feet): 873.333,# of Attempts: 47
Approaches from 100-125 yards,20' 4,-,EVEN,Total Distance (feet): 548.917,# of Attempts: 27
Approaches from 75-100 yards,15' 6,-,EVEN,Total Distance (feet): 263.417,# of Attempts: 17
Approaches from 50-75 yards,20' 4,-,EVEN,Total Distance (feet): 61.000,# of Attempts: 3
Approaches from inside 100 yards,16' 3,-,EVEN,Total Distance (feet): 324.417,# of Attempts: 20
Approaches from > 100 yards,30' 6,-,EVEN,"Total Distance (feet): 6,519.917",# of Attempts: 214
Fairway Proximity,29' 3,-,EVEN,: ,Attempts: 234
Rough Proximity,41' 6,-,EVEN,"Total Distance (inches): 27,881",Attempts: 56
Left Rough Proximity,39' 9,-,EVEN,: ,Attempts: 34
Right Rough Proximity,44' 2,-,EVEN,: ,Attempts: 22
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),94' 6,-,EVEN,Total Distance (feet): 283.417,# of Attempts: 3
Approaches from 200-225 yards (Rgh),92' 10,-,EVEN,Total Distance (feet): 185.667,# of Attempts: 2
Approaches from > 100 yards (Rgh),46' 10,-,EVEN,"Total Distance (feet): 2,061.500",# of Attempts: 44
Approaches from inside 100 yards (Rgh),21' 10,-,EVEN,Total Distance (feet): 261.917,# of Attempts: 12
