Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.352,62,EVEN,Total SG:T: 16.889,Measured Rounds: 48
SG: Tee-to-Green,0.509,45,EVEN,SG:OTT: 0.492,Measured Rounds: 48
SG: Off-the-Tee,0.492,12,EVEN,Total SG:OTT: 23.614,Measured Rounds: 48
SG: Approach the Green,-0.026,106,EVEN,Total SG:APP: -1.235,Measured Rounds: 48
SG: Around-the-Green,0.043,82,EVEN,Total SG:ARG: 2.053,Measured Rounds: 48
SG: Putting,-0.157,129,EVEN,Total SG:Putting: -7.545,Measured Rounds: 48
Longest Drives,408,21,EVEN,Tournament: Sentry,Round: 4
Driving Distance,315.2,7,EVEN,"Total Distance: 37,197",Total Drives: 118
Driving Distance - All Drives,308.5,3,EVEN,"Total Distance: 206,108",# of Drives: 668
Driving Accuracy Percentage,54.26%,148,EVEN,Fairways Hit: 446,Possible Fairways: 822
Left Rough Tendency,17.10%,159,EVEN,Total Left rough: 112,Possible Fwys: 655
Right Rough Tendency,17.56%,129,EVEN,Total Right rough: 115,Possible Fwys: 655
Distance from Edge of Fairway,36' 1,163,EVEN,"Total Distance (Feet): 10,489.583",Total Strokes: 291
Club Head Speed,124.42,7,EVEN,"Total Club Head Speed: 24,138.33",Total Attempts: 194
Total Driving Efficiency,304,158,EVEN,: ,Carry Efficiency Rank: 153
Greens in Regulation Percentage,70.43%,7,EVEN,Greens Hit: 748,"# Holes: 1,062"
Proximity to Hole,38' 9,131,EVEN,"Total Distance (feet): 33,341.333",# of Attempts: 860
Approaches from > 275 yards,64' 2,11,EVEN,"Total Distance (feet): 1,026.667",# of Attempts: 16
Approaches from 250-275 yards,71' 7,144,EVEN,"Total Distance (feet): 1,432.417",# of Attempts: 20
Approaches from 225-250 yards,53' 2,129,EVEN,"Total Distance (feet): 2,073.667",# of Attempts: 39
Approaches from 200-225 yards,45' 10,159,EVEN,"Total Distance (feet): 3,347.833",# of Attempts: 73
Approaches from > 200 yards,53' 3,127,EVEN,"Total Distance (feet): 7,880.583",# of Attempts: 148
Approaches from 175-200 yards,31' 9,31,EVEN,"Total Distance (feet): 3,363.917",# of Attempts: 106
Approaches from 150-175 yards,29' 2,116,EVEN,"Total Distance (feet): 3,062.417",# of Attempts: 105
Approaches from 125-150 yards,26' 3,161,EVEN,"Total Distance (feet): 2,230.167",# of Attempts: 85
Approaches from 50-125 yards,20' 7,151,EVEN,"Total Distance (feet): 2,159.083",# of Attempts: 105
Approaches from 100-125 yards,21' 1,123,EVEN,"Total Distance (feet): 1,179.750",# of Attempts: 56
Approaches from 75-100 yards,21' 0,156,EVEN,Total Distance (feet): 736.000,# of Attempts: 35
Approaches from 50-75 yards,17' 5,119,EVEN,Total Distance (feet): 243.333,# of Attempts: 14
Approaches from inside 100 yards,19' 3,147,EVEN,"Total Distance (feet): 1,020.500",# of Attempts: 53
Approaches from > 100 yards,35' 5,123,EVEN,"Total Distance (feet): 17,716.833",# of Attempts: 500
Fairway Proximity,33' 11,130,EVEN,: ,Attempts: 553
Rough Proximity,41' 9,20,EVEN,"Total Distance (inches): 107,694",Attempts: 215
Left Rough Proximity,44' 10,96,EVEN,: ,Attempts: 103
Right Rough Proximity,38' 11,6,EVEN,: ,Attempts: 112
Approaches from > 275 yards (Rgh),71' 11,23,EVEN,Total Distance (feet): 359.667,# of Attempts: 5
Approaches from 250-275 yards (Rgh),67' 0,36,EVEN,Total Distance (feet): 268.000,# of Attempts: 4
Approaches from 225-250 yards (Rgh),56' 2,18,EVEN,Total Distance (feet): 449.500,# of Attempts: 8
Approaches from 200-225 yards (Rgh),69' 0,116,EVEN,"Total Distance (feet): 1,103.583",# of Attempts: 16
Approaches from > 100 yards (Rgh),46' 7,45,EVEN,"Total Distance (feet): 7,960.583",# of Attempts: 171
Approaches from inside 100 yards (Rgh),23' 1,61,EVEN,"Total Distance (feet): 1,013.917",# of Attempts: 44
Approaches from > 200 yards (Rgh),66' 1,33,EVEN,"Total Distance (feet): 2,180.750",# of Attempts: 33
Approaches from 175-200 yards (Rgh),53' 11,102,EVEN,"Total Distance (feet): 1,239.500",# of Attempts: 23
Approaches from 150-175 yards (Rgh),42' 9,65,EVEN,"Total Distance (feet): 1,968.000",# of Attempts: 46
Approaches from 125-150 yards (Rgh),41' 8,143,EVEN,"Total Distance (feet): 1,457.667",# of Attempts: 35
Approaches from 50-125 yards (Rgh),28' 2,95,EVEN,"Total Distance (feet): 2,054.583",# of Attempts: 73
Approaches from 100-125 yards (Rgh),32' 9,107,EVEN,"Total Distance (feet): 1,114.667",# of Attempts: 34
Approaches from 75-100 yards (Rgh),28' 7,124,EVEN,Total Distance (feet): 685.750,# of Attempts: 24
Approaches from 50-75 yards (Rgh),16' 11,26,EVEN,Total Distance (feet): 254.167,# of Attempts: 15
Going for the Green,66.84%,26,EVEN,Attempts: 125,Non-Attempts: 62
Going for the Green - Hit Green Pct.,23.48%,67,EVEN,Successes: 31,Attempts: 132
Going for the Green - Birdie or Better,62.12%,50,EVEN,# of Birdie or Better: 82,Attempts: 132
Total Hole Outs,10,98,EVEN,: ,: 
Longest Hole Outs (in yards),35,106,EVEN,Tournament: THE CJ CUP,Round- Course: 4
Scrambling,63.38%,27,EVEN,Par or Better: 199,Missed GIR: 314
Scrambling from the Rough,58.33%,71,EVEN,Successes: 77,Attempts: 132
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,29.55%,93,EVEN,Successes: 13,Attempts: 44
Scrambling from 20-30 yards,55.00%,72,EVEN,Successes: 33,Attempts: 60
Scrambling from 10-20 yards,68.52%,52,EVEN,Successes: 74,Attempts: 108
Scrambling from < 10 yards,86.67%,92,EVEN,Successes: 39,Attempts: 45
Sand Save Percentage,64.71%,20,EVEN,# Saves: 44,# Bunkers: 68
Proximity to Hole from Sand,8' 10,64,EVEN,Total Distance (feet): 486.667,# of Shots: 55
Total Putting,240.6,141,EVEN,: ,: 
Putting Average,1.775,133,EVEN,"GIR Putts: 1,328",Greens Hit: 748
Overall Putting Average,1.624,135,EVEN,"# of Putts: 1,725","# of Holes: 1,062"
Birdie or Better Conversion Percentage,31.02%,97,EVEN,# Birdies: 232,Greens Hit: 748
Putts Per Round,29.24,135,EVEN,"Total Putts: 1,725",Total Rounds: 59
Putts per Round - Round 1,29.21,109,EVEN,Total Putts: 555,Total Rounds: 19
Putts per Round - Round 2,29.47,139,EVEN,Total Putts: 560,Total Rounds: 19
Putts per Round - Round 3,29.45,130,EVEN,Total Putts: 324,Total Rounds: 11
Putts per Round - Round 4,28.60,71,EVEN,Total Putts: 286,Total Rounds: 10
One-Putt Percentage,39.17%,116,EVEN,# of 1 putts: 416,"# of holes: 1,062"
Longest Putts,48' 7,119,EVEN,Year/Tourn#: RBC Canadian,Round: 2
3-Putt Avoidance,3.48%,145,EVEN,Total 3 Putts: 37,"Total Holes (overall): 1,062"
Putting from - > 25',4.92%,101,EVEN,Attempts: 244,Putts made: 12
Putting from - 20-25',9.33%,133,EVEN,Attempts: 75,Putts made: 7
Putting from - 15-20',15.85%,129,EVEN,Attempts: 82,Putts made: 13
Putting from - 10-15',26.15%,141,EVEN,Attempts: 130,Putts made: 34
Putting - Inside 10',88.88%,40,EVEN,Attempts: 890,Putts made: 791
Putting from 10',31.03%,146,EVEN,Attempts: 29,: 
Putting from 9',35.71%,146,EVEN,Attempts: 28,: 
Putting from 8',55.00%,77,EVEN,Attempts: 40,: 
Putting from 7',64.58%,52,EVEN,Attempts: 48,: 
Putting from 6',80.39%,13,EVEN,Attempts: 51,: 
Putting from 5',79.63%,106,EVEN,Attempts: 54,: 
Putting from 4-8',70.98%,55,EVEN,Attempts: 193,Putts made: 137
Putting from 4',95.06%,31,EVEN,Attempts: 81,: 
Putting from 3',99.82%,33,EVEN,Attempts: 559,: 
Average Distance of Putts made,67' 0,150,EVEN,"Total Dist. (inches): 38,595",Total Rounds: 48
Approach Putt Performance,2' 4,121,EVEN,: ,Attempts: 531
Scoring Average (Adjusted),70.600,42,EVEN,"Total Strokes: 4,116",Total Adjustment: 49.424
Scoring Average (Actual),69.76,18,EVEN,"Total Strokes: 4,116",Total Rounds: 59
Lowest Round,63,28,EVEN,Tourn/Course: Puerto Rico/Gra,Round: 1
Birdie Average,4.02,36,EVEN,# of Birdies: 237,Total Rounds: 59
Total Birdies,237,36,EVEN,: ,: 
Eagles (Holes per),265.5,131,EVEN,"# of Holes: 1,062",# of Eagles: 4
Total Eagles,4,100,EVEN,: ,: 
