Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.149,87,EVEN,Total SG:T: 8.215,Measured Rounds: 55
SG: Tee-to-Green,-0.378,141,EVEN,SG:OTT: -0.433,Measured Rounds: 55
SG: Off-the-Tee,-0.433,155,EVEN,Total SG:OTT: -23.802,Measured Rounds: 55
SG: Approach the Green,-0.230,139,EVEN,Total SG:APP: -12.654,Measured Rounds: 55
SG: Around-the-Green,0.284,24,EVEN,Total SG:ARG: 15.644,Measured Rounds: 55
SG: Putting,0.528,12,EVEN,Total SG:Putting: 29.026,Measured Rounds: 55
Longest Drives,397,54,EVEN,Tournament: Sentry,Round: 4
Driving Distance,288.1,163,EVEN,"Total Distance: 33,990",Total Drives: 118
Driving Distance - All Drives,280.6,164,EVEN,"Total Distance: 216,642",# of Drives: 772
Driving Accuracy Percentage,63.29%,40,EVEN,Fairways Hit: 524,Possible Fairways: 828
Left Rough Tendency,14.69%,122,EVEN,Total Left rough: 113,Possible Fwys: 769
Right Rough Tendency,11.44%,10,EVEN,Total Right rough: 88,Possible Fwys: 769
Distance from Edge of Fairway,21' 10,12,EVEN,"Total Distance (Feet): 5,892.333",Total Strokes: 270
Club Head Speed,111.98,155,EVEN,"Total Club Head Speed: 29,675.59",Total Attempts: 265
Total Driving Efficiency,225,116,EVEN,: ,Carry Efficiency Rank: 122
Greens in Regulation Percentage,64.97%,113,EVEN,Greens Hit: 690,"# Holes: 1,062"
Proximity to Hole,38' 10,134,EVEN,"Total Distance (feet): 38,241.917",# of Attempts: 984
Approaches from > 275 yards,89' 2,130,EVEN,"Total Distance (feet): 1,337.917",# of Attempts: 15
Approaches from 250-275 yards,75' 0,159,EVEN,"Total Distance (feet): 2,249.917",# of Attempts: 30
Approaches from 225-250 yards,55' 1,148,EVEN,"Total Distance (feet): 2,917.500",# of Attempts: 53
Approaches from 200-225 yards,45' 1,150,EVEN,"Total Distance (feet): 4,510.083",# of Attempts: 100
Approaches from > 200 yards,55' 8,159,EVEN,"Total Distance (feet): 11,015.417",# of Attempts: 198
Approaches from 175-200 yards,36' 4,141,EVEN,"Total Distance (feet): 5,272.833",# of Attempts: 145
