Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.892,16,EVEN,Total SG:T: 58.843,Measured Rounds: 66
SG: Tee-to-Green,1.205,4,EVEN,SG:OTT: 0.492,Measured Rounds: 66
SG: Off-the-Tee,0.492,14,EVEN,Total SG:OTT: 32.458,Measured Rounds: 66
SG: Approach the Green,0.765,3,EVEN,Total SG:APP: 50.472,Measured Rounds: 66
SG: Around-the-Green,-0.052,104,EVEN,Total SG:ARG: -3.407,Measured Rounds: 66
SG: Putting,-0.313,141,EVEN,Total SG:Putting: -20.684,Measured Rounds: 66
Longest Drives,391,83,EVEN,Tournament: Sentry,Round: 1
Driving Distance,297.6,134,EVEN,"Total Distance: 42,856",Total Drives: 144
Driving Distance - All Drives,290.5,118,EVEN,"Total Distance: 268,996",# of Drives: 926
Driving Accuracy Percentage,70.59%,5,EVEN,Fairways Hit: 713,"Possible Fairways: 1,010"
Left Rough Tendency,8.00%,2,EVEN,Total Left rough: 74,Possible Fwys: 925
Right Rough Tendency,11.89%,13,EVEN,Total Right rough: 110,Possible Fwys: 925
Distance from Edge of Fairway,20' 2,6,EVEN,"Total Distance (Feet): 5,133.333",Total Strokes: 255
Club Head Speed,115.26,109,EVEN,"Total Club Head Speed: 34,233.48",Total Attempts: 297
Total Driving Efficiency,223,115,EVEN,: ,Carry Efficiency Rank: 103
Greens in Regulation Percentage,69.14%,28,EVEN,Greens Hit: 896,"# Holes: 1,296"
Proximity to Hole,34' 1,4,EVEN,"Total Distance (feet): 40,250.750","# of Attempts: 1,182"
Approaches from > 275 yards,82' 5,82,EVEN,"Total Distance (feet): 1,813.667",# of Attempts: 22
Approaches from 250-275 yards,61' 6,78,EVEN,"Total Distance (feet): 2,275.583",# of Attempts: 37
Approaches from 225-250 yards,49' 0,61,EVEN,"Total Distance (feet): 3,874.000",# of Attempts: 79
Approaches from 200-225 yards,37' 4,19,EVEN,"Total Distance (feet): 4,401.917",# of Attempts: 118
Approaches from > 200 yards,48' 4,41,EVEN,"Total Distance (feet): 12,365.167",# of Attempts: 256
Approaches from 175-200 yards,31' 0,21,EVEN,"Total Distance (feet): 4,867.833",# of Attempts: 157
Approaches from 150-175 yards,26' 1,26,EVEN,"Total Distance (feet): 4,281.250",# of Attempts: 164
Approaches from 125-150 yards,19' 11,4,EVEN,"Total Distance (feet): 3,305.333",# of Attempts: 166
Approaches from 50-125 yards,16' 11,18,EVEN,"Total Distance (feet): 3,167.667",# of Attempts: 187
Approaches from 100-125 yards,17' 8,19,EVEN,"Total Distance (feet): 1,993.250",# of Attempts: 113
Approaches from 75-100 yards,16' 2,48,EVEN,"Total Distance (feet): 1,037.000",# of Attempts: 64
Approaches from 50-75 yards,13' 9,47,EVEN,Total Distance (feet): 137.417,# of Attempts: 10
Approaches from inside 100 yards,15' 6,41,EVEN,"Total Distance (feet): 1,194.917",# of Attempts: 77
Approaches from > 100 yards,31' 4,10,EVEN,"Total Distance (feet): 26,812.833",# of Attempts: 856
Fairway Proximity,30' 0,8,EVEN,: ,Attempts: 933
Rough Proximity,42' 5,22,EVEN,"Total Distance (inches): 76,822",Attempts: 151
Left Rough Proximity,45' 8,107,EVEN,: ,Attempts: 66
