Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.963,159,EVEN,Total SG:T: -30.817,Measured Rounds: 32
SG: Tee-to-Green,-1.207,168,EVEN,SG:OTT: -0.499,Measured Rounds: 32
SG: Off-the-Tee,-0.499,162,EVEN,Total SG:OTT: -15.983,Measured Rounds: 32
SG: Approach the Green,-0.444,156,EVEN,Total SG:APP: -14.200,Measured Rounds: 32
SG: Around-the-Green,-0.264,150,EVEN,Total SG:ARG: -8.442,Measured Rounds: 32
SG: Putting,0.244,37,EVEN,Total SG:Putting: 7.809,Measured Rounds: 32
Longest Drives,360,215,EVEN,Tournament: Sony Open,Round: 3
Driving Distance,300.6,93,EVEN,"Total Distance: 24,647",Total Drives: 82
Driving Distance - All Drives,293.9,82,EVEN,"Total Distance: 129,893",# of Drives: 442
Driving Accuracy Percentage,51.41%,165,EVEN,Fairways Hit: 292,Possible Fairways: 568
Left Rough Tendency,18.01%,168,EVEN,Total Left rough: 78,Possible Fwys: 433
Right Rough Tendency,18.71%,148,EVEN,Total Right rough: 81,Possible Fwys: 433
Distance from Edge of Fairway,37' 8,166,EVEN,"Total Distance (Feet): 8,291.917",Total Strokes: 220
Club Head Speed,115.43,106,EVEN,"Total Club Head Speed: 16,967.99",Total Attempts: 147
Total Driving Efficiency,96,46,EVEN,: ,Carry Efficiency Rank: 44
Greens in Regulation Percentage,63.96%,137,EVEN,Greens Hit: 472,# Holes: 738
Proximity to Hole,38' 1,112,EVEN,"Total Distance (feet): 21,752.417",# of Attempts: 571
Approaches from > 275 yards,79' 1,64,EVEN,Total Distance (feet): 790.833,# of Attempts: 10
Approaches from 250-275 yards,56' 4,32,EVEN,Total Distance (feet): 169.000,# of Attempts: 3
Approaches from 225-250 yards,53' 5,132,EVEN,"Total Distance (feet): 1,336.333",# of Attempts: 25
Approaches from 200-225 yards,45' 9,158,EVEN,"Total Distance (feet): 2,836.583",# of Attempts: 62
Approaches from > 200 yards,51' 4,88,EVEN,"Total Distance (feet): 5,132.750",# of Attempts: 100
Approaches from 175-200 yards,30' 3,10,EVEN,"Total Distance (feet): 2,236.083",# of Attempts: 74
Approaches from 150-175 yards,28' 0,73,EVEN,"Total Distance (feet): 1,877.750",# of Attempts: 67
Approaches from 125-150 yards,23' 7,76,EVEN,"Total Distance (feet): 1,319.833",# of Attempts: 56
Approaches from 50-125 yards,20' 7,151,EVEN,"Total Distance (feet): 1,544.833",# of Attempts: 75
Approaches from 100-125 yards,22' 0,147,EVEN,Total Distance (feet): 968.250,# of Attempts: 44
Approaches from 75-100 yards,17' 1,69,EVEN,Total Distance (feet): 307.583,# of Attempts: 18
Approaches from 50-75 yards,20' 8,150,EVEN,Total Distance (feet): 269.000,# of Attempts: 13
Approaches from inside 100 yards,18' 4,128,EVEN,Total Distance (feet): 605.083,# of Attempts: 33
Approaches from > 100 yards,33' 10,55,EVEN,"Total Distance (feet): 11,534.667",# of Attempts: 341
Fairway Proximity,32' 6,65,EVEN,: ,Attempts: 374
Rough Proximity,42' 9,36,EVEN,"Total Distance (inches): 74,884",Attempts: 146
Left Rough Proximity,39' 5,19,EVEN,: ,Attempts: 71
Right Rough Proximity,45' 11,99,EVEN,: ,Attempts: 75
Approaches from > 275 yards (Rgh),89' 7,67,EVEN,Total Distance (feet): 268.833,# of Attempts: 3
Approaches from 250-275 yards (Rgh),63' 1,29,EVEN,Total Distance (feet): 189.250,# of Attempts: 3
Approaches from 225-250 yards (Rgh),60' 4,31,EVEN,Total Distance (feet): 664.000,# of Attempts: 11
Approaches from 200-225 yards (Rgh),77' 6,155,EVEN,Total Distance (feet): 929.667,# of Attempts: 12
Approaches from > 100 yards (Rgh),46' 3,39,EVEN,"Total Distance (feet): 5,593.083",# of Attempts: 121
Approaches from inside 100 yards (Rgh),25' 11,110,EVEN,Total Distance (feet): 647.250,# of Attempts: 25
Approaches from > 200 yards (Rgh),70' 9,69,EVEN,"Total Distance (feet): 2,051.750",# of Attempts: 29
Approaches from 175-200 yards (Rgh),50' 7,63,EVEN,Total Distance (feet): 809.917,# of Attempts: 16
Approaches from 150-175 yards (Rgh),46' 10,128,EVEN,"Total Distance (feet): 1,265.417",# of Attempts: 27
Approaches from 125-150 yards (Rgh),31' 5,26,EVEN,Total Distance (feet): 878.667,# of Attempts: 28
Approaches from 50-125 yards (Rgh),26' 10,64,EVEN,"Total Distance (feet): 1,101.417",# of Attempts: 41
Approaches from 100-125 yards (Rgh),28' 0,44,EVEN,Total Distance (feet): 587.333,# of Attempts: 21
Approaches from 75-100 yards (Rgh),21' 9,43,EVEN,Total Distance (feet): 325.667,# of Attempts: 15
Approaches from 50-75 yards (Rgh),37' 8,162,EVEN,Total Distance (feet): 188.417,# of Attempts: 5
Going for the Green,51.75%,146,EVEN,Attempts: 59,Non-Attempts: 55
Going for the Green - Hit Green Pct.,23.33%,70,EVEN,Successes: 14,Attempts: 60
Going for the Green - Birdie or Better,60.00%,79,EVEN,# of Birdie or Better: 36,Attempts: 60
Total Hole Outs,6,150,EVEN,: ,: 
Longest Hole Outs (in yards),24,146,EVEN,Tournament: Sony Open,Round- Course: 4
Scrambling,54.14%,159,EVEN,Par or Better: 144,Missed GIR: 266
Scrambling from the Rough,52.88%,142,EVEN,Successes: 55,Attempts: 104
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,28.95%,97,EVEN,Successes: 11,Attempts: 38
Scrambling from 20-30 yards,49.06%,130,EVEN,Successes: 26,Attempts: 53
Scrambling from 10-20 yards,58.33%,163,EVEN,Successes: 49,Attempts: 84
Scrambling from < 10 yards,86.67%,92,EVEN,Successes: 26,Attempts: 30
Sand Save Percentage,43.55%,168,EVEN,# Saves: 27,# Bunkers: 62
Proximity to Hole from Sand,9' 0,75,EVEN,Total Distance (feet): 368.500,# of Shots: 41
Total Putting,117.4,22,EVEN,: ,: 
Putting Average,1.744,59,EVEN,GIR Putts: 823,Greens Hit: 472
Overall Putting Average,1.603,84,EVEN,"# of Putts: 1,183",# of Holes: 738
Birdie or Better Conversion Percentage,30.72%,106,EVEN,# Birdies: 145,Greens Hit: 472
Putts Per Round,28.85,84,EVEN,"Total Putts: 1,183",Total Rounds: 41
Putts per Round - Round 1,28.00,19,EVEN,Total Putts: 392,Total Rounds: 14
Putts per Round - Round 2,29.29,128,EVEN,Total Putts: 410,Total Rounds: 14
Putts per Round - Round 3,30.43,163,EVEN,Total Putts: 213,Total Rounds: 7
Putts per Round - Round 4,28.00,23,EVEN,Total Putts: 168,Total Rounds: 6
One-Putt Percentage,39.84%,97,EVEN,# of 1 putts: 294,# of holes: 738
Longest Putts,42' 6,175,EVEN,Year/Tourn#: Farmers,Round: 3
3-Putt Avoidance,1.76%,13,EVEN,Total 3 Putts: 13,Total Holes (overall): 738
Putting from - > 25',6.12%,53,EVEN,Attempts: 147,Putts made: 9
Putting from - 20-25',2.78%,170,EVEN,Attempts: 36,Putts made: 1
Putting from - 15-20',17.57%,104,EVEN,Attempts: 74,Putts made: 13
Putting from - 10-15',29.63%,102,EVEN,Attempts: 81,Putts made: 24
Putting - Inside 10',89.55%,18,EVEN,Attempts: 584,Putts made: 523
Putting from 10',36.36%,113,EVEN,Attempts: 22,: 
Putting from 9',57.89%,20,EVEN,Attempts: 19,: 
Putting from 8',62.07%,29,EVEN,Attempts: 29,: 
Putting from 7',68.97%,24,EVEN,Attempts: 29,: 
Putting from 6',77.42%,27,EVEN,Attempts: 31,: 
Putting from 5',81.48%,87,EVEN,Attempts: 54,: 
Putting from 4-8',74.13%,19,EVEN,Attempts: 143,Putts made: 106
Putting from 4',97.18%,9,EVEN,Attempts: 71,: 
Putting from 3',100.00%,1,EVEN,Attempts: 329,: 
Average Distance of Putts made,72' 8,72,EVEN,"Total Dist. (inches): 27,919",Total Rounds: 32
Approach Putt Performance,2' 3,92,EVEN,: ,Attempts: 342
Scoring Average (Adjusted),72.272,162,EVEN,"Total Strokes: 2,916",Total Adjustment: 47.153
Scoring Average (Actual),71.12,153,EVEN,"Total Strokes: 2,916",Total Rounds: 41
Lowest Round,61,2,EVEN,Tourn/Course: RBC Canadian/TP,Round: 1
Birdie Average,3.61,129,EVEN,# of Birdies: 148,Total Rounds: 41
Total Birdies,148,147,EVEN,: ,: 
Eagles (Holes per),369.0,159,EVEN,# of Holes: 738,# of Eagles: 2
Total Eagles,2,157,EVEN,: ,: 
Par Breakers,20.33%,134,EVEN,# Birdies/Eagles: 150,# Holes: 738
Bounce Back,14.52%,169,EVEN,: ,: 
Par 3 Birdie or Better Leaders,12.35%,118,EVEN,Par 3 Birdies or Better: 21,Par 3 Holes: 170
Par 4 Birdie or Better Leaders,17.21%,81,EVEN,Par 4 Birdies or Better: 74,Par 4 Holes: 430
Par 5 Birdie or Better Leaders,39.86%,162,EVEN,Par 5 Birdies or Better: 55,Par 5 Holes: 138
Birdie or Better Percentage,20.33%,134,EVEN,Total Birdies: 150,Total Holes: 738
Bogey Avoidance,17.75%,146,EVEN,Bogeys: 131,Holes Played: 738
Final Round Scoring Average,71.67,141,EVEN,Total Strokes: 430,Total Rounds: 6
Final Round Performance,42.86%,129,EVEN,: ,: 
Round 1 Scoring Average,69.07,16,EVEN,Total Strokes: 967,Total Rounds: 14
Round 2 Scoring Average,72.21,166,EVEN,"Total Strokes: 1,011",Total Rounds: 14
Round 3 Scoring Average,72.57,164,EVEN,Total Strokes: 508,Total Rounds: 7
Round 4 Scoring Average,71.67,141,EVEN,Total Strokes: 430,Total Rounds: 6
Par 3 Scoring Average,3.11,141,EVEN,Total Strokes: 529,Total Holes: 170
Par 4 Scoring Average,4.04,114,EVEN,"Total Strokes: 1,736",Total Holes: 430
Par 5 Scoring Average,4.72,162,EVEN,Total Strokes: 651,Total Holes: 138
Front 9 Scoring Average,35.51,150,EVEN,"Total Strokes: 1,456",Total Holes: 41
Back 9 Scoring Average,35.61,141,EVEN,"Total Strokes: 1,460",Total Holes: 41
Early Scoring Average,70.89,143,EVEN,"Total Strokes: 1,347",Total Early Rounds: 19
Late Scoring Average,71.32,147,EVEN,"Total Strokes: 1,569",Total Late Rounds: 22
Consecutive Cuts,3,59,EVEN,: ,: 
Current Streak without a 3-Putt,22,185,EVEN,: ,: 
Consecutive Fairways Hit,10,200,EVEN,Current Streak: 0,: 
Consecutive GIR,15,110,EVEN,Current Streak: 0,Round: 1
Consecutive Sand Saves,5,144,EVEN,Current Streak: 0,Round: 2
Best YTD 1-Putt or Better Streak,6,141,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,238,9,EVEN,Current Streak: 22,: 
YTD Par or Better Streak,6,164,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,3,24,EVEN,: ,: 
Official Money,"$202,612",175,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,75,173,EVEN,# of Wins: 0,# of Top 10's: 0
