Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.528,43,EVEN,Total SG:T: 33.802,Measured Rounds: 64
SG: Tee-to-Green,0.749,21,EVEN,SG:OTT: 0.422,Measured Rounds: 64
SG: Off-the-Tee,0.422,18,EVEN,Total SG:OTT: 26.979,Measured Rounds: 64
SG: Approach the Green,0.524,18,EVEN,Total SG:APP: 33.525,Measured Rounds: 64
SG: Around-the-Green,-0.196,140,EVEN,Total SG:ARG: -12.565,Measured Rounds: 64
SG: Putting,-0.221,131,EVEN,Total SG:Putting: -14.137,Measured Rounds: 64
Longest Drives,380,128,EVEN,Tournament: Truist,Round: 3
Driving Distance,302.6,90,EVEN,"Total Distance: 45,395",Total Drives: 150
Driving Distance - All Drives,291.7,106,EVEN,"Total Distance: 260,194",# of Drives: 892
Driving Accuracy Percentage,66.63%,17,EVEN,Fairways Hit: 697,"Possible Fairways: 1,046"
Left Rough Tendency,9.45%,6,EVEN,Total Left rough: 84,Possible Fwys: 889
Right Rough Tendency,13.72%,46,EVEN,Total Right rough: 122,Possible Fwys: 889
Distance from Edge of Fairway,20' 11,10,EVEN,"Total Distance (Feet): 5,968.583",Total Strokes: 285
Club Head Speed,115.99,93,EVEN,"Total Club Head Speed: 29,809.99",Total Attempts: 257
Total Driving Efficiency,258,130,EVEN,: ,Carry Efficiency Rank: 150
Greens in Regulation Percentage,67.93%,49,EVEN,Greens Hit: 917,"# Holes: 1,350"
Proximity to Hole,35' 10,32,EVEN,"Total Distance (feet): 40,674.417","# of Attempts: 1,134"
Approaches from > 275 yards,77' 11,61,EVEN,"Total Distance (feet): 2,103.500",# of Attempts: 27
Approaches from 250-275 yards,54' 2,22,EVEN,"Total Distance (feet): 1,517.500",# of Attempts: 28
Approaches from 225-250 yards,48' 3,51,EVEN,"Total Distance (feet): 3,136.750",# of Attempts: 65
Approaches from 200-225 yards,39' 8,53,EVEN,"Total Distance (feet): 3,851.250",# of Attempts: 97
Approaches from > 200 yards,48' 11,49,EVEN,"Total Distance (feet): 10,609.000",# of Attempts: 217
Approaches from 175-200 yards,33' 8,92,EVEN,"Total Distance (feet): 5,730.000",# of Attempts: 170
Approaches from 150-175 yards,26' 1,26,EVEN,"Total Distance (feet): 4,688.250",# of Attempts: 180
Approaches from 125-150 yards,23' 7,90,EVEN,"Total Distance (feet): 2,735.333",# of Attempts: 116
Approaches from 50-125 yards,16' 9,16,EVEN,"Total Distance (feet): 2,484.083",# of Attempts: 148
Approaches from 100-125 yards,18' 7,45,EVEN,"Total Distance (feet): 1,687.917",# of Attempts: 91
Approaches from 75-100 yards,14' 7,11,EVEN,Total Distance (feet): 599.333,# of Attempts: 41
Approaches from 50-75 yards,12' 4,21,EVEN,Total Distance (feet): 196.833,# of Attempts: 16
Approaches from inside 100 yards,14' 3,8,EVEN,Total Distance (feet): 828.750,# of Attempts: 58
Approaches from > 100 yards,32' 11,50,EVEN,"Total Distance (feet): 25,450.500",# of Attempts: 774
Fairway Proximity,31' 7,61,EVEN,: ,Attempts: 832
Rough Proximity,46' 0,113,EVEN,"Total Distance (inches): 94,444",Attempts: 171
Left Rough Proximity,45' 9,108,EVEN,: ,Attempts: 79
Right Rough Proximity,46' 3,100,EVEN,: ,Attempts: 92
Approaches from > 275 yards (Rgh),94' 10,84,EVEN,Total Distance (feet): 569.083,# of Attempts: 6
Approaches from 250-275 yards (Rgh),78' 5,88,EVEN,Total Distance (feet): 78.417,# of Attempts: 1
Approaches from 225-250 yards (Rgh),75' 0,102,EVEN,Total Distance (feet): 300.000,# of Attempts: 4
Approaches from 200-225 yards (Rgh),57' 4,28,EVEN,Total Distance (feet): 917.917,# of Attempts: 16
Approaches from > 100 yards (Rgh),49' 1,101,EVEN,"Total Distance (feet): 7,260.667",# of Attempts: 148
Approaches from inside 100 yards (Rgh),26' 6,100,EVEN,Total Distance (feet): 609.667,# of Attempts: 23
Approaches from > 200 yards (Rgh),69' 1,53,EVEN,"Total Distance (feet): 1,865.417",# of Attempts: 27
Approaches from 175-200 yards (Rgh),45' 11,24,EVEN,"Total Distance (feet): 1,562.083",# of Attempts: 34
Approaches from 150-175 yards (Rgh),54' 4,162,EVEN,"Total Distance (feet): 2,009.583",# of Attempts: 37
Approaches from 125-150 yards (Rgh),37' 6,82,EVEN,"Total Distance (feet): 1,387.417",# of Attempts: 37
Approaches from 50-125 yards (Rgh),29' 3,93,EVEN,Total Distance (feet): 906.083,# of Attempts: 31
