Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.315,-,EVEN,Total SG:T: -8.196,Measured Rounds: 26
SG: Tee-to-Green,-0.892,-,EVEN,SG:OTT: -0.204,Measured Rounds: 26
SG: Off-the-Tee,-0.204,-,EVEN,Total SG:OTT: -5.298,Measured Rounds: 26
SG: Approach the Green,-0.967,-,EVEN,Total SG:APP: -25.145,Measured Rounds: 26
SG: Around-the-Green,0.279,-,EVEN,Total SG:ARG: 7.244,Measured Rounds: 26
SG: Putting,0.577,-,EVEN,Total SG:Putting: 15.004,Measured Rounds: 26
Longest Drives,358,331,EVEN,Tournament: RBC Canadian,Round: 4
Driving Distance,295.0,-,EVEN,"Total Distance: 24,194",Total Drives: 82
Driving Distance - All Drives,287.4,-,EVEN,"Total Distance: 102,298",# of Drives: 356
Driving Accuracy Percentage,60.78%,-,EVEN,Fairways Hit: 344,Possible Fairways: 566
Left Rough Tendency,12.36%,-,EVEN,Total Left rough: 44,Possible Fwys: 356
Right Rough Tendency,17.42%,-,EVEN,Total Right rough: 62,Possible Fwys: 356
Distance from Edge of Fairway,25' 7,-,EVEN,"Total Distance (Feet): 3,890.333",Total Strokes: 152
Club Head Speed,111.60,-,EVEN,"Total Club Head Speed: 12,722.64",Total Attempts: 114
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,65.04%,-,EVEN,Greens Hit: 480,# Holes: 738
Proximity to Hole,38' 7,-,EVEN,"Total Distance (feet): 17,830.750",# of Attempts: 462
Approaches from > 275 yards,77' 11,-,EVEN,Total Distance (feet): 623.333,# of Attempts: 8
Approaches from 250-275 yards,56' 11,-,EVEN,Total Distance (feet): 398.333,# of Attempts: 7
Approaches from 225-250 yards,57' 6,-,EVEN,"Total Distance (feet): 1,494.417",# of Attempts: 26
Approaches from 200-225 yards,37' 0,-,EVEN,"Total Distance (feet): 1,554.333",# of Attempts: 42
Approaches from > 200 yards,49' 0,-,EVEN,"Total Distance (feet): 4,070.417",# of Attempts: 83
Approaches from 175-200 yards,34' 5,-,EVEN,"Total Distance (feet): 2,308.333",# of Attempts: 67
Approaches from 150-175 yards,33' 0,-,EVEN,"Total Distance (feet): 1,947.250",# of Attempts: 59
Approaches from 125-150 yards,27' 2,-,EVEN,"Total Distance (feet): 1,411.333",# of Attempts: 52
Approaches from 50-125 yards,21' 2,-,EVEN,"Total Distance (feet): 1,376.000",# of Attempts: 65
Approaches from 100-125 yards,23' 4,-,EVEN,Total Distance (feet): 931.750,# of Attempts: 40
Approaches from 75-100 yards,18' 3,-,EVEN,Total Distance (feet): 400.750,# of Attempts: 22
Approaches from 50-75 yards,14' 6,-,EVEN,Total Distance (feet): 43.500,# of Attempts: 3
Approaches from inside 100 yards,17' 9,-,EVEN,Total Distance (feet): 444.250,# of Attempts: 25
Approaches from > 100 yards,35' 5,-,EVEN,"Total Distance (feet): 10,669.083",# of Attempts: 301
Fairway Proximity,34' 1,-,EVEN,: ,Attempts: 326
Rough Proximity,48' 3,-,EVEN,"Total Distance (inches): 49,193",Attempts: 85
Left Rough Proximity,55' 0,-,EVEN,: ,Attempts: 33
Right Rough Proximity,43' 11,-,EVEN,: ,Attempts: 52
Approaches from > 275 yards (Rgh),124' 7,-,EVEN,Total Distance (feet): 124.583,# of Attempts: 1
Approaches from 250-275 yards (Rgh),85' 10,-,EVEN,Total Distance (feet): 429.083,# of Attempts: 5
Approaches from 225-250 yards (Rgh),49' 9,-,EVEN,Total Distance (feet): 149.333,# of Attempts: 3
Approaches from 200-225 yards (Rgh),48' 8,-,EVEN,Total Distance (feet): 389.083,# of Attempts: 8
Approaches from > 100 yards (Rgh),49' 10,-,EVEN,"Total Distance (feet): 3,835.333",# of Attempts: 77
Approaches from inside 100 yards (Rgh),33' 0,-,EVEN,Total Distance (feet): 264.083,# of Attempts: 8
Approaches from > 200 yards (Rgh),64' 3,-,EVEN,"Total Distance (feet): 1,092.083",# of Attempts: 17
Approaches from 175-200 yards (Rgh),52' 5,-,EVEN,Total Distance (feet): 576.833,# of Attempts: 11
Approaches from 150-175 yards (Rgh),51' 5,-,EVEN,Total Distance (feet): 771.083,# of Attempts: 15
Approaches from 125-150 yards (Rgh),43' 9,-,EVEN,Total Distance (feet): 918.167,# of Attempts: 21
Approaches from 50-125 yards (Rgh),35' 7,-,EVEN,Total Distance (feet): 711.917,# of Attempts: 20
Approaches from 100-125 yards (Rgh),36' 8,-,EVEN,Total Distance (feet): 477.167,# of Attempts: 13
Approaches from 75-100 yards (Rgh),46' 8,-,EVEN,Total Distance (feet): 139.917,# of Attempts: 3
Approaches from 50-75 yards (Rgh),23' 9,-,EVEN,Total Distance (feet): 94.833,# of Attempts: 4
Going for the Green,52.22%,-,EVEN,Attempts: 47,Non-Attempts: 43
Going for the Green - Hit Green Pct.,19.15%,-,EVEN,Successes: 9,Attempts: 47
Going for the Green - Birdie or Better,53.19%,-,EVEN,# of Birdie or Better: 25,Attempts: 47
Total Hole Outs,4,-,EVEN,: ,: 
Longest Hole Outs (in yards),20,208,EVEN,Tournament: Cognizant Classic,Round- Course: 2
Scrambling,65.50%,-,EVEN,Par or Better: 169,Missed GIR: 258
Scrambling from the Rough,59.26%,-,EVEN,Successes: 48,Attempts: 81
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,20.00%,-,EVEN,Successes: 5,Attempts: 25
Scrambling from 20-30 yards,69.23%,-,EVEN,Successes: 27,Attempts: 39
Scrambling from 10-20 yards,73.81%,-,EVEN,Successes: 62,Attempts: 84
Scrambling from < 10 yards,95.45%,-,EVEN,Successes: 21,Attempts: 22
Sand Save Percentage,75.93%,-,EVEN,# Saves: 41,# Bunkers: 54
Proximity to Hole from Sand,8' 4,-,EVEN,Total Distance (feet): 299.833,# of Shots: 36
Total Putting,-,-,EVEN,,
Putting Average,1.783,-,EVEN,GIR Putts: 856,Greens Hit: 480
Overall Putting Average,1.598,-,EVEN,"# of Putts: 1,179",# of Holes: 738
Birdie or Better Conversion Percentage,26.72%,-,EVEN,# Birdies: 128,Greens Hit: 479
Putts Per Round,28.76,-,EVEN,"Total Putts: 1,179",Total Rounds: 41
Putts per Round - Round 1,28.79,-,EVEN,Total Putts: 403,Total Rounds: 14
Putts per Round - Round 2,29.43,-,EVEN,Total Putts: 412,Total Rounds: 14
Putts per Round - Round 3,28.14,-,EVEN,Total Putts: 197,Total Rounds: 7
Putts per Round - Round 4,27.83,-,EVEN,Total Putts: 167,Total Rounds: 6
One-Putt Percentage,40.65%,-,EVEN,# of 1 putts: 300,# of holes: 738
Longest Putts,56' 2,80,EVEN,Year/Tourn#: 3M Open,Round: 1
3-Putt Avoidance,1.76%,-,EVEN,Total 3 Putts: 13,Total Holes (overall): 738
Putting from - > 25',6.11%,-,EVEN,Attempts: 131,Putts made: 8
Putting from - 20-25',20.59%,-,EVEN,Attempts: 34,Putts made: 7
Putting from - 15-20',9.09%,-,EVEN,Attempts: 44,Putts made: 4
Putting from - 10-15',39.34%,-,EVEN,Attempts: 61,Putts made: 24
Putting - Inside 10',89.77%,-,EVEN,Attempts: 469,Putts made: 421
Putting from 10',53.33%,-,EVEN,Attempts: 15,: 
Putting from 9',50.00%,-,EVEN,Attempts: 16,: 
Putting from 8',42.86%,-,EVEN,Attempts: 21,: 
Putting from 7',62.50%,-,EVEN,Attempts: 24,: 
Putting from 6',72.73%,-,EVEN,Attempts: 22,: 
Putting from 5',87.10%,-,EVEN,Attempts: 31,: 
Putting from 4-8',68.37%,-,EVEN,Attempts: 98,Putts made: 67
Putting from 4',97.92%,-,EVEN,Attempts: 48,: 
Putting from 3',99.66%,-,EVEN,Attempts: 292,: 
Average Distance of Putts made,74' 9,-,EVEN,"Total Dist. (inches): 23,314",Total Rounds: 26
Approach Putt Performance,2' 0,-,EVEN,: ,Attempts: 268
Scoring Average (Adjusted),71.532,-,EVEN,"Total Strokes: 2,900",Total Adjustment: 32.814
Scoring Average (Actual),70.73,-,EVEN,"Total Strokes: 2,900",Total Rounds: 41
Lowest Round,65,153,EVEN,Tourn/Course: RBC Canadian/TP,Round: 1
Birdie Average,3.17,-,EVEN,# of Birdies: 130,Total Rounds: 41
Total Birdies,130,-,EVEN,: ,: 
Eagles (Holes per),246.0,-,EVEN,# of Holes: 738,# of Eagles: 3
Total Eagles,3,-,EVEN,: ,: 
Par Breakers,18.02%,-,EVEN,# Birdies/Eagles: 133,# Holes: 738
Bounce Back,27.78%,-,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.37%,-,EVEN,Par 3 Birdies or Better: 23,Par 3 Holes: 172
Par 4 Birdie or Better Leaders,13.92%,-,EVEN,Par 4 Birdies or Better: 59,Par 4 Holes: 424
Par 5 Birdie or Better Leaders,35.92%,-,EVEN,Par 5 Birdies or Better: 51,Par 5 Holes: 142
Birdie or Better Percentage,18.02%,-,EVEN,Total Birdies: 133,Total Holes: 738
Bogey Avoidance,13.41%,-,EVEN,Bogeys: 99,Holes Played: 738
Final Round Scoring Average,70.33,-,EVEN,Total Strokes: 422,Total Rounds: 6
Final Round Performance,100.00%,-,EVEN,: ,: 
Round 1 Scoring Average,70.07,-,EVEN,Total Strokes: 981,Total Rounds: 14
Round 2 Scoring Average,71.29,-,EVEN,Total Strokes: 998,Total Rounds: 14
Round 3 Scoring Average,71.29,-,EVEN,Total Strokes: 499,Total Rounds: 7
Round 4 Scoring Average,70.33,-,EVEN,Total Strokes: 422,Total Rounds: 6
Par 3 Scoring Average,2.97,-,EVEN,Total Strokes: 511,Total Holes: 172
Par 4 Scoring Average,4.04,-,EVEN,"Total Strokes: 1,715",Total Holes: 424
Par 5 Scoring Average,4.75,-,EVEN,Total Strokes: 674,Total Holes: 142
Front 9 Scoring Average,35.17,-,EVEN,"Total Strokes: 1,442",Total Holes: 41
Back 9 Scoring Average,35.56,-,EVEN,"Total Strokes: 1,458",Total Holes: 41
Early Scoring Average,71.24,-,EVEN,"Total Strokes: 1,496",Total Early Rounds: 21
Late Scoring Average,70.20,-,EVEN,"Total Strokes: 1,404",Total Late Rounds: 20
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,36,105,EVEN,: ,: 
Consecutive Fairways Hit,17,35,EVEN,Current Streak: 3,: 
Consecutive GIR,23,21,EVEN,Current Streak: 0,Round: 1
Consecutive Sand Saves,16,2,EVEN,Current Streak: 2,Round: 2
Best YTD 1-Putt or Better Streak,7,105,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,239,13,EVEN,Current Streak: 36,: 
YTD Par or Better Streak,9,116,EVEN,: ,: 
Consecutive Par 3 Birdies,3,20,EVEN,: ,: 
Consecutive Holes Below Par,2,285,EVEN,: ,: 
Consecutive Birdies Streak,2,284,EVEN,: ,: 
