Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.458,-,EVEN,Total SG:T: -26.250,Measured Rounds: 18
SG: Tee-to-Green,-0.414,-,EVEN,SG:OTT: 0.706,Measured Rounds: 18
SG: Off-the-Tee,0.706,-,EVEN,Total SG:OTT: 12.707,Measured Rounds: 18
SG: Approach the Green,-0.839,-,EVEN,Total SG:APP: -15.099,Measured Rounds: 18
SG: Around-the-Green,-0.281,-,EVEN,Total SG:ARG: -5.054,Measured Rounds: 18
SG: Putting,-1.045,-,EVEN,Total SG:Putting: -18.804,Measured Rounds: 18
Longest Drives,359,317,EVEN,Tournament: Genesis Scottish Open,Round: 1
Driving Distance,303.2,-,EVEN,"Total Distance: 10,914",Total Drives: 36
Driving Distance - All Drives,292.2,-,EVEN,"Total Distance: 73,056",# of Drives: 250
Driving Accuracy Percentage,75.60%,-,EVEN,Fairways Hit: 189,Possible Fairways: 250
Left Rough Tendency,7.20%,-,EVEN,Total Left rough: 18,Possible Fwys: 250
Right Rough Tendency,10.80%,-,EVEN,Total Right rough: 27,Possible Fwys: 250
Distance from Edge of Fairway,18' 1,-,EVEN,"Total Distance (Feet): 1,069.250",Total Strokes: 59
Club Head Speed,116.63,-,EVEN,"Total Club Head Speed: 8,630.49",Total Attempts: 74
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,67.59%,-,EVEN,Greens Hit: 219,# Holes: 324
Proximity to Hole,35' 3,-,EVEN,"Total Distance (feet): 11,197.167",# of Attempts: 318
Approaches from > 275 yards,75' 4,-,EVEN,Total Distance (feet): 602.417,# of Attempts: 8
Approaches from 250-275 yards,64' 11,-,EVEN,Total Distance (feet): 584.000,# of Attempts: 9
Approaches from 225-250 yards,43' 8,-,EVEN,Total Distance (feet): 611.583,# of Attempts: 14
Approaches from 200-225 yards,34' 11,-,EVEN,"Total Distance (feet): 1,011.417",# of Attempts: 29
Approaches from > 200 yards,46' 10,-,EVEN,"Total Distance (feet): 2,809.417",# of Attempts: 60
Approaches from 175-200 yards,33' 0,-,EVEN,"Total Distance (feet): 1,385.417",# of Attempts: 42
Approaches from 150-175 yards,31' 11,-,EVEN,"Total Distance (feet): 1,436.750",# of Attempts: 45
Approaches from 125-150 yards,21' 4,-,EVEN,Total Distance (feet): 725.167,# of Attempts: 34
Approaches from 50-125 yards,21' 9,-,EVEN,"Total Distance (feet): 1,413.167",# of Attempts: 65
Approaches from 100-125 yards,23' 7,-,EVEN,Total Distance (feet): 967.750,# of Attempts: 41
Approaches from 75-100 yards,18' 1,-,EVEN,Total Distance (feet): 361.417,# of Attempts: 20
Approaches from 50-75 yards,21' 0,-,EVEN,Total Distance (feet): 84.000,# of Attempts: 4
Approaches from inside 100 yards,18' 3,-,EVEN,Total Distance (feet): 455.583,# of Attempts: 25
Approaches from > 100 yards,33' 0,-,EVEN,"Total Distance (feet): 7,324.500",# of Attempts: 222
Fairway Proximity,31' 6,-,EVEN,: ,Attempts: 247
Rough Proximity,47' 6,-,EVEN,"Total Distance (inches): 21,652",Attempts: 38
Left Rough Proximity,44' 3,-,EVEN,: ,Attempts: 15
Right Rough Proximity,49' 7,-,EVEN,: ,Attempts: 23
Approaches from > 275 yards (Rgh),89' 8,-,EVEN,Total Distance (feet): 89.667,# of Attempts: 1
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),88' 7,-,EVEN,Total Distance (feet): 265.667,# of Attempts: 3
Approaches from 200-225 yards (Rgh),61' 2,-,EVEN,Total Distance (feet): 183.417,# of Attempts: 3
Approaches from > 100 yards (Rgh),52' 5,-,EVEN,"Total Distance (feet): 1,519.333",# of Attempts: 29
Approaches from inside 100 yards (Rgh),31' 8,-,EVEN,Total Distance (feet): 285.000,# of Attempts: 9
Approaches from > 200 yards (Rgh),77' 0,-,EVEN,Total Distance (feet): 538.750,# of Attempts: 7
Approaches from 175-200 yards (Rgh),51' 10,-,EVEN,Total Distance (feet): 311.167,# of Attempts: 6
Approaches from 150-175 yards (Rgh),43' 0,-,EVEN,Total Distance (feet): 214.917,# of Attempts: 5
Approaches from 125-150 yards (Rgh),37' 0,-,EVEN,Total Distance (feet): 221.750,# of Attempts: 6
Approaches from 50-125 yards (Rgh),37' 0,-,EVEN,Total Distance (feet): 517.750,# of Attempts: 14
Approaches from 100-125 yards (Rgh),46' 7,-,EVEN,Total Distance (feet): 232.750,# of Attempts: 5
Approaches from 75-100 yards (Rgh),25' 8,-,EVEN,Total Distance (feet): 205.083,# of Attempts: 8
Approaches from 50-75 yards (Rgh),79' 11,-,EVEN,Total Distance (feet): 79.917,# of Attempts: 1
Going for the Green,71.19%,-,EVEN,Attempts: 42,Non-Attempts: 17
Going for the Green - Hit Green Pct.,30.95%,-,EVEN,Successes: 13,Attempts: 42
Going for the Green - Birdie or Better,54.76%,-,EVEN,# of Birdie or Better: 23,Attempts: 42
Total Hole Outs,3,-,EVEN,: ,: 
Longest Hole Outs (in yards),7,330,EVEN,Tournament: Wyndham,Round- Course: 1
Scrambling,55.24%,-,EVEN,Par or Better: 58,Missed GIR: 105
Scrambling from the Rough,40.00%,-,EVEN,Successes: 16,Attempts: 40
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,41.18%,-,EVEN,Successes: 7,Attempts: 17
Scrambling from 20-30 yards,44.44%,-,EVEN,Successes: 8,Attempts: 18
Scrambling from 10-20 yards,57.45%,-,EVEN,Successes: 27,Attempts: 47
Scrambling from < 10 yards,80.00%,-,EVEN,Successes: 16,Attempts: 20
Sand Save Percentage,33.33%,-,EVEN,# Saves: 5,# Bunkers: 15
Proximity to Hole from Sand,15' 6,-,EVEN,Total Distance (feet): 217.333,# of Shots: 14
Total Putting,-,-,EVEN,,
Putting Average,1.858,-,EVEN,GIR Putts: 407,Greens Hit: 219
Overall Putting Average,1.701,-,EVEN,# of Putts: 551,# of Holes: 324
Birdie or Better Conversion Percentage,26.94%,-,EVEN,# Birdies: 59,Greens Hit: 219
Putts Per Round,30.61,-,EVEN,Total Putts: 551,Total Rounds: 18
Putts per Round - Round 1,30.75,-,EVEN,Total Putts: 246,Total Rounds: 8
Putts per Round - Round 2,30.63,-,EVEN,Total Putts: 245,Total Rounds: 8
Putts per Round - Round 3,30.00,-,EVEN,Total Putts: 30,Total Rounds: 1
Putts per Round - Round 4,30.00,-,EVEN,Total Putts: 30,Total Rounds: 1
One-Putt Percentage,33.64%,-,EVEN,# of 1 putts: 109,# of holes: 324
Longest Putts,39' 2,258,EVEN,Year/Tourn#: RBC Canadian,Round: 1
3-Putt Avoidance,5.56%,-,EVEN,Total 3 Putts: 18,Total Holes (overall): 324
Putting from - > 25',5.62%,-,EVEN,Attempts: 89,Putts made: 5
Putting from - 20-25',4.35%,-,EVEN,Attempts: 23,Putts made: 1
Putting from - 15-20',19.44%,-,EVEN,Attempts: 36,Putts made: 7
Putting from - 10-15',25.49%,-,EVEN,Attempts: 51,Putts made: 13
Putting - Inside 10',83.81%,-,EVEN,Attempts: 352,Putts made: 295
Putting from 10',33.33%,-,EVEN,Attempts: 12,: 
Putting from 9',35.00%,-,EVEN,Attempts: 20,: 
Putting from 8',46.67%,-,EVEN,Attempts: 15,: 
Putting from 7',56.25%,-,EVEN,Attempts: 16,: 
Putting from 6',47.62%,-,EVEN,Attempts: 21,: 
Putting from 5',85.00%,-,EVEN,Attempts: 20,: 
Putting from 4-8',59.72%,-,EVEN,Attempts: 72,Putts made: 43
Putting from 4',88.24%,-,EVEN,Attempts: 34,: 
Putting from 3',98.60%,-,EVEN,Attempts: 214,: 
Average Distance of Putts made,66' 3,-,EVEN,"Total Dist. (inches): 14,311",Total Rounds: 18
Approach Putt Performance,2' 7,-,EVEN,: ,Attempts: 212
Scoring Average (Adjusted),72.236,-,EVEN,"Total Strokes: 1,279",Total Adjustment: 21.250
Scoring Average (Actual),71.06,-,EVEN,"Total Strokes: 1,279",Total Rounds: 18
Lowest Round,67,250,EVEN,Tourn/Course: Wyndham/Sedgefi,Round: 1
Birdie Average,3.33,-,EVEN,# of Birdies: 60,Total Rounds: 18
Total Birdies,60,-,EVEN,: ,: 
Eagles (Holes per),324.0,-,EVEN,# of Holes: 324,# of Eagles: 1
Total Eagles,1,-,EVEN,: ,: 
Par Breakers,18.83%,-,EVEN,# Birdies/Eagles: 61,# Holes: 324
Bounce Back,13.33%,-,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.51%,-,EVEN,Par 3 Birdies or Better: 10,Par 3 Holes: 74
Par 4 Birdie or Better Leaders,13.64%,-,EVEN,Par 4 Birdies or Better: 27,Par 4 Holes: 198
Par 5 Birdie or Better Leaders,46.15%,-,EVEN,Par 5 Birdies or Better: 24,Par 5 Holes: 52
Birdie or Better Percentage,18.83%,-,EVEN,Total Birdies: 61,Total Holes: 324
Bogey Avoidance,19.44%,-,EVEN,Bogeys: 63,Holes Played: 324
Final Round Scoring Average,75.00,-,EVEN,Total Strokes: 75,Total Rounds: 1
Final Round Performance,.00%,-,EVEN,: ,: 
Round 1 Scoring Average,70.13,-,EVEN,Total Strokes: 561,Total Rounds: 8
Round 2 Scoring Average,71.50,-,EVEN,Total Strokes: 572,Total Rounds: 8
Round 3 Scoring Average,71.00,-,EVEN,Total Strokes: 71,Total Rounds: 1
Round 4 Scoring Average,75.00,-,EVEN,Total Strokes: 75,Total Rounds: 1
Par 3 Scoring Average,3.12,-,EVEN,Total Strokes: 231,Total Holes: 74
Par 4 Scoring Average,4.07,-,EVEN,Total Strokes: 805,Total Holes: 198
Par 5 Scoring Average,4.67,-,EVEN,Total Strokes: 243,Total Holes: 52
Front 9 Scoring Average,35.28,-,EVEN,Total Strokes: 635,Total Holes: 18
Back 9 Scoring Average,35.78,-,EVEN,Total Strokes: 644,Total Holes: 18
Early Scoring Average,69.67,-,EVEN,Total Strokes: 627,Total Early Rounds: 9
Late Scoring Average,72.44,-,EVEN,Total Strokes: 652,Total Late Rounds: 9
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,39,94,EVEN,: ,: 
Consecutive Fairways Hit,20,16,EVEN,Current Streak: 0,: 
Consecutive GIR,9,291,EVEN,Current Streak: 1,Round: 1
Consecutive Sand Saves,3,254,EVEN,Current Streak: 0,Round: 1
Best YTD 1-Putt or Better Streak,4,316,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,53,287,EVEN,Current Streak: 39,: 
YTD Par or Better Streak,4,242,EVEN,: ,: 
Consecutive Par 3 Birdies,2,97,EVEN,: ,: 
Consecutive Holes Below Par,2,285,EVEN,: ,: 
Consecutive Birdies Streak,2,284,EVEN,: ,: 
Consecutive Birdies/Eagles streak,1,210,EVEN,: ,: 
Official Money,"$16,548",232,EVEN,: ,YTD Victories: 
FedExCup Fall Points,3,233,EVEN,: ,: 
Comcast Business TOUR TOP 10,3,232,EVEN,# of Wins: 0,# of Top 10's: 0
