Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.319,135,EVEN,Total SG:T: -16.262,Measured Rounds: 51
SG: Tee-to-Green,0.168,76,EVEN,SG:OTT: -0.219,Measured Rounds: 51
SG: Off-the-Tee,-0.219,129,EVEN,Total SG:OTT: -11.157,Measured Rounds: 51
SG: Approach the Green,0.290,44,EVEN,Total SG:APP: 14.805,Measured Rounds: 51
SG: Around-the-Green,0.097,59,EVEN,Total SG:ARG: 4.928,Measured Rounds: 51
SG: Putting,-0.487,157,EVEN,Total SG:Putting: -24.836,Measured Rounds: 51
Longest Drives,371,197,EVEN,Tournament: Wyndham,Round: 4
Driving Distance,292.8,152,EVEN,"Total Distance: 36,307",Total Drives: 124
Driving Distance - All Drives,284.7,154,EVEN,"Total Distance: 200,410",# of Drives: 704
Driving Accuracy Percentage,63.52%,35,EVEN,Fairways Hit: 545,Possible Fairways: 858
Left Rough Tendency,11.60%,37,EVEN,Total Left rough: 81,Possible Fwys: 698
Right Rough Tendency,16.62%,119,EVEN,Total Right rough: 116,Possible Fwys: 698
Distance from Edge of Fairway,25' 4,49,EVEN,"Total Distance (Feet): 6,379.750",Total Strokes: 252
Club Head Speed,109.67,159,EVEN,"Total Club Head Speed: 26,758.43",Total Attempts: 244
Total Driving Efficiency,42,18,EVEN,: ,Carry Efficiency Rank: 38
Greens in Regulation Percentage,66.49%,77,EVEN,Greens Hit: 742,"# Holes: 1,116"
Proximity to Hole,37' 0,81,EVEN,"Total Distance (feet): 33,680.167",# of Attempts: 911
Approaches from > 275 yards,109' 6,164,EVEN,"Total Distance (feet): 2,190.750",# of Attempts: 20
Approaches from 250-275 yards,64' 4,103,EVEN,"Total Distance (feet): 1,414.750",# of Attempts: 22
Approaches from 225-250 yards,44' 6,11,EVEN,"Total Distance (feet): 2,359.417",# of Attempts: 53
Approaches from 200-225 yards,37' 0,15,EVEN,"Total Distance (feet): 2,999.083",# of Attempts: 81
Approaches from > 200 yards,50' 11,100,EVEN,"Total Distance (feet): 8,964.000",# of Attempts: 176
Approaches from 175-200 yards,32' 7,60,EVEN,"Total Distance (feet): 4,692.250",# of Attempts: 144
Approaches from 150-175 yards,28' 5,102,EVEN,"Total Distance (feet): 3,551.417",# of Attempts: 125
Approaches from 125-150 yards,19' 6,3,EVEN,"Total Distance (feet): 2,200.833",# of Attempts: 113
Approaches from 50-125 yards,18' 6,87,EVEN,"Total Distance (feet): 2,198.750",# of Attempts: 119
Approaches from 100-125 yards,19' 11,100,EVEN,"Total Distance (feet): 1,396.000",# of Attempts: 70
Approaches from 75-100 yards,17' 4,78,EVEN,Total Distance (feet): 624.667,# of Attempts: 36
Approaches from 50-75 yards,13' 8,46,EVEN,Total Distance (feet): 178.083,# of Attempts: 13
Approaches from inside 100 yards,16' 0,53,EVEN,Total Distance (feet): 830.500,# of Attempts: 52
Approaches from > 100 yards,33' 2,64,EVEN,"Total Distance (feet): 20,804.500",# of Attempts: 628
Fairway Proximity,31' 10,69,EVEN,: ,Attempts: 680
Rough Proximity,46' 11,135,EVEN,"Total Distance (inches): 99,044",Attempts: 176
Left Rough Proximity,47' 4,140,EVEN,: ,Attempts: 80
Right Rough Proximity,46' 6,103,EVEN,: ,Attempts: 96
Approaches from > 275 yards (Rgh),109' 2,118,EVEN,Total Distance (feet): 218.333,# of Attempts: 2
Approaches from 250-275 yards (Rgh),50' 4,8,EVEN,Total Distance (feet): 201.250,# of Attempts: 4
Approaches from 225-250 yards (Rgh),68' 8,64,EVEN,Total Distance (feet): 823.833,# of Attempts: 12
Approaches from 200-225 yards (Rgh),71' 4,124,EVEN,"Total Distance (feet): 1,069.667",# of Attempts: 15
Approaches from > 100 yards (Rgh),49' 9,127,EVEN,"Total Distance (feet): 7,855.083",# of Attempts: 158
Approaches from inside 100 yards (Rgh),22' 2,25,EVEN,Total Distance (feet): 398.583,# of Attempts: 18
Approaches from > 200 yards (Rgh),70' 1,61,EVEN,"Total Distance (feet): 2,313.083",# of Attempts: 33
Approaches from 175-200 yards (Rgh),65' 11,161,EVEN,"Total Distance (feet): 1,977.667",# of Attempts: 30
Approaches from 150-175 yards (Rgh),41' 6,36,EVEN,"Total Distance (feet): 1,244.750",# of Attempts: 30
Approaches from 125-150 yards (Rgh),37' 0,74,EVEN,"Total Distance (feet): 1,443.833",# of Attempts: 39
Approaches from 50-125 yards (Rgh),29' 2,91,EVEN,"Total Distance (feet): 1,195.833",# of Attempts: 41
Approaches from 100-125 yards (Rgh),33' 8,116,EVEN,Total Distance (feet): 875.750,# of Attempts: 26
Approaches from 75-100 yards (Rgh),19' 11,11,EVEN,Total Distance (feet): 159.417,# of Attempts: 8
Approaches from 50-75 yards (Rgh),22' 11,67,EVEN,Total Distance (feet): 160.667,# of Attempts: 7
Going for the Green,52.51%,140,EVEN,Attempts: 94,Non-Attempts: 85
Going for the Green - Hit Green Pct.,18.09%,145,EVEN,Successes: 17,Attempts: 94
Going for the Green - Birdie or Better,60.64%,69,EVEN,# of Birdie or Better: 57,Attempts: 94
Total Hole Outs,13,95,EVEN,: ,: 
Longest Hole Outs (in yards),110,82,EVEN,Tournament: Procore,Round- Course: 2
Scrambling,61.76%,38,EVEN,Par or Better: 231,Missed GIR: 374
Scrambling from the Rough,59.71%,48,EVEN,Successes: 83,Attempts: 139
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,38.18%,15,EVEN,Successes: 21,Attempts: 55
Scrambling from 20-30 yards,52.24%,96,EVEN,Successes: 35,Attempts: 67
Scrambling from 10-20 yards,64.71%,97,EVEN,Successes: 77,Attempts: 119
Scrambling from < 10 yards,90.32%,39,EVEN,Successes: 56,Attempts: 62
Sand Save Percentage,63.83%,19,EVEN,# Saves: 60,# Bunkers: 94
Proximity to Hole from Sand,8' 2,19,EVEN,Total Distance (feet): 512.167,# of Shots: 63
Total Putting,281.4,157,EVEN,: ,: 
Putting Average,1.783,140,EVEN,"GIR Putts: 1,323",Greens Hit: 742
Overall Putting Average,1.616,106,EVEN,"# of Putts: 1,803","# of Holes: 1,116"
Birdie or Better Conversion Percentage,29.05%,146,EVEN,# Birdies: 215,Greens Hit: 740
Putts Per Round,29.08,104,EVEN,"Total Putts: 1,803",Total Rounds: 62
Putts per Round - Round 1,29.14,99,EVEN,Total Putts: 641,Total Rounds: 22
Putts per Round - Round 2,28.76,66,EVEN,Total Putts: 604,Total Rounds: 21
Putts per Round - Round 3,29.40,126,EVEN,Total Putts: 294,Total Rounds: 10
Putts per Round - Round 4,29.33,118,EVEN,Total Putts: 264,Total Rounds: 9
One-Putt Percentage,39.96%,80,EVEN,# of 1 putts: 446,"# of holes: 1,116"
Longest Putts,50' 6,134,EVEN,Year/Tourn#: Rocket Classic,Round: 2
3-Putt Avoidance,3.76%,153,EVEN,Total 3 Putts: 42,"Total Holes (overall): 1,116"
Putting from - > 25',6.40%,36,EVEN,Attempts: 203,Putts made: 13
Putting from - 20-25',16.88%,21,EVEN,Attempts: 77,Putts made: 13
Putting from - 15-20',15.58%,136,EVEN,Attempts: 77,Putts made: 12
Putting from - 10-15',21.85%,164,EVEN,Attempts: 151,Putts made: 33
Putting - Inside 10',86.29%,150,EVEN,Attempts: 970,Putts made: 837
Putting from 10',47.37%,36,EVEN,Attempts: 38,: 
Putting from 9',42.42%,120,EVEN,Attempts: 33,: 
Putting from 8',67.35%,8,EVEN,Attempts: 49,: 
Putting from 7',47.73%,162,EVEN,Attempts: 44,: 
Putting from 6',67.80%,118,EVEN,Attempts: 59,: 
Putting from 5',67.11%,164,EVEN,Attempts: 76,: 
Putting from 4-8',63.60%,152,EVEN,Attempts: 228,Putts made: 145
Putting from 4',92.47%,79,EVEN,Attempts: 93,: 
