Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.479,50,EVEN,Total SG:T: 34.501,Measured Rounds: 72
SG: Tee-to-Green,0.804,18,EVEN,SG:OTT: 0.492,Measured Rounds: 72
SG: Off-the-Tee,0.492,14,EVEN,Total SG:OTT: 35.436,Measured Rounds: 72
SG: Approach the Green,0.101,78,EVEN,Total SG:APP: 7.241,Measured Rounds: 72
SG: Around-the-Green,0.211,26,EVEN,Total SG:ARG: 15.198,Measured Rounds: 72
SG: Putting,-0.325,145,EVEN,Total SG:Putting: -23.375,Measured Rounds: 72
Longest Drives,403,39,EVEN,Tournament: Sentry,Round: 4
Driving Distance,304.6,77,EVEN,"Total Distance: 48,730",Total Drives: 160
Driving Distance - All Drives,296.2,63,EVEN,"Total Distance: 298,607","# of Drives: 1,008"
Driving Accuracy Percentage,64.11%,29,EVEN,Fairways Hit: 718,"Possible Fairways: 1,120"
Left Rough Tendency,11.64%,38,EVEN,Total Left rough: 117,"Possible Fwys: 1,005"
Right Rough Tendency,14.73%,73,EVEN,Total Right rough: 148,"Possible Fwys: 1,005"
Distance from Edge of Fairway,26' 4,66,EVEN,"Total Distance (Feet): 9,081.083",Total Strokes: 345
Club Head Speed,115.88,95,EVEN,"Total Club Head Speed: 38,818.99",Total Attempts: 335
Total Driving Efficiency,50,25,EVEN,: ,Carry Efficiency Rank: 13
Greens in Regulation Percentage,68.89%,36,EVEN,Greens Hit: 992,"# Holes: 1,440"
Proximity to Hole,35' 8,29,EVEN,"Total Distance (feet): 45,626.667","# of Attempts: 1,279"
Approaches from > 275 yards,81' 6,76,EVEN,"Total Distance (feet): 1,629.167",# of Attempts: 20
Approaches from 250-275 yards,58' 7,54,EVEN,"Total Distance (feet): 2,284.500",# of Attempts: 39
Approaches from 225-250 yards,55' 1,148,EVEN,"Total Distance (feet): 3,800.917",# of Attempts: 69
Approaches from 200-225 yards,41' 9,99,EVEN,"Total Distance (feet): 4,589.417",# of Attempts: 110
Approaches from > 200 yards,51' 8,121,EVEN,"Total Distance (feet): 12,304.000",# of Attempts: 238
Approaches from 175-200 yards,30' 9,17,EVEN,"Total Distance (feet): 4,888.417",# of Attempts: 159
Approaches from 150-175 yards,25' 3,12,EVEN,"Total Distance (feet): 4,772.500",# of Attempts: 189
Approaches from 125-150 yards,22' 2,43,EVEN,"Total Distance (feet): 3,306.417",# of Attempts: 149
Approaches from 50-125 yards,18' 1,68,EVEN,"Total Distance (feet): 3,839.083",# of Attempts: 212
Approaches from 100-125 yards,19' 3,78,EVEN,"Total Distance (feet): 2,140.917",# of Attempts: 111
Approaches from 75-100 yards,15' 4,29,EVEN,"Total Distance (feet): 1,164.417",# of Attempts: 76
Approaches from 50-75 yards,21' 4,153,EVEN,Total Distance (feet): 533.750,# of Attempts: 25
Approaches from inside 100 yards,16' 4,63,EVEN,"Total Distance (feet): 1,731.167",# of Attempts: 106
Approaches from > 100 yards,32' 5,32,EVEN,"Total Distance (feet): 27,412.250",# of Attempts: 846
Fairway Proximity,30' 7,20,EVEN,: ,Attempts: 952
Rough Proximity,46' 0,113,EVEN,"Total Distance (inches): 134,752",Attempts: 244
Left Rough Proximity,44' 5,75,EVEN,: ,Attempts: 118
Right Rough Proximity,47' 6,128,EVEN,: ,Attempts: 126
Approaches from > 275 yards (Rgh),116' 6,133,EVEN,Total Distance (feet): 466.083,# of Attempts: 4
Approaches from 250-275 yards (Rgh),81' 9,99,EVEN,Total Distance (feet): 490.417,# of Attempts: 6
Approaches from 225-250 yards (Rgh),80' 10,133,EVEN,Total Distance (feet): 727.250,# of Attempts: 9
Approaches from 200-225 yards (Rgh),62' 1,65,EVEN,"Total Distance (feet): 1,489.417",# of Attempts: 24
Approaches from > 100 yards (Rgh),49' 10,130,EVEN,"Total Distance (feet): 10,257.750",# of Attempts: 206
Approaches from inside 100 yards (Rgh),25' 7,77,EVEN,Total Distance (feet): 971.583,# of Attempts: 38
Approaches from > 200 yards (Rgh),73' 10,103,EVEN,"Total Distance (feet): 3,173.167",# of Attempts: 43
Approaches from 175-200 yards (Rgh),56' 4,123,EVEN,"Total Distance (feet): 1,633.000",# of Attempts: 29
Approaches from 150-175 yards (Rgh),46' 5,103,EVEN,"Total Distance (feet): 2,273.833",# of Attempts: 49
Approaches from 125-150 yards (Rgh),40' 0,118,EVEN,"Total Distance (feet): 2,278.500",# of Attempts: 57
Approaches from 50-125 yards (Rgh),29' 4,95,EVEN,"Total Distance (feet): 1,761.583",# of Attempts: 60
Approaches from 100-125 yards (Rgh),32' 1,89,EVEN,Total Distance (feet): 899.250,# of Attempts: 28
Approaches from 75-100 yards (Rgh),26' 9,86,EVEN,Total Distance (feet): 535.667,# of Attempts: 20
Approaches from 50-75 yards (Rgh),27' 3,116,EVEN,Total Distance (feet): 326.667,# of Attempts: 12
Going for the Green,64.62%,43,EVEN,Attempts: 179,Non-Attempts: 98
Going for the Green - Hit Green Pct.,26.82%,43,EVEN,Successes: 48,Attempts: 179
Going for the Green - Birdie or Better,62.57%,38,EVEN,# of Birdie or Better: 112,Attempts: 179
Total Hole Outs,18,30,EVEN,: ,: 
Longest Hole Outs (in yards),82,105,EVEN,Tournament: Sentry,Round- Course: 2
Scrambling,56.92%,130,EVEN,Par or Better: 255,Missed GIR: 448
Scrambling from the Rough,52.83%,135,EVEN,Successes: 84,Attempts: 159
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,33.78%,43,EVEN,Successes: 25,Attempts: 74
Scrambling from 20-30 yards,52.24%,96,EVEN,Successes: 35,Attempts: 67
Scrambling from 10-20 yards,62.21%,123,EVEN,Successes: 107,Attempts: 172
Scrambling from < 10 yards,85.53%,104,EVEN,Successes: 65,Attempts: 76
Sand Save Percentage,52.38%,140,EVEN,# Saves: 55,# Bunkers: 105
Proximity to Hole from Sand,8' 3,23,EVEN,Total Distance (feet): 717.083,# of Shots: 87
Total Putting,278.3,154,EVEN,: ,: 
Putting Average,1.763,102,EVEN,"GIR Putts: 1,749",Greens Hit: 992
Overall Putting Average,1.631,134,EVEN,"# of Putts: 2,348","# of Holes: 1,440"
Birdie or Better Conversion Percentage,32.46%,49,EVEN,# Birdies: 321,Greens Hit: 989
Putts Per Round,29.35,133,EVEN,"Total Putts: 2,348",Total Rounds: 80
Putts per Round - Round 1,29.88,152,EVEN,Total Putts: 717,Total Rounds: 24
Putts per Round - Round 2,29.13,112,EVEN,Total Putts: 699,Total Rounds: 24
