Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.616,37,EVEN,Total SG:T: 48.026,Measured Rounds: 78
SG: Tee-to-Green,-0.040,109,EVEN,SG:OTT: -0.258,Measured Rounds: 78
SG: Off-the-Tee,-0.258,137,EVEN,Total SG:OTT: -20.098,Measured Rounds: 78
SG: Approach the Green,0.232,54,EVEN,Total SG:APP: 18.069,Measured Rounds: 78
SG: Around-the-Green,-0.014,89,EVEN,Total SG:ARG: -1.101,Measured Rounds: 78
SG: Putting,0.656,4,EVEN,Total SG:Putting: 51.156,Measured Rounds: 78
Longest Drives,399,52,EVEN,Tournament: Sentry,Round: 1
Driving Distance,295.6,145,EVEN,"Total Distance: 49,667",Total Drives: 168
Driving Distance - All Drives,288.2,142,EVEN,"Total Distance: 315,319","# of Drives: 1,094"
Driving Accuracy Percentage,60.53%,70,EVEN,Fairways Hit: 713,"Possible Fairways: 1,178"
Left Rough Tendency,9.58%,8,EVEN,Total Left rough: 104,"Possible Fwys: 1,086"
Right Rough Tendency,17.59%,134,EVEN,Total Right rough: 191,"Possible Fwys: 1,086"
Distance from Edge of Fairway,26' 2,61,EVEN,"Total Distance (Feet): 10,772.167",Total Strokes: 412
Club Head Speed,113.79,134,EVEN,"Total Club Head Speed: 39,828.22",Total Attempts: 350
Total Driving Efficiency,142,70,EVEN,: ,Carry Efficiency Rank: 79
Greens in Regulation Percentage,65.74%,99,EVEN,Greens Hit: 994,"# Holes: 1,512"
Proximity to Hole,37' 5,98,EVEN,"Total Distance (feet): 52,264.500","# of Attempts: 1,396"
Approaches from > 275 yards,83' 3,86,EVEN,"Total Distance (feet): 2,331.167",# of Attempts: 28
Approaches from 250-275 yards,50' 7,4,EVEN,"Total Distance (feet): 1,719.417",# of Attempts: 34
Approaches from 225-250 yards,48' 1,49,EVEN,"Total Distance (feet): 3,315.250",# of Attempts: 69
Approaches from 200-225 yards,43' 5,133,EVEN,"Total Distance (feet): 5,511.500",# of Attempts: 127
Approaches from > 200 yards,49' 11,68,EVEN,"Total Distance (feet): 12,877.333",# of Attempts: 258
