Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.627,-,EVEN,Total SG:T: -15.685,Measured Rounds: 25
SG: Tee-to-Green,-0.325,-,EVEN,SG:OTT: -0.332,Measured Rounds: 25
SG: Off-the-Tee,-0.332,-,EVEN,Total SG:OTT: -8.290,Measured Rounds: 25
SG: Approach the Green,-0.085,-,EVEN,Total SG:APP: -2.130,Measured Rounds: 25
SG: Around-the-Green,0.092,-,EVEN,Total SG:ARG: 2.303,Measured Rounds: 25
SG: Putting,-0.303,-,EVEN,Total SG:Putting: -7.567,Measured Rounds: 25
Longest Drives,370,209,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,298.8,-,EVEN,"Total Distance: 20,317",Total Drives: 68
Driving Distance - All Drives,291.8,-,EVEN,"Total Distance: 102,143",# of Drives: 350
Driving Accuracy Percentage,58.19%,-,EVEN,Fairways Hit: 277,Possible Fairways: 476
Left Rough Tendency,11.21%,-,EVEN,Total Left rough: 39,Possible Fwys: 348
Right Rough Tendency,19.83%,-,EVEN,Total Right rough: 69,Possible Fwys: 348
Distance from Edge of Fairway,29' 0,-,EVEN,"Total Distance (Feet): 4,261.667",Total Strokes: 147
Club Head Speed,113.17,-,EVEN,"Total Club Head Speed: 12,901.06",Total Attempts: 114
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,66.99%,-,EVEN,Greens Hit: 410,# Holes: 612
Proximity to Hole,37' 6,-,EVEN,"Total Distance (feet): 16,842.667",# of Attempts: 449
Approaches from > 275 yards,66' 5,-,EVEN,Total Distance (feet): 465.000,# of Attempts: 7
Approaches from 250-275 yards,54' 11,-,EVEN,Total Distance (feet): 329.583,# of Attempts: 6
Approaches from 225-250 yards,58' 2,-,EVEN,"Total Distance (feet): 1,860.583",# of Attempts: 32
Approaches from 200-225 yards,42' 10,-,EVEN,"Total Distance (feet): 1,543.250",# of Attempts: 36
Approaches from > 200 yards,51' 10,-,EVEN,"Total Distance (feet): 4,198.417",# of Attempts: 81
Approaches from 175-200 yards,35' 10,-,EVEN,"Total Distance (feet): 2,075.917",# of Attempts: 58
Approaches from 150-175 yards,27' 3,-,EVEN,"Total Distance (feet): 1,718.333",# of Attempts: 63
Approaches from 125-150 yards,22' 0,-,EVEN,"Total Distance (feet): 1,077.000",# of Attempts: 49
Approaches from 50-125 yards,17' 10,-,EVEN,"Total Distance (feet): 1,160.250",# of Attempts: 65
Approaches from 100-125 yards,19' 2,-,EVEN,Total Distance (feet): 899.917,# of Attempts: 47
Approaches from 75-100 yards,13' 3,-,EVEN,Total Distance (feet): 145.833,# of Attempts: 11
Approaches from 50-75 yards,16' 4,-,EVEN,Total Distance (feet): 114.500,# of Attempts: 7
Approaches from inside 100 yards,13' 7,-,EVEN,Total Distance (feet): 271.833,# of Attempts: 20
Approaches from > 100 yards,33' 5,-,EVEN,"Total Distance (feet): 9,969.583",# of Attempts: 298
Fairway Proximity,32' 2,-,EVEN,: ,Attempts: 318
Rough Proximity,46' 0,-,EVEN,"Total Distance (inches): 54,048",Attempts: 98
Left Rough Proximity,37' 11,-,EVEN,: ,Attempts: 31
Right Rough Proximity,49' 8,-,EVEN,: ,Attempts: 67
Approaches from > 275 yards (Rgh),159' 8,-,EVEN,Total Distance (feet): 319.250,# of Attempts: 2
Approaches from 250-275 yards (Rgh),66' 10,-,EVEN,Total Distance (feet): 334.167,# of Attempts: 5
Approaches from 225-250 yards (Rgh),59' 9,-,EVEN,Total Distance (feet): 179.250,# of Attempts: 3
Approaches from 200-225 yards (Rgh),72' 3,-,EVEN,Total Distance (feet): 578.167,# of Attempts: 8
Approaches from > 100 yards (Rgh),48' 7,-,EVEN,"Total Distance (feet): 4,276.583",# of Attempts: 88
Approaches from inside 100 yards (Rgh),22' 9,-,EVEN,Total Distance (feet): 227.417,# of Attempts: 10
Approaches from > 200 yards (Rgh),78' 5,-,EVEN,"Total Distance (feet): 1,410.833",# of Attempts: 18
Approaches from 175-200 yards (Rgh),42' 10,-,EVEN,Total Distance (feet): 556.417,# of Attempts: 13
Approaches from 150-175 yards (Rgh),46' 9,-,EVEN,"Total Distance (feet): 1,028.333",# of Attempts: 22
Approaches from 125-150 yards (Rgh),39' 5,-,EVEN,Total Distance (feet): 828.083,# of Attempts: 21
Approaches from 50-125 yards (Rgh),29' 8,-,EVEN,Total Distance (feet): 594.000,# of Attempts: 20
Approaches from 100-125 yards (Rgh),32' 4,-,EVEN,Total Distance (feet): 452.917,# of Attempts: 14
Approaches from 75-100 yards (Rgh),23' 9,-,EVEN,Total Distance (feet): 71.250,# of Attempts: 3
Approaches from 50-75 yards (Rgh),23' 3,-,EVEN,Total Distance (feet): 69.833,# of Attempts: 3
Going for the Green,58.33%,-,EVEN,Attempts: 49,Non-Attempts: 35
Going for the Green - Hit Green Pct.,20.41%,-,EVEN,Successes: 10,Attempts: 49
Going for the Green - Birdie or Better,51.02%,-,EVEN,# of Birdie or Better: 25,Attempts: 49
Total Hole Outs,3,-,EVEN,: ,: 
Longest Hole Outs (in yards),12,279,EVEN,Tournament: RBC Canadian,Round- Course: 1
Scrambling,58.91%,-,EVEN,Par or Better: 119,Missed GIR: 202
Scrambling from the Rough,61.43%,-,EVEN,Successes: 43,Attempts: 70
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,30.30%,-,EVEN,Successes: 10,Attempts: 33
Scrambling from 20-30 yards,63.64%,-,EVEN,Successes: 28,Attempts: 44
Scrambling from 10-20 yards,66.00%,-,EVEN,Successes: 33,Attempts: 50
Scrambling from < 10 yards,90.00%,-,EVEN,Successes: 18,Attempts: 20
Sand Save Percentage,50.91%,-,EVEN,# Saves: 28,# Bunkers: 55
Proximity to Hole from Sand,10' 1,-,EVEN,Total Distance (feet): 413.333,# of Shots: 41
Total Putting,-,-,EVEN,,
Putting Average,1.768,-,EVEN,GIR Putts: 725,Greens Hit: 410
Overall Putting Average,1.627,-,EVEN,# of Putts: 996,# of Holes: 612
Birdie or Better Conversion Percentage,30.49%,-,EVEN,# Birdies: 125,Greens Hit: 410
Putts Per Round,29.29,-,EVEN,Total Putts: 996,Total Rounds: 34
Putts per Round - Round 1,28.82,-,EVEN,Total Putts: 317,Total Rounds: 11
