Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.051,99,EVEN,Total SG:T: 3.677,Measured Rounds: 72
SG: Tee-to-Green,-0.163,121,EVEN,SG:OTT: -0.414,Measured Rounds: 72
SG: Off-the-Tee,-0.414,151,EVEN,Total SG:OTT: -29.781,Measured Rounds: 72
SG: Approach the Green,0.070,83,EVEN,Total SG:APP: 5.010,Measured Rounds: 72
SG: Around-the-Green,0.181,41,EVEN,Total SG:ARG: 13.057,Measured Rounds: 72
SG: Putting,0.214,42,EVEN,Total SG:Putting: 15.392,Measured Rounds: 72
Longest Drives,410,19,EVEN,Tournament: Sentry,Round: 4
Driving Distance,297.4,127,EVEN,"Total Distance: 44,605",Total Drives: 150
Driving Distance - All Drives,290.8,111,EVEN,"Total Distance: 291,924","# of Drives: 1,004"
Driving Accuracy Percentage,56.88%,119,EVEN,Fairways Hit: 595,"Possible Fairways: 1,046"
Left Rough Tendency,14.66%,121,EVEN,Total Left rough: 145,Possible Fwys: 989
Right Rough Tendency,15.07%,71,EVEN,Total Right rough: 149,Possible Fwys: 989
Distance from Edge of Fairway,31' 6,127,EVEN,"Total Distance (Feet): 12,560.667",Total Strokes: 399
Club Head Speed,116.12,91,EVEN,"Total Club Head Speed: 39,830.39",Total Attempts: 343
Total Driving Efficiency,203,101,EVEN,: ,Carry Efficiency Rank: 75
Greens in Regulation Percentage,61.26%,164,EVEN,Greens Hit: 827,"# Holes: 1,350"
Proximity to Hole,37' 5,89,EVEN,"Total Distance (feet): 48,083.083","# of Attempts: 1,284"
Approaches from > 275 yards,83' 3,93,EVEN,"Total Distance (feet): 2,081.667",# of Attempts: 25
Approaches from 250-275 yards,61' 9,74,EVEN,"Total Distance (feet): 1,543.083",# of Attempts: 25
Approaches from 225-250 yards,49' 1,68,EVEN,"Total Distance (feet): 2,995.833",# of Attempts: 61
Approaches from 200-225 yards,42' 4,99,EVEN,"Total Distance (feet): 4,998.833",# of Attempts: 118
Approaches from > 200 yards,50' 9,66,EVEN,"Total Distance (feet): 11,619.417",# of Attempts: 229
Approaches from 175-200 yards,33' 8,83,EVEN,"Total Distance (feet): 6,566.250",# of Attempts: 195
Approaches from 150-175 yards,27' 4,44,EVEN,"Total Distance (feet): 4,697.083",# of Attempts: 172
Approaches from 125-150 yards,22' 10,55,EVEN,"Total Distance (feet): 3,147.000",# of Attempts: 138
Approaches from 50-125 yards,17' 2,22,EVEN,"Total Distance (feet): 2,802.417",# of Attempts: 163
Approaches from 100-125 yards,18' 9,41,EVEN,"Total Distance (feet): 1,632.167",# of Attempts: 87
Approaches from 75-100 yards,15' 11,49,EVEN,Total Distance (feet): 874.250,# of Attempts: 55
Approaches from 50-75 yards,14' 1,59,EVEN,Total Distance (feet): 296.000,# of Attempts: 21
Approaches from inside 100 yards,15' 5,35,EVEN,"Total Distance (feet): 1,277.667",# of Attempts: 83
Approaches from > 100 yards,33' 8,47,EVEN,"Total Distance (feet): 27,661.917",# of Attempts: 821
Fairway Proximity,32' 0,45,EVEN,: ,Attempts: 904
Rough Proximity,47' 6,146,EVEN,"Total Distance (inches): 150,569",Attempts: 264
Left Rough Proximity,46' 7,120,EVEN,: ,Attempts: 129
Right Rough Proximity,48' 5,134,EVEN,: ,Attempts: 135
Approaches from > 275 yards (Rgh),81' 6,43,EVEN,Total Distance (feet): 733.583,# of Attempts: 9
Approaches from 250-275 yards (Rgh),88' 10,131,EVEN,Total Distance (feet): 799.417,# of Attempts: 9
Approaches from 225-250 yards (Rgh),62' 0,38,EVEN,Total Distance (feet): 868.000,# of Attempts: 14
Approaches from 200-225 yards (Rgh),79' 8,160,EVEN,"Total Distance (feet): 1,673.500",# of Attempts: 21
Approaches from > 100 yards (Rgh),51' 0,141,EVEN,"Total Distance (feet): 11,626.167",# of Attempts: 228
Approaches from inside 100 yards (Rgh),25' 7,107,EVEN,Total Distance (feet): 921.250,# of Attempts: 36
Approaches from > 200 yards (Rgh),76' 11,128,EVEN,"Total Distance (feet): 4,074.500",# of Attempts: 53
Approaches from 175-200 yards (Rgh),50' 5,61,EVEN,"Total Distance (feet): 2,015.750",# of Attempts: 40
Approaches from 150-175 yards (Rgh),51' 0,158,EVEN,"Total Distance (feet): 2,906.917",# of Attempts: 57
Approaches from 125-150 yards (Rgh),38' 10,109,EVEN,"Total Distance (feet): 1,629.667",# of Attempts: 42
Approaches from 50-125 yards (Rgh),27' 5,78,EVEN,"Total Distance (feet): 1,811.417",# of Attempts: 66
Approaches from 100-125 yards (Rgh),27' 9,38,EVEN,Total Distance (feet): 999.333,# of Attempts: 36
Approaches from 75-100 yards (Rgh),32' 4,150,EVEN,Total Distance (feet): 388.167,# of Attempts: 12
Approaches from 50-75 yards (Rgh),23' 7,97,EVEN,Total Distance (feet): 423.917,# of Attempts: 18
Going for the Green,53.74%,137,EVEN,Attempts: 151,Non-Attempts: 130
Going for the Green - Hit Green Pct.,15.03%,158,EVEN,Successes: 23,Attempts: 153
Going for the Green - Birdie or Better,54.90%,141,EVEN,# of Birdie or Better: 84,Attempts: 153
Total Hole Outs,20,4,EVEN,: ,: 
Longest Hole Outs (in yards),186,16,EVEN,Tournament: PGA Championship,Round- Course: 1
Scrambling,62.33%,40,EVEN,Par or Better: 326,Missed GIR: 523
Scrambling from the Rough,62.39%,37,EVEN,Successes: 136,Attempts: 218
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,40.00%,12,EVEN,Successes: 42,Attempts: 105
Scrambling from 20-30 yards,42.22%,159,EVEN,Successes: 38,Attempts: 90
Scrambling from 10-20 yards,70.05%,36,EVEN,Successes: 145,Attempts: 207
Scrambling from < 10 yards,93.75%,12,EVEN,Successes: 90,Attempts: 96
Sand Save Percentage,62.39%,39,EVEN,# Saves: 73,# Bunkers: 117
Proximity to Hole from Sand,9' 9,112,EVEN,Total Distance (feet): 968.750,# of Shots: 99
Total Putting,168.8,68,EVEN,: ,: 
Putting Average,1.729,25,EVEN,"GIR Putts: 1,430",Greens Hit: 827
Overall Putting Average,1.550,6,EVEN,"# of Putts: 2,092","# of Holes: 1,350"
Birdie or Better Conversion Percentage,32.48%,53,EVEN,# Birdies: 268,Greens Hit: 825
Putts Per Round,27.89,5,EVEN,"Total Putts: 2,092",Total Rounds: 75
Putts per Round - Round 1,28.18,25,EVEN,Total Putts: 620,Total Rounds: 22
Putts per Round - Round 2,27.95,20,EVEN,Total Putts: 615,Total Rounds: 22
Putts per Round - Round 3,27.94,32,EVEN,Total Putts: 447,Total Rounds: 16
Putts per Round - Round 4,27.33,6,EVEN,Total Putts: 410,Total Rounds: 15
One-Putt Percentage,44.52%,8,EVEN,# of 1 putts: 601,"# of holes: 1,350"
Longest Putts,62' 9,31,EVEN,Year/Tourn#: PGA Championship,Round: 4
3-Putt Avoidance,2.44%,49,EVEN,Total 3 Putts: 33,"Total Holes (overall): 1,350"
Putting from - > 25',8.93%,7,EVEN,Attempts: 280,Putts made: 25
Putting from - 20-25',11.25%,104,EVEN,Attempts: 80,Putts made: 9
Putting from - 15-20',14.88%,140,EVEN,Attempts: 121,Putts made: 18
Putting from - 10-15',29.85%,98,EVEN,Attempts: 201,Putts made: 60
Putting - Inside 10',87.67%,98,EVEN,"Attempts: 1,330","Putts made: 1,166"
Putting from 10',47.06%,45,EVEN,Attempts: 51,: 
Putting from 9',42.86%,107,EVEN,Attempts: 56,: 
Putting from 8',66.67%,11,EVEN,Attempts: 66,: 
Putting from 7',60.53%,88,EVEN,Attempts: 76,: 
Putting from 6',69.05%,107,EVEN,Attempts: 84,: 
Putting from 5',84.85%,54,EVEN,Attempts: 99,: 
Putting from 4-8',71.38%,49,EVEN,Attempts: 325,Putts made: 232
Putting from 4',93.02%,78,EVEN,Attempts: 129,: 
Putting from 3',99.61%,87,EVEN,Attempts: 769,: 
Average Distance of Putts made,77' 1,23,EVEN,"Total Dist. (inches): 66,576",Total Rounds: 72
Approach Putt Performance,2' 3,92,EVEN,: ,Attempts: 703
Scoring Average (Adjusted),71.136,100,EVEN,"Total Strokes: 5,297",Total Adjustment: 38.184
Scoring Average (Actual),70.63,119,EVEN,"Total Strokes: 5,297",Total Rounds: 75
Lowest Round,64,70,EVEN,Tourn/Course: THE CJ CUP/TPC ,Round: 1
Birdie Average,3.75,97,EVEN,# of Birdies: 281,Total Rounds: 75
Total Birdies,281,5,EVEN,: ,: 
Eagles (Holes per),270.0,132,EVEN,"# of Holes: 1,350",# of Eagles: 5
Total Eagles,5,82,EVEN,: ,: 
Par Breakers,21.19%,109,EVEN,# Birdies/Eagles: 286,"# Holes: 1,350"
Bounce Back,21.36%,92,EVEN,: ,: 
Par 3 Birdie or Better Leaders,16.45%,14,EVEN,Par 3 Birdies or Better: 50,Par 3 Holes: 304
Par 4 Birdie or Better Leaders,17.16%,84,EVEN,Par 4 Birdies or Better: 138,Par 4 Holes: 804
Par 5 Birdie or Better Leaders,40.50%,158,EVEN,Par 5 Birdies or Better: 98,Par 5 Holes: 242
Birdie or Better Percentage,21.19%,109,EVEN,Total Birdies: 286,"Total Holes: 1,350"
Bogey Avoidance,16.37%,107,EVEN,Bogeys: 221,"Holes Played: 1,350"
Final Round Scoring Average,71.13,121,EVEN,"Total Strokes: 1,067",Total Rounds: 15
Final Round Performance,40.00%,136,EVEN,: ,: 
Round 1 Scoring Average,70.45,93,EVEN,"Total Strokes: 1,550",Total Rounds: 22
Round 2 Scoring Average,70.32,86,EVEN,"Total Strokes: 1,547",Total Rounds: 22
Round 3 Scoring Average,70.81,119,EVEN,"Total Strokes: 1,133",Total Rounds: 16
Round 4 Scoring Average,71.13,121,EVEN,"Total Strokes: 1,067",Total Rounds: 15
Par 3 Scoring Average,3.02,29,EVEN,Total Strokes: 917,Total Holes: 304
Par 4 Scoring Average,4.03,96,EVEN,"Total Strokes: 3,238",Total Holes: 804
Par 5 Scoring Average,4.72,162,EVEN,"Total Strokes: 1,142",Total Holes: 242
Front 9 Scoring Average,35.27,114,EVEN,"Total Strokes: 2,645",Total Holes: 75
Back 9 Scoring Average,35.36,111,EVEN,"Total Strokes: 2,652",Total Holes: 75
Early Scoring Average,70.38,94,EVEN,"Total Strokes: 2,393",Total Early Rounds: 34
Late Scoring Average,70.83,121,EVEN,"Total Strokes: 2,904",Total Late Rounds: 41
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,17,226,EVEN,: ,: 
Consecutive Fairways Hit,11,160,EVEN,Current Streak: 0,: 
Consecutive GIR,21,32,EVEN,Current Streak: 0,Round: 4
Consecutive Sand Saves,5,144,EVEN,Current Streak: 1,Round: 1
Best YTD 1-Putt or Better Streak,15,2,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,199,25,EVEN,Current Streak: 17,: 
YTD Par or Better Streak,10,74,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,2,70,EVEN,: ,: 
Official Money,"$1,884,562",65,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,541,64,EVEN,# of Wins: 0,# of Top 10's: 2
