Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.220,77,EVEN,Total SG:T: 10.574,Measured Rounds: 48
SG: Tee-to-Green,0.385,56,EVEN,SG:OTT: 0.207,Measured Rounds: 48
SG: Off-the-Tee,0.207,56,EVEN,Total SG:OTT: 9.940,Measured Rounds: 48
SG: Approach the Green,0.127,71,EVEN,Total SG:APP: 6.099,Measured Rounds: 48
SG: Around-the-Green,0.051,76,EVEN,Total SG:ARG: 2.441,Measured Rounds: 48
SG: Putting,-0.165,132,EVEN,Total SG:Putting: -7.905,Measured Rounds: 48
Longest Drives,396,60,EVEN,Tournament: Truist,Round: 4
Driving Distance,307.8,36,EVEN,"Total Distance: 32,625",Total Drives: 106
Driving Distance - All Drives,297.8,45,EVEN,"Total Distance: 198,928",# of Drives: 668
Driving Accuracy Percentage,59.89%,84,EVEN,Fairways Hit: 442,Possible Fairways: 738
Left Rough Tendency,11.56%,41,EVEN,Total Left rough: 77,Possible Fwys: 666
Right Rough Tendency,16.82%,113,EVEN,Total Right rough: 112,Possible Fwys: 666
Distance from Edge of Fairway,27' 2,73,EVEN,"Total Distance (Feet): 6,854.000",Total Strokes: 252
Club Head Speed,118.51,51,EVEN,"Total Club Head Speed: 29,745.52",Total Attempts: 251
Total Driving Efficiency,221,112,EVEN,: ,Carry Efficiency Rank: 111
Greens in Regulation Percentage,67.71%,42,EVEN,Greens Hit: 646,# Holes: 954
Proximity to Hole,37' 5,89,EVEN,"Total Distance (feet): 31,986.750",# of Attempts: 855
Approaches from > 275 yards,96' 9,159,EVEN,"Total Distance (feet): 1,063.833",# of Attempts: 11
Approaches from 250-275 yards,63' 1,91,EVEN,"Total Distance (feet): 1,134.750",# of Attempts: 18
Approaches from 225-250 yards,50' 7,91,EVEN,"Total Distance (feet): 2,730.167",# of Attempts: 54
Approaches from 200-225 yards,36' 2,6,EVEN,"Total Distance (feet): 2,715.083",# of Attempts: 75
Approaches from > 200 yards,48' 5,23,EVEN,"Total Distance (feet): 7,643.833",# of Attempts: 158
Approaches from 175-200 yards,31' 3,20,EVEN,"Total Distance (feet): 3,310.750",# of Attempts: 106
Approaches from 150-175 yards,31' 5,160,EVEN,"Total Distance (feet): 3,860.667",# of Attempts: 123
Approaches from 125-150 yards,25' 1,137,EVEN,"Total Distance (feet): 2,282.583",# of Attempts: 91
Approaches from 50-125 yards,19' 0,105,EVEN,"Total Distance (feet): 2,445.667",# of Attempts: 129
Approaches from 100-125 yards,19' 6,69,EVEN,"Total Distance (feet): 1,521.917",# of Attempts: 78
Approaches from 75-100 yards,17' 11,97,EVEN,Total Distance (feet): 751.833,# of Attempts: 42
Approaches from 50-75 yards,19' 1,135,EVEN,Total Distance (feet): 171.917,# of Attempts: 9
Approaches from inside 100 yards,17' 8,106,EVEN,Total Distance (feet): 952.917,# of Attempts: 54
Approaches from > 100 yards,33' 6,44,EVEN,"Total Distance (feet): 18,619.750",# of Attempts: 556
Fairway Proximity,32' 1,46,EVEN,: ,Attempts: 610
Rough Proximity,45' 1,85,EVEN,"Total Distance (inches): 96,353",Attempts: 178
Left Rough Proximity,38' 2,10,EVEN,: ,Attempts: 75
Right Rough Proximity,50' 2,154,EVEN,: ,Attempts: 103
Approaches from > 275 yards (Rgh),104' 10,112,EVEN,Total Distance (feet): 629.083,# of Attempts: 6
Approaches from 250-275 yards (Rgh),93' 8,140,EVEN,Total Distance (feet): 468.500,# of Attempts: 5
Approaches from 225-250 yards (Rgh),69' 2,74,EVEN,Total Distance (feet): 691.417,# of Attempts: 10
Approaches from 200-225 yards (Rgh),68' 3,107,EVEN,"Total Distance (feet): 1,365.667",# of Attempts: 20
Approaches from > 100 yards (Rgh),49' 6,117,EVEN,"Total Distance (feet): 7,179.667",# of Attempts: 145
Approaches from inside 100 yards (Rgh),25' 9,109,EVEN,Total Distance (feet): 849.750,# of Attempts: 33
Approaches from > 200 yards (Rgh),76' 11,128,EVEN,"Total Distance (feet): 3,154.667",# of Attempts: 41
Approaches from 175-200 yards (Rgh),48' 8,49,EVEN,Total Distance (feet): 925.000,# of Attempts: 19
Approaches from 150-175 yards (Rgh),50' 10,154,EVEN,"Total Distance (feet): 1,524.583",# of Attempts: 30
Approaches from 125-150 yards (Rgh),27' 0,4,EVEN,Total Distance (feet): 756.417,# of Attempts: 28
Approaches from 50-125 yards (Rgh),27' 9,85,EVEN,"Total Distance (feet): 1,637.083",# of Attempts: 59
Approaches from 100-125 yards (Rgh),30' 4,75,EVEN,Total Distance (feet): 819.000,# of Attempts: 27
Approaches from 75-100 yards (Rgh),27' 1,108,EVEN,Total Distance (feet): 676.250,# of Attempts: 25
Approaches from 50-75 yards (Rgh),20' 3,59,EVEN,Total Distance (feet): 141.833,# of Attempts: 7
Going for the Green,64.84%,42,EVEN,Attempts: 118,Non-Attempts: 64
Going for the Green - Hit Green Pct.,23.53%,65,EVEN,Successes: 28,Attempts: 119
Going for the Green - Birdie or Better,62.18%,48,EVEN,# of Birdie or Better: 74,Attempts: 119
Total Hole Outs,12,61,EVEN,: ,: 
Longest Hole Outs (in yards),125,47,EVEN,Tournament: Truist,Round- Course: 1
Scrambling,52.60%,168,EVEN,Par or Better: 162,Missed GIR: 308
