Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.213,-,EVEN,Total SG:T: 0.425,Measured Rounds: 2
SG: Tee-to-Green,1.705,-,EVEN,SG:OTT: 0.182,Measured Rounds: 2
SG: Off-the-Tee,0.182,-,EVEN,Total SG:OTT: 0.363,Measured Rounds: 2
SG: Approach the Green,0.717,-,EVEN,Total SG:APP: 1.434,Measured Rounds: 2
SG: Around-the-Green,0.806,-,EVEN,Total SG:ARG: 1.612,Measured Rounds: 2
SG: Putting,-1.492,-,EVEN,Total SG:Putting: -2.985,Measured Rounds: 2
Longest Drives,343,455,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,303.9,-,EVEN,"Total Distance: 2,431",Total Drives: 8
Driving Distance - All Drives,280.9,-,EVEN,"Total Distance: 7,865",# of Drives: 28
Driving Accuracy Percentage,71.43%,-,EVEN,Fairways Hit: 40,Possible Fairways: 56
Left Rough Tendency,25.00%,-,EVEN,Total Left rough: 7,Possible Fwys: 28
Right Rough Tendency,10.71%,-,EVEN,Total Right rough: 3,Possible Fwys: 28
Distance from Edge of Fairway,14' 0,-,EVEN,Total Distance (Feet): 153.833,Total Strokes: 11
Club Head Speed,109.85,-,EVEN,"Total Club Head Speed: 1,098.51",Total Attempts: 10
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,65.28%,-,EVEN,Greens Hit: 47,# Holes: 72
Proximity to Hole,33' 2,-,EVEN,"Total Distance (feet): 1,193.750",# of Attempts: 36
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,37' 7,-,EVEN,Total Distance (feet): 150.167,# of Attempts: 4
Approaches from 200-225 yards,23' 2,-,EVEN,Total Distance (feet): 46.250,# of Attempts: 2
Approaches from > 200 yards,32' 9,-,EVEN,Total Distance (feet): 196.417,# of Attempts: 6
Approaches from 175-200 yards,46' 3,-,EVEN,Total Distance (feet): 138.750,# of Attempts: 3
Approaches from 150-175 yards,30' 0,-,EVEN,Total Distance (feet): 149.833,# of Attempts: 5
Approaches from 125-150 yards,8' 7,-,EVEN,Total Distance (feet): 8.583,# of Attempts: 1
Approaches from 50-125 yards,19' 4,-,EVEN,Total Distance (feet): 231.500,# of Attempts: 12
Approaches from 100-125 yards,22' 5,-,EVEN,Total Distance (feet): 202.083,# of Attempts: 9
Approaches from 75-100 yards,13' 5,-,EVEN,Total Distance (feet): 26.750,# of Attempts: 2
Approaches from 50-75 yards,2' 8,-,EVEN,Total Distance (feet): 2.667,# of Attempts: 1
Approaches from inside 100 yards,9' 10,-,EVEN,Total Distance (feet): 29.417,# of Attempts: 3
Approaches from > 100 yards,29' 0,-,EVEN,Total Distance (feet): 695.667,# of Attempts: 24
Fairway Proximity,26' 10,-,EVEN,: ,Attempts: 27
Rough Proximity,52' 1,-,EVEN,"Total Distance (inches): 5,624",Attempts: 9
Left Rough Proximity,68' 10,-,EVEN,: ,Attempts: 5
Right Rough Proximity,31' 2,-,EVEN,: ,Attempts: 4
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),138' 2,-,EVEN,Total Distance (feet): 276.333,# of Attempts: 2
Approaches from 225-250 yards (Rgh),-,-,EVEN,,
Approaches from 200-225 yards (Rgh),-,-,EVEN,,
Approaches from > 100 yards (Rgh),62' 8,-,EVEN,Total Distance (feet): 438.667,# of Attempts: 7
Approaches from inside 100 yards (Rgh),15' 0,-,EVEN,Total Distance (feet): 30.000,# of Attempts: 2
Approaches from > 200 yards (Rgh),138' 2,-,EVEN,Total Distance (feet): 276.333,# of Attempts: 2
Approaches from 175-200 yards (Rgh),42' 5,-,EVEN,Total Distance (feet): 42.417,# of Attempts: 1
Approaches from 150-175 yards (Rgh),25' 1,-,EVEN,Total Distance (feet): 50.167,# of Attempts: 2
Approaches from 125-150 yards (Rgh),34' 11,-,EVEN,Total Distance (feet): 69.750,# of Attempts: 2
Approaches from 50-125 yards (Rgh),17' 10,-,EVEN,Total Distance (feet): 17.833,# of Attempts: 1
Approaches from 100-125 yards (Rgh),-,-,EVEN,,
Approaches from 75-100 yards (Rgh),17' 10,-,EVEN,Total Distance (feet): 17.833,# of Attempts: 1
Approaches from 50-75 yards (Rgh),-,-,EVEN,,
Going for the Green,28.57%,-,EVEN,Attempts: 2,Non-Attempts: 5
Going for the Green - Hit Green Pct.,.00%,-,EVEN,Successes: 0,Attempts: 2
Going for the Green - Birdie or Better,50.00%,-,EVEN,# of Birdie or Better: 1,Attempts: 2
Total Hole Outs,2,-,EVEN,: ,: 
Longest Hole Outs (in yards),52,116,EVEN,Tournament: ISCO Championship,Round- Course: 1
Scrambling,48.00%,-,EVEN,Par or Better: 12,Missed GIR: 25
Scrambling from the Rough,44.44%,-,EVEN,Successes: 4,Attempts: 9
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,50.00%,-,EVEN,Successes: 1,Attempts: 2
Scrambling from 20-30 yards,.00%,-,EVEN,Successes: 0,Attempts: 2
Scrambling from 10-20 yards,25.00%,-,EVEN,Successes: 1,Attempts: 4
Scrambling from < 10 yards,50.00%,-,EVEN,Successes: 2,Attempts: 4
Sand Save Percentage,42.86%,-,EVEN,# Saves: 3,# Bunkers: 7
Proximity to Hole from Sand,11' 4,-,EVEN,Total Distance (feet): 34.000,# of Shots: 3
Total Putting,-,-,EVEN,,
