Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.380,-,EVEN,Total SG:T: 10.250,Measured Rounds: 27
SG: Tee-to-Green,-0.236,-,EVEN,SG:OTT: 0.069,Measured Rounds: 27
SG: Off-the-Tee,0.069,-,EVEN,Total SG:OTT: 1.851,Measured Rounds: 27
SG: Approach the Green,-0.346,-,EVEN,Total SG:APP: -9.354,Measured Rounds: 27
SG: Around-the-Green,0.042,-,EVEN,Total SG:ARG: 1.127,Measured Rounds: 27
SG: Putting,0.616,-,EVEN,Total SG:Putting: 16.625,Measured Rounds: 27
Longest Drives,376,155,EVEN,Tournament: Truist,Round: 3
Driving Distance,313.7,-,EVEN,"Total Distance: 22,587",Total Drives: 72
Driving Distance - All Drives,306.2,-,EVEN,"Total Distance: 115,760",# of Drives: 378
Driving Accuracy Percentage,53.77%,-,EVEN,Fairways Hit: 271,Possible Fairways: 504
Left Rough Tendency,19.62%,-,EVEN,Total Left rough: 73,Possible Fwys: 372
Right Rough Tendency,18.82%,-,EVEN,Total Right rough: 70,Possible Fwys: 372
Distance from Edge of Fairway,28' 11,-,EVEN,"Total Distance (Feet): 5,002.250",Total Strokes: 173
Club Head Speed,122.19,-,EVEN,"Total Club Head Speed: 16,373.09",Total Attempts: 134
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,69.91%,-,EVEN,Greens Hit: 453,# Holes: 648
Proximity to Hole,39' 3,-,EVEN,"Total Distance (feet): 18,845.583",# of Attempts: 480
Approaches from > 275 yards,98' 6,-,EVEN,Total Distance (feet): 492.500,# of Attempts: 5
Approaches from 250-275 yards,69' 1,-,EVEN,"Total Distance (feet): 1,174.833",# of Attempts: 17
Approaches from 225-250 yards,49' 3,-,EVEN,Total Distance (feet): 935.917,# of Attempts: 19
Approaches from 200-225 yards,34' 0,-,EVEN,"Total Distance (feet): 1,326.500",# of Attempts: 39
Approaches from > 200 yards,49' 1,-,EVEN,"Total Distance (feet): 3,929.750",# of Attempts: 80
Approaches from 175-200 yards,36' 4,-,EVEN,"Total Distance (feet): 1,927.250",# of Attempts: 53
Approaches from 150-175 yards,27' 11,-,EVEN,"Total Distance (feet): 1,702.167",# of Attempts: 61
Approaches from 125-150 yards,25' 8,-,EVEN,"Total Distance (feet): 1,102.667",# of Attempts: 43
Approaches from 50-125 yards,19' 11,-,EVEN,"Total Distance (feet): 1,555.667",# of Attempts: 78
Approaches from 100-125 yards,22' 7,-,EVEN,Total Distance (feet): 927.583,# of Attempts: 41
Approaches from 75-100 yards,17' 2,-,EVEN,Total Distance (feet): 429.000,# of Attempts: 25
Approaches from 50-75 yards,16' 7,-,EVEN,Total Distance (feet): 199.083,# of Attempts: 12
Approaches from inside 100 yards,17' 3,-,EVEN,Total Distance (feet): 671.500,# of Attempts: 39
Approaches from > 100 yards,34' 6,-,EVEN,"Total Distance (feet): 9,589.417",# of Attempts: 278
Fairway Proximity,32' 4,-,EVEN,: ,Attempts: 317
Rough Proximity,48' 7,-,EVEN,"Total Distance (inches): 71,128",Attempts: 122
Left Rough Proximity,51' 0,-,EVEN,: ,Attempts: 55
Right Rough Proximity,46' 7,-,EVEN,: ,Attempts: 67
Approaches from > 275 yards (Rgh),94' 1,-,EVEN,Total Distance (feet): 564.583,# of Attempts: 6
Approaches from 250-275 yards (Rgh),104' 4,-,EVEN,Total Distance (feet): 521.500,# of Attempts: 5
Approaches from 225-250 yards (Rgh),99' 2,-,EVEN,Total Distance (feet): 297.500,# of Attempts: 3
Approaches from 200-225 yards (Rgh),57' 3,-,EVEN,Total Distance (feet): 515.250,# of Attempts: 9
Approaches from > 100 yards (Rgh),53' 8,-,EVEN,"Total Distance (feet): 5,206.000",# of Attempts: 97
Approaches from inside 100 yards (Rgh),28' 10,-,EVEN,Total Distance (feet): 721.333,# of Attempts: 25
Approaches from > 200 yards (Rgh),82' 7,-,EVEN,"Total Distance (feet): 1,898.833",# of Attempts: 23
Approaches from 175-200 yards (Rgh),58' 7,-,EVEN,Total Distance (feet): 878.917,# of Attempts: 15
