Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.412,57,EVEN,Total SG:T: 29.670,Measured Rounds: 72
SG: Tee-to-Green,0.183,75,EVEN,SG:OTT: 0.248,Measured Rounds: 72
SG: Off-the-Tee,0.248,44,EVEN,Total SG:OTT: 17.872,Measured Rounds: 72
SG: Approach the Green,0.364,31,EVEN,Total SG:APP: 26.180,Measured Rounds: 72
SG: Around-the-Green,-0.429,163,EVEN,Total SG:ARG: -30.897,Measured Rounds: 72
SG: Putting,0.229,40,EVEN,Total SG:Putting: 16.515,Measured Rounds: 72
Longest Drives,387,97,EVEN,Tournament: Genesis Scottish Open,Round: 3
Driving Distance,314.3,16,EVEN,"Total Distance: 45,264",Total Drives: 144
Driving Distance - All Drives,298.1,41,EVEN,"Total Distance: 296,868",# of Drives: 996
Driving Accuracy Percentage,58.13%,101,EVEN,Fairways Hit: 579,Possible Fairways: 996
Left Rough Tendency,12.16%,60,EVEN,Total Left rough: 120,Possible Fwys: 987
Right Rough Tendency,16.72%,121,EVEN,Total Right rough: 165,Possible Fwys: 987
Distance from Edge of Fairway,28' 11,100,EVEN,"Total Distance (Feet): 11,319.167",Total Strokes: 392
Club Head Speed,125.61,2,EVEN,"Total Club Head Speed: 36,051.39",Total Attempts: 287
Total Driving Efficiency,320,163,EVEN,: ,Carry Efficiency Rank: 155
Greens in Regulation Percentage,67.82%,53,EVEN,Greens Hit: 879,"# Holes: 1,296"
Proximity to Hole,35' 8,29,EVEN,"Total Distance (feet): 45,956.583","# of Attempts: 1,288"
Approaches from > 275 yards,73' 9,36,EVEN,"Total Distance (feet): 1,254.333",# of Attempts: 17
Approaches from 250-275 yards,60' 6,70,EVEN,"Total Distance (feet): 1,634.583",# of Attempts: 27
Approaches from 225-250 yards,46' 6,31,EVEN,"Total Distance (feet): 2,371.167",# of Attempts: 51
Approaches from 200-225 yards,36' 5,7,EVEN,"Total Distance (feet): 3,968.417",# of Attempts: 109
Approaches from > 200 yards,45' 3,8,EVEN,"Total Distance (feet): 9,228.500",# of Attempts: 204
Approaches from 175-200 yards,33' 1,76,EVEN,"Total Distance (feet): 5,456.667",# of Attempts: 165
Approaches from 150-175 yards,27' 3,48,EVEN,"Total Distance (feet): 5,279.250",# of Attempts: 194
Approaches from 125-150 yards,23' 7,90,EVEN,"Total Distance (feet): 3,159.500",# of Attempts: 134
