Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.583,-,EVEN,Total SG:T: -11.664,Measured Rounds: 20
SG: Tee-to-Green,-1.233,-,EVEN,SG:OTT: -0.412,Measured Rounds: 20
SG: Off-the-Tee,-0.412,-,EVEN,Total SG:OTT: -8.242,Measured Rounds: 20
SG: Approach the Green,-0.567,-,EVEN,Total SG:APP: -11.348,Measured Rounds: 20
SG: Around-the-Green,-0.253,-,EVEN,Total SG:ARG: -5.064,Measured Rounds: 20
SG: Putting,0.650,-,EVEN,Total SG:Putting: 12.990,Measured Rounds: 20
Longest Drives,386,102,EVEN,Tournament: ISCO Championship,Round: 1
Driving Distance,335.2,-,EVEN,"Total Distance: 13,409",Total Drives: 40
Driving Distance - All Drives,303.4,-,EVEN,"Total Distance: 84,960",# of Drives: 280
Driving Accuracy Percentage,48.93%,-,EVEN,Fairways Hit: 137,Possible Fairways: 280
Left Rough Tendency,19.41%,-,EVEN,Total Left rough: 53,Possible Fwys: 273
Right Rough Tendency,21.98%,-,EVEN,Total Right rough: 60,Possible Fwys: 273
Distance from Edge of Fairway,35' 3,-,EVEN,"Total Distance (Feet): 4,861.917",Total Strokes: 138
Club Head Speed,124.85,-,EVEN,"Total Club Head Speed: 9,737.93",Total Attempts: 78
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,63.33%,-,EVEN,Greens Hit: 228,# Holes: 360
Proximity to Hole,38' 11,-,EVEN,"Total Distance (feet): 13,946.083",# of Attempts: 358
Approaches from > 275 yards,72' 3,-,EVEN,Total Distance (feet): 361.167,# of Attempts: 5
Approaches from 250-275 yards,35' 6,-,EVEN,Total Distance (feet): 35.500,# of Attempts: 1
Approaches from 225-250 yards,55' 1,-,EVEN,"Total Distance (feet): 1,101.417",# of Attempts: 20
Approaches from 200-225 yards,44' 3,-,EVEN,"Total Distance (feet): 1,283.083",# of Attempts: 29
Approaches from > 200 yards,50' 7,-,EVEN,"Total Distance (feet): 2,781.167",# of Attempts: 55
Approaches from 175-200 yards,33' 8,-,EVEN,"Total Distance (feet): 1,245.750",# of Attempts: 37
Approaches from 150-175 yards,39' 7,-,EVEN,"Total Distance (feet): 1,703.167",# of Attempts: 43
Approaches from 125-150 yards,26' 3,-,EVEN,"Total Distance (feet): 1,127.083",# of Attempts: 43
Approaches from 50-125 yards,19' 1,-,EVEN,"Total Distance (feet): 1,219.917",# of Attempts: 64
Approaches from 100-125 yards,23' 6,-,EVEN,Total Distance (feet): 822.500,# of Attempts: 35
Approaches from 75-100 yards,12' 7,-,EVEN,Total Distance (feet): 264.167,# of Attempts: 21
Approaches from 50-75 yards,16' 8,-,EVEN,Total Distance (feet): 133.250,# of Attempts: 8
Approaches from inside 100 yards,13' 8,-,EVEN,Total Distance (feet): 397.417,# of Attempts: 29
Approaches from > 100 yards,36' 1,-,EVEN,"Total Distance (feet): 7,679.667",# of Attempts: 213
Fairway Proximity,33' 5,-,EVEN,: ,Attempts: 242
Rough Proximity,45' 9,-,EVEN,"Total Distance (inches): 51,014",Attempts: 93
Left Rough Proximity,47' 8,-,EVEN,: ,Attempts: 42
Right Rough Proximity,44' 2,-,EVEN,: ,Attempts: 51
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),88' 6,-,EVEN,Total Distance (feet): 88.500,# of Attempts: 1
Approaches from 225-250 yards (Rgh),85' 1,-,EVEN,Total Distance (feet): 425.250,# of Attempts: 5
Approaches from 200-225 yards (Rgh),72' 8,-,EVEN,Total Distance (feet): 581.250,# of Attempts: 8
Approaches from > 100 yards (Rgh),50' 11,-,EVEN,"Total Distance (feet): 3,668.167",# of Attempts: 72
Approaches from inside 100 yards (Rgh),27' 9,-,EVEN,Total Distance (feet): 583.000,# of Attempts: 21
Approaches from > 200 yards (Rgh),78' 3,-,EVEN,"Total Distance (feet): 1,095.000",# of Attempts: 14
Approaches from 175-200 yards (Rgh),64' 8,-,EVEN,Total Distance (feet): 517.333,# of Attempts: 8
Approaches from 150-175 yards (Rgh),55' 11,-,EVEN,Total Distance (feet): 894.833,# of Attempts: 16
Approaches from 125-150 yards (Rgh),31' 11,-,EVEN,Total Distance (feet): 446.667,# of Attempts: 14
Approaches from 50-125 yards (Rgh),32' 1,-,EVEN,"Total Distance (feet): 1,283.167",# of Attempts: 40
Approaches from 100-125 yards (Rgh),35' 9,-,EVEN,Total Distance (feet): 714.333,# of Attempts: 20
Approaches from 75-100 yards (Rgh),27' 9,-,EVEN,Total Distance (feet): 332.667,# of Attempts: 12
Approaches from 50-75 yards (Rgh),29' 6,-,EVEN,Total Distance (feet): 236.167,# of Attempts: 8
Going for the Green,56.94%,-,EVEN,Attempts: 41,Non-Attempts: 31
Going for the Green - Hit Green Pct.,19.05%,-,EVEN,Successes: 8,Attempts: 42
Going for the Green - Birdie or Better,61.90%,-,EVEN,# of Birdie or Better: 26,Attempts: 42
Total Hole Outs,3,-,EVEN,: ,: 
Longest Hole Outs (in yards),7,334,EVEN,Tournament: 3M Open,Round- Course: 2
Scrambling,52.27%,-,EVEN,Par or Better: 69,Missed GIR: 132
Scrambling from the Rough,45.83%,-,EVEN,Successes: 22,Attempts: 48
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,28.13%,-,EVEN,Successes: 9,Attempts: 32
Scrambling from 20-30 yards,53.13%,-,EVEN,Successes: 17,Attempts: 32
Scrambling from 10-20 yards,50.98%,-,EVEN,Successes: 26,Attempts: 51
Scrambling from < 10 yards,100.00%,-,EVEN,Successes: 17,Attempts: 17
Sand Save Percentage,59.38%,-,EVEN,# Saves: 19,# Bunkers: 32
Proximity to Hole from Sand,9' 11,-,EVEN,Total Distance (feet): 268.333,# of Shots: 27
Total Putting,-,-,EVEN,,
Putting Average,1.715,-,EVEN,GIR Putts: 391,Greens Hit: 228
Overall Putting Average,1.589,-,EVEN,# of Putts: 572,# of Holes: 360
Birdie or Better Conversion Percentage,35.53%,-,EVEN,# Birdies: 81,Greens Hit: 228
Putts Per Round,28.60,-,EVEN,Total Putts: 572,Total Rounds: 20
Putts per Round - Round 1,30.00,-,EVEN,Total Putts: 210,Total Rounds: 7
Putts per Round - Round 2,27.43,-,EVEN,Total Putts: 192,Total Rounds: 7
Putts per Round - Round 3,30.33,-,EVEN,Total Putts: 91,Total Rounds: 3
Putts per Round - Round 4,26.33,-,EVEN,Total Putts: 79,Total Rounds: 3
One-Putt Percentage,42.22%,-,EVEN,# of 1 putts: 152,# of holes: 360
Longest Putts,43' 11,202,EVEN,Year/Tourn#: RBC Canadian,Round: 2
3-Putt Avoidance,2.78%,-,EVEN,Total 3 Putts: 10,Total Holes (overall): 360
Putting from - > 25',6.25%,-,EVEN,Attempts: 96,Putts made: 6
Putting from - 20-25',8.33%,-,EVEN,Attempts: 24,Putts made: 2
Putting from - 15-20',30.77%,-,EVEN,Attempts: 39,Putts made: 12
Putting from - 10-15',37.04%,-,EVEN,Attempts: 54,Putts made: 20
Putting - Inside 10',88.30%,-,EVEN,Attempts: 359,Putts made: 317
Putting from 10',58.33%,-,EVEN,Attempts: 12,: 
Putting from 9',41.18%,-,EVEN,Attempts: 17,: 
Putting from 8',50.00%,-,EVEN,Attempts: 18,: 
Putting from 7',81.25%,-,EVEN,Attempts: 16,: 
Putting from 6',68.42%,-,EVEN,Attempts: 19,: 
Putting from 5',80.00%,-,EVEN,Attempts: 30,: 
Putting from 4-8',71.08%,-,EVEN,Attempts: 83,Putts made: 59
Putting from 4',90.63%,-,EVEN,Attempts: 32,: 
Putting from 3',100.00%,-,EVEN,Attempts: 215,: 
Average Distance of Putts made,77' 10,-,EVEN,"Total Dist. (inches): 18,671",Total Rounds: 20
Approach Putt Performance,2' 1,-,EVEN,: ,Attempts: 205
Scoring Average (Adjusted),71.483,-,EVEN,"Total Strokes: 1,410",Total Adjustment: 19.656
Scoring Average (Actual),70.50,-,EVEN,"Total Strokes: 1,410",Total Rounds: 20
Lowest Round,66,207,EVEN,Tourn/Course: ISCO Championsh,Round: 4
Birdie Average,4.05,-,EVEN,# of Birdies: 81,Total Rounds: 20
Total Birdies,81,-,EVEN,: ,: 
Eagles (Holes per),360.0,-,EVEN,# of Holes: 360,# of Eagles: 1
Total Eagles,1,-,EVEN,: ,: 
Par Breakers,22.78%,-,EVEN,# Birdies/Eagles: 82,# Holes: 360
Bounce Back,28.57%,-,EVEN,: ,: 
Par 3 Birdie or Better Leaders,10.00%,-,EVEN,Par 3 Birdies or Better: 8,Par 3 Holes: 80
Par 4 Birdie or Better Leaders,20.27%,-,EVEN,Par 4 Birdies or Better: 45,Par 4 Holes: 222
Par 5 Birdie or Better Leaders,50.00%,-,EVEN,Par 5 Birdies or Better: 29,Par 5 Holes: 58
Birdie or Better Percentage,22.78%,-,EVEN,Total Birdies: 82,Total Holes: 360
Bogey Avoidance,20.00%,-,EVEN,Bogeys: 72,Holes Played: 360
Final Round Scoring Average,68.33,-,EVEN,Total Strokes: 205,Total Rounds: 3
Final Round Performance,100.00%,-,EVEN,: ,: 
Round 1 Scoring Average,71.14,-,EVEN,Total Strokes: 498,Total Rounds: 7
Round 2 Scoring Average,69.43,-,EVEN,Total Strokes: 486,Total Rounds: 7
Round 3 Scoring Average,73.67,-,EVEN,Total Strokes: 221,Total Rounds: 3
Round 4 Scoring Average,68.33,-,EVEN,Total Strokes: 205,Total Rounds: 3
Par 3 Scoring Average,3.13,-,EVEN,Total Strokes: 250,Total Holes: 80
Par 4 Scoring Average,4.03,-,EVEN,Total Strokes: 894,Total Holes: 222
Par 5 Scoring Average,4.59,-,EVEN,Total Strokes: 266,Total Holes: 58
Front 9 Scoring Average,35.20,-,EVEN,Total Strokes: 704,Total Holes: 20
