Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.123,116,EVEN,Total SG:T: -6.169,Measured Rounds: 50
SG: Tee-to-Green,0.372,51,EVEN,SG:OTT: 0.015,Measured Rounds: 50
SG: Off-the-Tee,0.015,96,EVEN,Total SG:OTT: 0.765,Measured Rounds: 50
SG: Approach the Green,0.309,41,EVEN,Total SG:APP: 15.474,Measured Rounds: 50
SG: Around-the-Green,0.047,69,EVEN,Total SG:ARG: 2.372,Measured Rounds: 50
SG: Putting,-0.496,158,EVEN,Total SG:Putting: -24.779,Measured Rounds: 50
Longest Drives,360,308,EVEN,Tournament: Wyndham,Round: 2
Driving Distance,295.3,148,EVEN,"Total Distance: 33,665",Total Drives: 114
Driving Distance - All Drives,287.9,144,EVEN,"Total Distance: 199,247",# of Drives: 692
Driving Accuracy Percentage,63.54%,34,EVEN,Fairways Hit: 502,Possible Fairways: 790
Left Rough Tendency,14.35%,101,EVEN,Total Left rough: 99,Possible Fwys: 690
Right Rough Tendency,14.35%,61,EVEN,Total Right rough: 99,Possible Fwys: 690
Distance from Edge of Fairway,25' 3,48,EVEN,"Total Distance (Feet): 6,422.000",Total Strokes: 254
Club Head Speed,110.21,158,EVEN,"Total Club Head Speed: 26,892.09",Total Attempts: 244
Total Driving Efficiency,10,2,EVEN,: ,Carry Efficiency Rank: 7
Greens in Regulation Percentage,67.74%,54,EVEN,Greens Hit: 695,"# Holes: 1,026"
Proximity to Hole,35' 5,22,EVEN,"Total Distance (feet): 31,831.417",# of Attempts: 898
Approaches from > 275 yards,93' 8,150,EVEN,"Total Distance (feet): 1,592.333",# of Attempts: 17
Approaches from 250-275 yards,56' 5,35,EVEN,"Total Distance (feet): 1,524.083",# of Attempts: 27
Approaches from 225-250 yards,49' 0,61,EVEN,"Total Distance (feet): 2,155.333",# of Attempts: 44
Approaches from 200-225 yards,38' 7,38,EVEN,"Total Distance (feet): 2,815.333",# of Attempts: 73
Approaches from > 200 yards,50' 3,81,EVEN,"Total Distance (feet): 8,087.083",# of Attempts: 161
Approaches from 175-200 yards,32' 9,65,EVEN,"Total Distance (feet): 4,812.500",# of Attempts: 147
Approaches from 150-175 yards,28' 4,97,EVEN,"Total Distance (feet): 3,879.833",# of Attempts: 137
Approaches from 125-150 yards,19' 5,2,EVEN,"Total Distance (feet): 1,827.583",# of Attempts: 94
Approaches from 50-125 yards,16' 3,7,EVEN,"Total Distance (feet): 2,108.000",# of Attempts: 130
Approaches from 100-125 yards,16' 7,7,EVEN,"Total Distance (feet): 1,408.583",# of Attempts: 85
Approaches from 75-100 yards,15' 5,34,EVEN,Total Distance (feet): 555.750,# of Attempts: 36
