Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-2.103,-,EVEN,Total SG:T: -29.436,Measured Rounds: 14
SG: Tee-to-Green,-1.993,-,EVEN,SG:OTT: -0.671,Measured Rounds: 14
SG: Off-the-Tee,-0.671,-,EVEN,Total SG:OTT: -9.389,Measured Rounds: 14
SG: Approach the Green,-1.078,-,EVEN,Total SG:APP: -15.096,Measured Rounds: 14
SG: Around-the-Green,-0.244,-,EVEN,Total SG:ARG: -3.415,Measured Rounds: 14
SG: Putting,-0.110,-,EVEN,Total SG:Putting: -1.537,Measured Rounds: 14
Longest Drives,331,515,EVEN,Tournament: John Deere,Round: 1
Driving Distance,296.9,-,EVEN,"Total Distance: 8,312",Total Drives: 28
Driving Distance - All Drives,290.6,-,EVEN,"Total Distance: 56,952",# of Drives: 196
Driving Accuracy Percentage,59.69%,-,EVEN,Fairways Hit: 117,Possible Fairways: 196
Left Rough Tendency,18.04%,-,EVEN,Total Left rough: 35,Possible Fwys: 194
Right Rough Tendency,15.98%,-,EVEN,Total Right rough: 31,Possible Fwys: 194
Distance from Edge of Fairway,35' 4,-,EVEN,"Total Distance (Feet): 2,650.667",Total Strokes: 75
Club Head Speed,110.65,-,EVEN,"Total Club Head Speed: 7,302.62",Total Attempts: 66
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,65.87%,-,EVEN,Greens Hit: 166,# Holes: 252
Proximity to Hole,37' 9,-,EVEN,"Total Distance (feet): 9,249.583",# of Attempts: 245
Approaches from > 275 yards,66' 2,-,EVEN,Total Distance (feet): 330.917,# of Attempts: 5
Approaches from 250-275 yards,75' 5,-,EVEN,Total Distance (feet): 754.417,# of Attempts: 10
Approaches from 225-250 yards,58' 3,-,EVEN,Total Distance (feet): 757.167,# of Attempts: 13
Approaches from 200-225 yards,34' 7,-,EVEN,Total Distance (feet): 967.583,# of Attempts: 28
Approaches from > 200 yards,50' 2,-,EVEN,"Total Distance (feet): 2,810.083",# of Attempts: 56
Approaches from 175-200 yards,30' 2,-,EVEN,Total Distance (feet): 753.833,# of Attempts: 25
Approaches from 150-175 yards,24' 6,-,EVEN,Total Distance (feet): 613.250,# of Attempts: 25
Approaches from 125-150 yards,19' 10,-,EVEN,Total Distance (feet): 595.417,# of Attempts: 30
Approaches from 50-125 yards,22' 10,-,EVEN,Total Distance (feet): 888.917,# of Attempts: 39
Approaches from 100-125 yards,26' 3,-,EVEN,Total Distance (feet): 499.000,# of Attempts: 19
Approaches from 75-100 yards,21' 4,-,EVEN,Total Distance (feet): 341.417,# of Attempts: 16
Approaches from 50-75 yards,12' 2,-,EVEN,Total Distance (feet): 48.500,# of Attempts: 4
Approaches from inside 100 yards,19' 6,-,EVEN,Total Distance (feet): 389.917,# of Attempts: 20
Approaches from > 100 yards,34' 0,-,EVEN,"Total Distance (feet): 5,271.583",# of Attempts: 155
Fairway Proximity,32' 4,-,EVEN,: ,Attempts: 175
Rough Proximity,46' 8,-,EVEN,"Total Distance (inches): 31,908",Attempts: 57
Left Rough Proximity,53' 6,-,EVEN,: ,Attempts: 29
Right Rough Proximity,39' 7,-,EVEN,: ,Attempts: 28
Approaches from > 275 yards (Rgh),91' 4,-,EVEN,Total Distance (feet): 182.667,# of Attempts: 2
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),108' 10,-,EVEN,Total Distance (feet): 108.833,# of Attempts: 1
Approaches from 200-225 yards (Rgh),62' 11,-,EVEN,Total Distance (feet): 440.417,# of Attempts: 7
Approaches from > 100 yards (Rgh),51' 7,-,EVEN,"Total Distance (feet): 2,370.917",# of Attempts: 46
Approaches from inside 100 yards (Rgh),26' 2,-,EVEN,Total Distance (feet): 288.083,# of Attempts: 11
Approaches from > 200 yards (Rgh),73' 2,-,EVEN,Total Distance (feet): 731.917,# of Attempts: 10
Approaches from 175-200 yards (Rgh),39' 8,-,EVEN,Total Distance (feet): 238.083,# of Attempts: 6
Approaches from 150-175 yards (Rgh),50' 8,-,EVEN,Total Distance (feet): 557.667,# of Attempts: 11
Approaches from 125-150 yards (Rgh),43' 11,-,EVEN,Total Distance (feet): 438.750,# of Attempts: 10
Approaches from 50-125 yards (Rgh),34' 8,-,EVEN,Total Distance (feet): 692.583,# of Attempts: 20
Approaches from 100-125 yards (Rgh),44' 11,-,EVEN,Total Distance (feet): 404.500,# of Attempts: 9
Approaches from 75-100 yards (Rgh),23' 8,-,EVEN,Total Distance (feet): 118.333,# of Attempts: 5
Approaches from 50-75 yards (Rgh),28' 4,-,EVEN,Total Distance (feet): 169.750,# of Attempts: 6
Going for the Green,59.26%,-,EVEN,Attempts: 32,Non-Attempts: 22
Going for the Green - Hit Green Pct.,15.63%,-,EVEN,Successes: 5,Attempts: 32
Going for the Green - Birdie or Better,56.25%,-,EVEN,# of Birdie or Better: 18,Attempts: 32
Total Hole Outs,2,-,EVEN,: ,: 
Longest Hole Outs (in yards),22,197,EVEN,Tournament: RBC Canadian,Round- Course: 2
Scrambling,47.67%,-,EVEN,Par or Better: 41,Missed GIR: 86
Scrambling from the Rough,42.86%,-,EVEN,Successes: 15,Attempts: 35
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,36.36%,-,EVEN,Successes: 8,Attempts: 22
Scrambling from 20-30 yards,35.00%,-,EVEN,Successes: 7,Attempts: 20
Scrambling from 10-20 yards,57.69%,-,EVEN,Successes: 15,Attempts: 26
Scrambling from < 10 yards,78.57%,-,EVEN,Successes: 11,Attempts: 14
Sand Save Percentage,53.85%,-,EVEN,# Saves: 7,# Bunkers: 13
Proximity to Hole from Sand,8' 3,-,EVEN,Total Distance (feet): 107.417,# of Shots: 13
Total Putting,-,-,EVEN,,
Putting Average,1.765,-,EVEN,GIR Putts: 293,Greens Hit: 166
Overall Putting Average,1.643,-,EVEN,# of Putts: 414,# of Holes: 252
Birdie or Better Conversion Percentage,28.92%,-,EVEN,# Birdies: 48,Greens Hit: 166
Putts Per Round,29.57,-,EVEN,Total Putts: 414,Total Rounds: 14
Putts per Round - Round 1,29.67,-,EVEN,Total Putts: 178,Total Rounds: 6
Putts per Round - Round 2,29.50,-,EVEN,Total Putts: 177,Total Rounds: 6
Putts per Round - Round 3,30.00,-,EVEN,Total Putts: 30,Total Rounds: 1
Putts per Round - Round 4,29.00,-,EVEN,Total Putts: 29,Total Rounds: 1
One-Putt Percentage,37.30%,-,EVEN,# of 1 putts: 94,# of holes: 252
Longest Putts,50' 1,135,EVEN,Year/Tourn#: Rocket Classic,Round: 2
3-Putt Avoidance,3.17%,-,EVEN,Total 3 Putts: 8,Total Holes (overall): 252
Putting from - > 25',5.45%,-,EVEN,Attempts: 55,Putts made: 3
Putting from - 20-25',12.00%,-,EVEN,Attempts: 25,Putts made: 3
Putting from - 15-20',21.62%,-,EVEN,Attempts: 37,Putts made: 8
Putting from - 10-15',29.55%,-,EVEN,Attempts: 44,Putts made: 13
Putting - Inside 10',88.14%,-,EVEN,Attempts: 253,Putts made: 223
Putting from 10',23.08%,-,EVEN,Attempts: 13,: 
Putting from 9',50.00%,-,EVEN,Attempts: 6,: 
Putting from 8',55.56%,-,EVEN,Attempts: 9,: 
Putting from 7',44.44%,-,EVEN,Attempts: 9,: 
