Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.280,134,EVEN,Total SG:T: -15.947,Measured Rounds: 57
SG: Tee-to-Green,-0.282,134,EVEN,SG:OTT: 0.210,Measured Rounds: 57
SG: Off-the-Tee,0.210,54,EVEN,Total SG:OTT: 11.978,Measured Rounds: 57
SG: Approach the Green,-0.096,115,EVEN,Total SG:APP: -5.485,Measured Rounds: 57
SG: Around-the-Green,-0.396,161,EVEN,Total SG:ARG: -22.592,Measured Rounds: 57
SG: Putting,0.003,91,EVEN,Total SG:Putting: 0.153,Measured Rounds: 57
Longest Drives,376,155,EVEN,Tournament: Mexico Open,Round: 2
Driving Distance,309.5,36,EVEN,"Total Distance: 40,860",Total Drives: 132
Driving Distance - All Drives,298.8,35,EVEN,"Total Distance: 236,052",# of Drives: 790
Driving Accuracy Percentage,57.31%,109,EVEN,Fairways Hit: 525,Possible Fairways: 916
Left Rough Tendency,14.43%,105,EVEN,Total Left rough: 112,Possible Fwys: 776
Right Rough Tendency,18.43%,151,EVEN,Total Right rough: 143,Possible Fwys: 776
Distance from Edge of Fairway,30' 5,119,EVEN,"Total Distance (Feet): 9,710.917",Total Strokes: 319
Club Head Speed,118.84,49,EVEN,"Total Club Head Speed: 32,682.33",Total Attempts: 275
Total Driving Efficiency,163,78,EVEN,: ,Carry Efficiency Rank: 83
Greens in Regulation Percentage,65.66%,101,EVEN,Greens Hit: 780,"# Holes: 1,188"
Proximity to Hole,36' 11,74,EVEN,"Total Distance (feet): 37,121.917","# of Attempts: 1,005"
Approaches from > 275 yards,57' 9,2,EVEN,Total Distance (feet): 808.500,# of Attempts: 14
Approaches from 250-275 yards,57' 6,46,EVEN,"Total Distance (feet): 1,724.500",# of Attempts: 30
Approaches from 225-250 yards,46' 1,25,EVEN,"Total Distance (feet): 2,397.583",# of Attempts: 52
Approaches from 200-225 yards,40' 8,74,EVEN,"Total Distance (feet): 3,662.833",# of Attempts: 90
Approaches from > 200 yards,46' 2,13,EVEN,"Total Distance (feet): 8,593.417",# of Attempts: 186
Approaches from 175-200 yards,36' 4,145,EVEN,"Total Distance (feet): 4,506.167",# of Attempts: 124
Approaches from 150-175 yards,29' 6,131,EVEN,"Total Distance (feet): 3,889.667",# of Attempts: 132
Approaches from 125-150 yards,24' 2,115,EVEN,"Total Distance (feet): 2,684.417",# of Attempts: 111
Approaches from 50-125 yards,17' 11,57,EVEN,"Total Distance (feet): 2,527.667",# of Attempts: 141
Approaches from 100-125 yards,19' 0,68,EVEN,"Total Distance (feet): 1,541.500",# of Attempts: 81
Approaches from 75-100 yards,16' 6,56,EVEN,Total Distance (feet): 661.583,# of Attempts: 40
Approaches from 50-75 yards,16' 3,98,EVEN,Total Distance (feet): 324.583,# of Attempts: 20
Approaches from inside 100 yards,16' 7,74,EVEN,"Total Distance (feet): 1,029.583",# of Attempts: 62
Approaches from > 100 yards,33' 6,73,EVEN,"Total Distance (feet): 21,215.167",# of Attempts: 634
Fairway Proximity,32' 0,77,EVEN,: ,Attempts: 696
Rough Proximity,44' 0,54,EVEN,"Total Distance (inches): 125,053",Attempts: 237
Left Rough Proximity,44' 5,75,EVEN,: ,Attempts: 109
Right Rough Proximity,43' 7,48,EVEN,: ,Attempts: 128
Approaches from > 275 yards (Rgh),84' 10,53,EVEN,Total Distance (feet): 509.083,# of Attempts: 6
Approaches from 250-275 yards (Rgh),49' 0,7,EVEN,Total Distance (feet): 539.250,# of Attempts: 11
Approaches from 225-250 yards (Rgh),73' 6,94,EVEN,Total Distance (feet): 514.583,# of Attempts: 7
Approaches from 200-225 yards (Rgh),52' 8,10,EVEN,Total Distance (feet): 789.750,# of Attempts: 15
Approaches from > 100 yards (Rgh),47' 2,52,EVEN,"Total Distance (feet): 9,533.417",# of Attempts: 202
