Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.280,-,EVEN,Total SG:T: -38.409,Measured Rounds: 30
SG: Tee-to-Green,-0.820,-,EVEN,SG:OTT: 0.077,Measured Rounds: 30
SG: Off-the-Tee,0.077,-,EVEN,Total SG:OTT: 2.299,Measured Rounds: 30
SG: Approach the Green,-0.423,-,EVEN,Total SG:APP: -12.685,Measured Rounds: 30
SG: Around-the-Green,-0.473,-,EVEN,Total SG:ARG: -14.205,Measured Rounds: 30
SG: Putting,-0.461,-,EVEN,Total SG:Putting: -13.819,Measured Rounds: 30
Longest Drives,356,350,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,304.5,-,EVEN,"Total Distance: 24,357",Total Drives: 80
Driving Distance - All Drives,293.8,-,EVEN,"Total Distance: 121,620",# of Drives: 414
Driving Accuracy Percentage,61.91%,-,EVEN,Fairways Hit: 343,Possible Fairways: 554
Left Rough Tendency,16.95%,-,EVEN,Total Left rough: 70,Possible Fwys: 413
Right Rough Tendency,15.74%,-,EVEN,Total Right rough: 65,Possible Fwys: 413
Distance from Edge of Fairway,24' 0,-,EVEN,"Total Distance (Feet): 3,942.500",Total Strokes: 164
Club Head Speed,115.68,-,EVEN,"Total Club Head Speed: 16,079.33",Total Attempts: 139
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,65.00%,-,EVEN,Greens Hit: 468,# Holes: 720
Proximity to Hole,36' 8,-,EVEN,"Total Distance (feet): 19,621.917",# of Attempts: 535
Approaches from > 275 yards,79' 4,-,EVEN,"Total Distance (feet): 1,031.000",# of Attempts: 13
Approaches from 250-275 yards,51' 10,-,EVEN,Total Distance (feet): 829.667,# of Attempts: 16
Approaches from 225-250 yards,55' 2,-,EVEN,"Total Distance (feet): 1,379.500",# of Attempts: 25
Approaches from 200-225 yards,44' 4,-,EVEN,"Total Distance (feet): 2,082.417",# of Attempts: 47
Approaches from > 200 yards,52' 8,-,EVEN,"Total Distance (feet): 5,322.583",# of Attempts: 101
Approaches from 175-200 yards,30' 6,-,EVEN,"Total Distance (feet): 2,197.417",# of Attempts: 72
Approaches from 150-175 yards,28' 4,-,EVEN,"Total Distance (feet): 2,042.000",# of Attempts: 72
Approaches from 125-150 yards,25' 0,-,EVEN,"Total Distance (feet): 1,674.417",# of Attempts: 67
Approaches from 50-125 yards,22' 6,-,EVEN,"Total Distance (feet): 1,686.500",# of Attempts: 75
Approaches from 100-125 yards,24' 7,-,EVEN,"Total Distance (feet): 1,056.917",# of Attempts: 43
Approaches from 75-100 yards,20' 7,-,EVEN,Total Distance (feet): 431.500,# of Attempts: 21
Approaches from 50-75 yards,18' 0,-,EVEN,Total Distance (feet): 198.083,# of Attempts: 11
Approaches from inside 100 yards,19' 2,-,EVEN,Total Distance (feet): 633.833,# of Attempts: 33
Approaches from > 100 yards,34' 8,-,EVEN,"Total Distance (feet): 12,293.333",# of Attempts: 355
Fairway Proximity,33' 4,-,EVEN,: ,Attempts: 388
Rough Proximity,43' 1,-,EVEN,"Total Distance (inches): 62,047",Attempts: 120
Left Rough Proximity,40' 7,-,EVEN,: ,Attempts: 56
Right Rough Proximity,45' 3,-,EVEN,: ,Attempts: 64
Approaches from > 275 yards (Rgh),77' 2,-,EVEN,Total Distance (feet): 231.500,# of Attempts: 3
Approaches from 250-275 yards (Rgh),77' 11,-,EVEN,Total Distance (feet): 233.833,# of Attempts: 3
Approaches from 225-250 yards (Rgh),62' 7,-,EVEN,Total Distance (feet): 125.167,# of Attempts: 2
Approaches from 200-225 yards (Rgh),67' 5,-,EVEN,Total Distance (feet): 404.500,# of Attempts: 6
Approaches from > 100 yards (Rgh),45' 0,-,EVEN,"Total Distance (feet): 4,815.083",# of Attempts: 107
Approaches from inside 100 yards (Rgh),27' 4,-,EVEN,Total Distance (feet): 355.500,# of Attempts: 13
Approaches from > 200 yards (Rgh),71' 1,-,EVEN,Total Distance (feet): 995.000,# of Attempts: 14
Approaches from 175-200 yards (Rgh),60' 10,-,EVEN,Total Distance (feet): 790.917,# of Attempts: 13
Approaches from 150-175 yards (Rgh),43' 7,-,EVEN,"Total Distance (feet): 1,219.250",# of Attempts: 28
Approaches from 125-150 yards (Rgh),33' 3,-,EVEN,Total Distance (feet): 996.583,# of Attempts: 30
Approaches from 50-125 yards (Rgh),34' 3,-,EVEN,"Total Distance (feet): 1,163.250",# of Attempts: 34
Approaches from 100-125 yards (Rgh),37' 0,-,EVEN,Total Distance (feet): 813.333,# of Attempts: 22
Approaches from 75-100 yards (Rgh),30' 7,-,EVEN,Total Distance (feet): 213.833,# of Attempts: 7
Approaches from 50-75 yards (Rgh),27' 3,-,EVEN,Total Distance (feet): 136.083,# of Attempts: 5
Going for the Green,54.05%,-,EVEN,Attempts: 60,Non-Attempts: 51
Going for the Green - Hit Green Pct.,28.33%,-,EVEN,Successes: 17,Attempts: 60
Going for the Green - Birdie or Better,56.67%,-,EVEN,# of Birdie or Better: 34,Attempts: 60
Total Hole Outs,7,-,EVEN,: ,: 
