Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.103,112,EVEN,Total SG:T: -3.602,Measured Rounds: 35
SG: Tee-to-Green,-0.321,135,EVEN,SG:OTT: 0.098,Measured Rounds: 35
SG: Off-the-Tee,0.098,82,EVEN,Total SG:OTT: 3.442,Measured Rounds: 35
SG: Approach the Green,-0.204,133,EVEN,Total SG:APP: -7.151,Measured Rounds: 35
SG: Around-the-Green,-0.215,142,EVEN,Total SG:ARG: -7.527,Measured Rounds: 35
SG: Putting,0.218,41,EVEN,Total SG:Putting: 7.636,Measured Rounds: 35
Longest Drives,390,80,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,308.8,27,EVEN,"Total Distance: 27,174",Total Drives: 88
Driving Distance - All Drives,301.9,21,EVEN,"Total Distance: 145,508",# of Drives: 482
Driving Accuracy Percentage,57.89%,108,EVEN,Fairways Hit: 352,Possible Fairways: 608
Left Rough Tendency,10.59%,18,EVEN,Total Left rough: 50,Possible Fwys: 472
Right Rough Tendency,19.70%,158,EVEN,Total Right rough: 93,Possible Fwys: 472
Distance from Edge of Fairway,34' 8,154,EVEN,"Total Distance (Feet): 6,896.250",Total Strokes: 199
Club Head Speed,121.90,16,EVEN,"Total Club Head Speed: 19,260.70",Total Attempts: 158
Total Driving Efficiency,294,149,EVEN,: ,Carry Efficiency Rank: 129
Greens in Regulation Percentage,65.15%,104,EVEN,Greens Hit: 516,# Holes: 792
Proximity to Hole,38' 11,137,EVEN,"Total Distance (feet): 24,336.917",# of Attempts: 626
Approaches from > 275 yards,68' 4,16,EVEN,"Total Distance (feet): 1,025.167",# of Attempts: 15
Approaches from 250-275 yards,61' 2,72,EVEN,Total Distance (feet): 856.583,# of Attempts: 14
Approaches from 225-250 yards,51' 9,115,EVEN,"Total Distance (feet): 2,122.250",# of Attempts: 41
Approaches from 200-225 yards,41' 3,79,EVEN,"Total Distance (feet): 1,816.667",# of Attempts: 44
Approaches from > 200 yards,51' 1,79,EVEN,"Total Distance (feet): 5,820.667",# of Attempts: 114
Approaches from 175-200 yards,37' 0,151,EVEN,"Total Distance (feet): 3,142.417",# of Attempts: 85
Approaches from 150-175 yards,29' 8,135,EVEN,"Total Distance (feet): 2,404.417",# of Attempts: 81
Approaches from 125-150 yards,27' 2,165,EVEN,"Total Distance (feet): 1,523.083",# of Attempts: 56
Approaches from 50-125 yards,19' 11,134,EVEN,"Total Distance (feet): 1,933.833",# of Attempts: 97
Approaches from 100-125 yards,22' 1,149,EVEN,"Total Distance (feet): 1,102.500",# of Attempts: 50
Approaches from 75-100 yards,19' 0,123,EVEN,Total Distance (feet): 646.583,# of Attempts: 34
Approaches from 50-75 yards,14' 3,62,EVEN,Total Distance (feet): 184.750,# of Attempts: 13
Approaches from inside 100 yards,17' 1,92,EVEN,Total Distance (feet): 887.583,# of Attempts: 52
Approaches from > 100 yards,36' 3,148,EVEN,"Total Distance (feet): 13,993.083",# of Attempts: 386
Fairway Proximity,34' 0,136,EVEN,: ,Attempts: 438
Rough Proximity,46' 2,119,EVEN,"Total Distance (inches): 70,942",Attempts: 128
Left Rough Proximity,50' 2,165,EVEN,: ,Attempts: 46
Right Rough Proximity,43' 11,57,EVEN,: ,Attempts: 82
Approaches from > 275 yards (Rgh),95' 10,92,EVEN,Total Distance (feet): 287.417,# of Attempts: 3
Approaches from 250-275 yards (Rgh),70' 8,48,EVEN,Total Distance (feet): 141.250,# of Attempts: 2
Approaches from 225-250 yards (Rgh),72' 1,94,EVEN,Total Distance (feet): 865.333,# of Attempts: 12
Approaches from 200-225 yards (Rgh),56' 3,33,EVEN,Total Distance (feet): 506.583,# of Attempts: 9
Approaches from > 100 yards (Rgh),49' 5,112,EVEN,"Total Distance (feet): 5,140.917",# of Attempts: 104
Approaches from inside 100 yards (Rgh),32' 1,166,EVEN,Total Distance (feet): 770.917,# of Attempts: 24
Approaches from > 200 yards (Rgh),69' 3,53,EVEN,"Total Distance (feet): 1,800.583",# of Attempts: 26
Approaches from 175-200 yards (Rgh),47' 3,43,EVEN,Total Distance (feet): 944.750,# of Attempts: 20
Approaches from 150-175 yards (Rgh),46' 2,120,EVEN,Total Distance (feet): 554.000,# of Attempts: 12
Approaches from 125-150 yards (Rgh),42' 5,150,EVEN,"Total Distance (feet): 1,315.333",# of Attempts: 31
Approaches from 50-125 yards (Rgh),34' 1,164,EVEN,"Total Distance (feet): 1,228.083",# of Attempts: 36
Approaches from 100-125 yards (Rgh),35' 1,132,EVEN,Total Distance (feet): 526.250,# of Attempts: 15
Approaches from 75-100 yards (Rgh),36' 7,167,EVEN,Total Distance (feet): 622.083,# of Attempts: 17
Approaches from 50-75 yards (Rgh),19' 11,56,EVEN,Total Distance (feet): 79.750,# of Attempts: 4
Going for the Green,61.48%,64,EVEN,Attempts: 83,Non-Attempts: 52
Going for the Green - Hit Green Pct.,28.57%,18,EVEN,Successes: 24,Attempts: 84
Going for the Green - Birdie or Better,61.90%,53,EVEN,# of Birdie or Better: 52,Attempts: 84
Total Hole Outs,10,98,EVEN,: ,: 
Longest Hole Outs (in yards),125,48,EVEN,Tournament: Houston Open,Round- Course: 2
Scrambling,56.88%,135,EVEN,Par or Better: 157,Missed GIR: 276
Scrambling from the Rough,56.70%,90,EVEN,Successes: 55,Attempts: 97
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,30.43%,83,EVEN,Successes: 14,Attempts: 46
Scrambling from 20-30 yards,40.74%,163,EVEN,Successes: 22,Attempts: 54
Scrambling from 10-20 yards,67.39%,70,EVEN,Successes: 62,Attempts: 92
Scrambling from < 10 yards,85.29%,112,EVEN,Successes: 29,Attempts: 34
Sand Save Percentage,53.85%,135,EVEN,# Saves: 35,# Bunkers: 65
Proximity to Hole from Sand,8' 8,52,EVEN,Total Distance (feet): 433.583,# of Shots: 50
Total Putting,169.4,70,EVEN,: ,: 
Putting Average,1.744,59,EVEN,GIR Putts: 900,Greens Hit: 516
Overall Putting Average,1.602,82,EVEN,"# of Putts: 1,269",# of Holes: 792
Birdie or Better Conversion Percentage,34.56%,22,EVEN,# Birdies: 178,Greens Hit: 515
Putts Per Round,28.84,83,EVEN,"Total Putts: 1,269",Total Rounds: 44
Putts per Round - Round 1,28.58,59,EVEN,Total Putts: 343,Total Rounds: 12
Putts per Round - Round 2,28.50,58,EVEN,Total Putts: 342,Total Rounds: 12
Putts per Round - Round 3,28.70,81,EVEN,Total Putts: 287,Total Rounds: 10
Putts per Round - Round 4,29.70,143,EVEN,Total Putts: 297,Total Rounds: 10
One-Putt Percentage,40.66%,68,EVEN,# of 1 putts: 322,# of holes: 792
Longest Putts,48' 8,117,EVEN,Year/Tourn#: Mexico Open,Round: 1
3-Putt Avoidance,3.41%,139,EVEN,Total 3 Putts: 27,Total Holes (overall): 792
Putting from - > 25',6.51%,43,EVEN,Attempts: 169,Putts made: 11
Putting from - 20-25',12.50%,73,EVEN,Attempts: 40,Putts made: 5
Putting from - 15-20',15.87%,128,EVEN,Attempts: 63,Putts made: 10
Putting from - 10-15',33.70%,43,EVEN,Attempts: 92,Putts made: 31
Putting - Inside 10',87.87%,82,EVEN,Attempts: 643,Putts made: 565
Putting from 10',33.33%,135,EVEN,Attempts: 18,: 
Putting from 9',61.29%,6,EVEN,Attempts: 31,: 
Putting from 8',56.25%,68,EVEN,Attempts: 32,: 
Putting from 7',65.63%,45,EVEN,Attempts: 32,: 
Putting from 6',63.33%,147,EVEN,Attempts: 30,: 
Putting from 5',75.00%,148,EVEN,Attempts: 52,: 
Putting from 4-8',66.44%,117,EVEN,Attempts: 146,Putts made: 97
Putting from 4',96.97%,12,EVEN,Attempts: 66,: 
Putting from 3',99.21%,147,EVEN,Attempts: 382,: 
Average Distance of Putts made,75' 9,36,EVEN,"Total Dist. (inches): 31,803",Total Rounds: 35
Approach Putt Performance,2' 4,121,EVEN,: ,Attempts: 364
Scoring Average (Adjusted),71.042,89,EVEN,"Total Strokes: 3,088",Total Adjustment: 37.832
Scoring Average (Actual),70.18,57,EVEN,"Total Strokes: 3,088",Total Rounds: 44
Lowest Round,64,70,EVEN,Tourn/Course: RBC Canadian/TP,Round: 4
Birdie Average,4.09,29,EVEN,# of Birdies: 180,Total Rounds: 44
Total Birdies,180,105,EVEN,: ,: 
Eagles (Holes per),113.1,23,EVEN,# of Holes: 792,# of Eagles: 7
Total Eagles,7,36,EVEN,: ,: 
Par Breakers,23.61%,21,EVEN,# Birdies/Eagles: 187,# Holes: 792
Bounce Back,25.00%,25,EVEN,: ,: 
