Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.008,102,EVEN,Total SG:T: 0.490,Measured Rounds: 62
SG: Tee-to-Green,0.155,84,EVEN,SG:OTT: -0.301,Measured Rounds: 62
SG: Off-the-Tee,-0.301,143,EVEN,Total SG:OTT: -18.645,Measured Rounds: 62
SG: Approach the Green,0.656,8,EVEN,Total SG:APP: 40.692,Measured Rounds: 62
SG: Around-the-Green,-0.201,141,EVEN,Total SG:ARG: -12.438,Measured Rounds: 62
SG: Putting,-0.147,121,EVEN,Total SG:Putting: -9.119,Measured Rounds: 62
Longest Drives,357,339,EVEN,Tournament: Sony Open,Round: 3
Driving Distance,296.5,142,EVEN,"Total Distance: 43,293",Total Drives: 146
Driving Distance - All Drives,283.9,156,EVEN,"Total Distance: 242,422",# of Drives: 854
Driving Accuracy Percentage,63.59%,33,EVEN,Fairways Hit: 641,"Possible Fairways: 1,008"
Left Rough Tendency,11.76%,45,EVEN,Total Left rough: 100,Possible Fwys: 850
Right Rough Tendency,15.53%,95,EVEN,Total Right rough: 132,Possible Fwys: 850
Distance from Edge of Fairway,24' 8,42,EVEN,"Total Distance (Feet): 7,576.250",Total Strokes: 307
Club Head Speed,114.35,127,EVEN,"Total Club Head Speed: 25,155.92",Total Attempts: 220
Total Driving Efficiency,276,141,EVEN,: ,Carry Efficiency Rank: 156
Greens in Regulation Percentage,68.72%,39,EVEN,Greens Hit: 903,"# Holes: 1,314"
Proximity to Hole,36' 11,74,EVEN,"Total Distance (feet): 40,898.167","# of Attempts: 1,109"
Approaches from > 275 yards,76' 9,52,EVEN,"Total Distance (feet): 1,995.083",# of Attempts: 26
Approaches from 250-275 yards,63' 10,99,EVEN,"Total Distance (feet): 2,107.000",# of Attempts: 33
Approaches from 225-250 yards,53' 10,137,EVEN,"Total Distance (feet): 3,122.667",# of Attempts: 58
Approaches from 200-225 yards,37' 3,17,EVEN,"Total Distance (feet): 3,317.000",# of Attempts: 89
Approaches from > 200 yards,51' 2,109,EVEN,"Total Distance (feet): 10,541.750",# of Attempts: 206
Approaches from 175-200 yards,30' 0,9,EVEN,"Total Distance (feet): 5,362.917",# of Attempts: 179
Approaches from 150-175 yards,26' 6,34,EVEN,"Total Distance (feet): 4,212.583",# of Attempts: 159
Approaches from 125-150 yards,22' 7,55,EVEN,"Total Distance (feet): 2,667.333",# of Attempts: 118
Approaches from 50-125 yards,16' 7,10,EVEN,"Total Distance (feet): 2,126.000",# of Attempts: 128
Approaches from 100-125 yards,16' 11,9,EVEN,"Total Distance (feet): 1,405.167",# of Attempts: 83
Approaches from 75-100 yards,13' 11,5,EVEN,Total Distance (feet): 459.833,# of Attempts: 33
Approaches from 50-75 yards,21' 9,157,EVEN,Total Distance (feet): 261.000,# of Attempts: 12
Approaches from inside 100 yards,15' 11,50,EVEN,Total Distance (feet): 749.167,# of Attempts: 47
Approaches from > 100 yards,32' 6,34,EVEN,"Total Distance (feet): 24,189.750",# of Attempts: 745
Fairway Proximity,31' 6,49,EVEN,: ,Attempts: 792
Rough Proximity,47' 1,138,EVEN,"Total Distance (inches): 118,142",Attempts: 209
Left Rough Proximity,42' 6,39,EVEN,: ,Attempts: 99
Right Rough Proximity,51' 3,156,EVEN,: ,Attempts: 110
Approaches from > 275 yards (Rgh),82' 1,38,EVEN,Total Distance (feet): 574.333,# of Attempts: 7
Approaches from 250-275 yards (Rgh),79' 0,91,EVEN,Total Distance (feet): 632.167,# of Attempts: 8
Approaches from 225-250 yards (Rgh),76' 2,109,EVEN,"Total Distance (feet): 1,370.583",# of Attempts: 18
Approaches from 200-225 yards (Rgh),66' 4,94,EVEN,"Total Distance (feet): 1,061.083",# of Attempts: 16
Approaches from > 100 yards (Rgh),49' 1,101,EVEN,"Total Distance (feet): 9,372.750",# of Attempts: 191
Approaches from inside 100 yards (Rgh),26' 3,94,EVEN,Total Distance (feet): 472.417,# of Attempts: 18
Approaches from > 200 yards (Rgh),74' 3,106,EVEN,"Total Distance (feet): 3,638.167",# of Attempts: 49
Approaches from 175-200 yards (Rgh),44' 5,12,EVEN,"Total Distance (feet): 1,555.333",# of Attempts: 35
Approaches from 150-175 yards (Rgh),41' 8,40,EVEN,"Total Distance (feet): 2,043.500",# of Attempts: 49
Approaches from 125-150 yards (Rgh),40' 10,132,EVEN,"Total Distance (feet): 1,471.000",# of Attempts: 36
Approaches from 50-125 yards (Rgh),28' 10,83,EVEN,"Total Distance (feet): 1,124.583",# of Attempts: 39
Approaches from 100-125 yards (Rgh),30' 3,57,EVEN,Total Distance (feet): 664.750,# of Attempts: 22
Approaches from 75-100 yards (Rgh),26' 2,76,EVEN,Total Distance (feet): 261.333,# of Attempts: 10
Approaches from 50-75 yards (Rgh),28' 4,124,EVEN,Total Distance (feet): 198.500,# of Attempts: 7
Going for the Green,61.61%,72,EVEN,Attempts: 138,Non-Attempts: 86
Going for the Green - Hit Green Pct.,26.81%,44,EVEN,Successes: 37,Attempts: 138
