Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.755,24,EVEN,Total SG:T: 55.103,Measured Rounds: 73
SG: Tee-to-Green,0.791,20,EVEN,SG:OTT: -0.171,Measured Rounds: 73
SG: Off-the-Tee,-0.171,125,EVEN,Total SG:OTT: -12.459,Measured Rounds: 73
SG: Approach the Green,0.485,21,EVEN,Total SG:APP: 35.384,Measured Rounds: 73
SG: Around-the-Green,0.477,5,EVEN,Total SG:ARG: 34.797,Measured Rounds: 73
SG: Putting,-0.036,99,EVEN,Total SG:Putting: -2.618,Measured Rounds: 73
Longest Drives,414,16,EVEN,Tournament: Sentry,Round: 4
Driving Distance,300.5,110,EVEN,"Total Distance: 49,274",Total Drives: 164
Driving Distance - All Drives,292.7,96,EVEN,"Total Distance: 300,359","# of Drives: 1,026"
Driving Accuracy Percentage,57.55%,107,EVEN,Fairways Hit: 663,"Possible Fairways: 1,152"
Left Rough Tendency,14.76%,114,EVEN,Total Left rough: 150,"Possible Fwys: 1,016"
Right Rough Tendency,16.24%,109,EVEN,Total Right rough: 165,"Possible Fwys: 1,016"
Distance from Edge of Fairway,25' 11,60,EVEN,"Total Distance (Feet): 10,760.083",Total Strokes: 415
Club Head Speed,115.55,105,EVEN,"Total Club Head Speed: 41,713.25",Total Attempts: 361
Total Driving Efficiency,124,61,EVEN,: ,Carry Efficiency Rank: 65
Greens in Regulation Percentage,65.45%,104,EVEN,Greens Hit: 966,"# Holes: 1,476"
Proximity to Hole,34' 5,8,EVEN,"Total Distance (feet): 44,807.917","# of Attempts: 1,303"
Approaches from > 275 yards,70' 9,22,EVEN,"Total Distance (feet): 1,274.167",# of Attempts: 18
Approaches from 250-275 yards,57' 11,50,EVEN,"Total Distance (feet): 1,911.750",# of Attempts: 33
Approaches from 225-250 yards,45' 0,15,EVEN,"Total Distance (feet): 2,926.333",# of Attempts: 65
Approaches from 200-225 yards,37' 9,23,EVEN,"Total Distance (feet): 5,061.667",# of Attempts: 134
Approaches from > 200 yards,44' 8,6,EVEN,"Total Distance (feet): 11,173.917",# of Attempts: 250
Approaches from 175-200 yards,29' 9,8,EVEN,"Total Distance (feet): 4,579.000",# of Attempts: 154
Approaches from 150-175 yards,25' 10,17,EVEN,"Total Distance (feet): 4,669.000",# of Attempts: 181
Approaches from 125-150 yards,22' 7,55,EVEN,"Total Distance (feet): 3,297.083",# of Attempts: 146
Approaches from 50-125 yards,16' 7,10,EVEN,"Total Distance (feet): 3,118.667",# of Attempts: 188
Approaches from 100-125 yards,18' 6,38,EVEN,"Total Distance (feet): 2,037.083",# of Attempts: 110
Approaches from 75-100 yards,14' 10,16,EVEN,Total Distance (feet): 787.583,# of Attempts: 53
Approaches from 50-75 yards,11' 9,19,EVEN,Total Distance (feet): 294.000,# of Attempts: 25
Approaches from inside 100 yards,14' 0,4,EVEN,"Total Distance (feet): 1,130.917",# of Attempts: 81
Approaches from > 100 yards,30' 8,4,EVEN,"Total Distance (feet): 25,756.083",# of Attempts: 841
Fairway Proximity,29' 2,4,EVEN,: ,Attempts: 922
Rough Proximity,45' 1,85,EVEN,"Total Distance (inches): 153,132",Attempts: 283
Left Rough Proximity,43' 0,48,EVEN,: ,Attempts: 133
Right Rough Proximity,47' 0,110,EVEN,: ,Attempts: 150
Approaches from > 275 yards (Rgh),83' 1,42,EVEN,Total Distance (feet): 332.167,# of Attempts: 4
Approaches from 250-275 yards (Rgh),65' 10,31,EVEN,Total Distance (feet): 658.667,# of Attempts: 10
Approaches from 225-250 yards (Rgh),63' 10,34,EVEN,Total Distance (feet): 766.167,# of Attempts: 12
Approaches from 200-225 yards (Rgh),66' 3,93,EVEN,"Total Distance (feet): 1,590.667",# of Attempts: 24
Approaches from > 100 yards (Rgh),47' 5,58,EVEN,"Total Distance (feet): 11,847.750",# of Attempts: 250
Approaches from inside 100 yards (Rgh),27' 8,125,EVEN,Total Distance (feet): 913.250,# of Attempts: 33
Approaches from > 200 yards (Rgh),66' 11,31,EVEN,"Total Distance (feet): 3,347.667",# of Attempts: 50
Approaches from 175-200 yards (Rgh),45' 5,20,EVEN,"Total Distance (feet): 1,953.833",# of Attempts: 43
Approaches from 150-175 yards (Rgh),44' 5,77,EVEN,"Total Distance (feet): 3,022.167",# of Attempts: 68
Approaches from 125-150 yards (Rgh),40' 4,125,EVEN,"Total Distance (feet): 2,377.417",# of Attempts: 59
Approaches from 50-125 yards (Rgh),32' 9,148,EVEN,"Total Distance (feet): 2,029.917",# of Attempts: 62
Approaches from 100-125 yards (Rgh),38' 3,157,EVEN,"Total Distance (feet): 1,146.667",# of Attempts: 30
Approaches from 75-100 yards (Rgh),32' 1,146,EVEN,Total Distance (feet): 577.583,# of Attempts: 18
Approaches from 50-75 yards (Rgh),21' 10,56,EVEN,Total Distance (feet): 305.667,# of Attempts: 14
Going for the Green,56.92%,117,EVEN,Attempts: 148,Non-Attempts: 112
Going for the Green - Hit Green Pct.,28.38%,30,EVEN,Successes: 42,Attempts: 148
Going for the Green - Birdie or Better,66.22%,13,EVEN,# of Birdie or Better: 98,Attempts: 148
Total Hole Outs,25,7,EVEN,: ,: 
Longest Hole Outs (in yards),107,87,EVEN,Tournament: Sentry,Round- Course: 4
Scrambling,64.90%,6,EVEN,Par or Better: 331,Missed GIR: 510
Scrambling from the Rough,63.28%,14,EVEN,Successes: 112,Attempts: 177
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,34.21%,37,EVEN,Successes: 26,Attempts: 76
Scrambling from 20-30 yards,58.75%,31,EVEN,Successes: 47,Attempts: 80
Scrambling from 10-20 yards,73.66%,6,EVEN,Successes: 165,Attempts: 224
Scrambling from < 10 yards,89.61%,50,EVEN,Successes: 69,Attempts: 77
Sand Save Percentage,71.32%,1,EVEN,# Saves: 97,# Bunkers: 136
Proximity to Hole from Sand,7' 8,6,EVEN,Total Distance (feet): 893.750,# of Shots: 116
Total Putting,197.2,103,EVEN,: ,: 
Putting Average,1.751,66,EVEN,"GIR Putts: 1,691",Greens Hit: 966
Overall Putting Average,1.581,24,EVEN,"# of Putts: 2,334","# of Holes: 1,476"
Birdie or Better Conversion Percentage,33.26%,32,EVEN,# Birdies: 320,Greens Hit: 962
Putts Per Round,28.46,24,EVEN,"Total Putts: 2,334",Total Rounds: 82
Putts per Round - Round 1,28.36,25,EVEN,Total Putts: 624,Total Rounds: 22
Putts per Round - Round 2,28.59,49,EVEN,Total Putts: 629,Total Rounds: 22
Putts per Round - Round 3,28.53,52,EVEN,Total Putts: 542,Total Rounds: 19
Putts per Round - Round 4,28.37,40,EVEN,Total Putts: 539,Total Rounds: 19
One-Putt Percentage,42.14%,23,EVEN,# of 1 putts: 622,"# of holes: 1,476"
Longest Putts,43' 11,202,EVEN,Year/Tourn#: Charles Schwab,Round: 3
3-Putt Avoidance,3.66%,147,EVEN,Total 3 Putts: 54,"Total Holes (overall): 1,476"
Putting from - > 25',4.93%,110,EVEN,Attempts: 284,Putts made: 14
