Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.904,-,EVEN,Total SG:T: -36.170,Measured Rounds: 19
SG: Tee-to-Green,-1.480,-,EVEN,SG:OTT: -0.738,Measured Rounds: 19
SG: Off-the-Tee,-0.738,-,EVEN,Total SG:OTT: -14.019,Measured Rounds: 19
SG: Approach the Green,-1.009,-,EVEN,Total SG:APP: -19.164,Measured Rounds: 19
SG: Around-the-Green,0.266,-,EVEN,Total SG:ARG: 5.062,Measured Rounds: 19
SG: Putting,-0.424,-,EVEN,Total SG:Putting: -8.051,Measured Rounds: 19
Longest Drives,373,208,EVEN,Tournament: Valero,Round: 1
Driving Distance,299.8,-,EVEN,"Total Distance: 11,993",Total Drives: 40
Driving Distance - All Drives,293.6,-,EVEN,"Total Distance: 76,933",# of Drives: 262
Driving Accuracy Percentage,46.74%,-,EVEN,Fairways Hit: 129,Possible Fairways: 276
Left Rough Tendency,20.48%,-,EVEN,Total Left rough: 51,Possible Fwys: 249
Right Rough Tendency,16.06%,-,EVEN,Total Right rough: 40,Possible Fwys: 249
Distance from Edge of Fairway,41' 0,-,EVEN,"Total Distance (Feet): 5,449.000",Total Strokes: 133
Club Head Speed,115.72,-,EVEN,"Total Club Head Speed: 10,067.48",Total Attempts: 87
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,58.33%,-,EVEN,Greens Hit: 210,# Holes: 360
Proximity to Hole,43' 10,-,EVEN,"Total Distance (feet): 14,911.167",# of Attempts: 340
Approaches from > 275 yards,135' 3,-,EVEN,"Total Distance (feet): 1,216.917",# of Attempts: 9
Approaches from 250-275 yards,59' 7,-,EVEN,Total Distance (feet): 357.417,# of Attempts: 6
Approaches from 225-250 yards,57' 1,-,EVEN,Total Distance (feet): 456.583,# of Attempts: 8
Approaches from 200-225 yards,51' 5,-,EVEN,"Total Distance (feet): 1,594.167",# of Attempts: 31
Approaches from > 200 yards,67' 2,-,EVEN,"Total Distance (feet): 3,625.083",# of Attempts: 54
Approaches from 175-200 yards,36' 1,-,EVEN,"Total Distance (feet): 1,479.333",# of Attempts: 41
Approaches from 150-175 yards,31' 3,-,EVEN,"Total Distance (feet): 1,345.417",# of Attempts: 43
Approaches from 125-150 yards,24' 6,-,EVEN,Total Distance (feet): 685.583,# of Attempts: 28
Approaches from 50-125 yards,19' 8,-,EVEN,"Total Distance (feet): 1,002.667",# of Attempts: 51
Approaches from 100-125 yards,20' 2,-,EVEN,Total Distance (feet): 484.917,# of Attempts: 24
Approaches from 75-100 yards,22' 2,-,EVEN,Total Distance (feet): 466.167,# of Attempts: 21
Approaches from 50-75 yards,8' 7,-,EVEN,Total Distance (feet): 51.583,# of Attempts: 6
Approaches from inside 100 yards,19' 2,-,EVEN,Total Distance (feet): 517.750,# of Attempts: 27
Approaches from > 100 yards,40' 1,-,EVEN,"Total Distance (feet): 7,620.333",# of Attempts: 190
Fairway Proximity,37' 6,-,EVEN,: ,Attempts: 217
Rough Proximity,50' 8,-,EVEN,"Total Distance (inches): 52,930",Attempts: 87
Left Rough Proximity,52' 6,-,EVEN,: ,Attempts: 51
Right Rough Proximity,48' 2,-,EVEN,: ,Attempts: 36
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),101' 2,-,EVEN,Total Distance (feet): 506.000,# of Attempts: 5
Approaches from 225-250 yards (Rgh),84' 5,-,EVEN,Total Distance (feet): 591.167,# of Attempts: 7
Approaches from 200-225 yards (Rgh),73' 7,-,EVEN,Total Distance (feet): 736.167,# of Attempts: 10
Approaches from > 100 yards (Rgh),56' 7,-,EVEN,"Total Distance (feet): 4,017.917",# of Attempts: 71
Approaches from inside 100 yards (Rgh),24' 7,-,EVEN,Total Distance (feet): 392.917,# of Attempts: 16
Approaches from > 200 yards (Rgh),83' 4,-,EVEN,"Total Distance (feet): 1,833.333",# of Attempts: 22
