Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,1.200,8,EVEN,Total SG:T: 69.601,Measured Rounds: 58
SG: Tee-to-Green,0.963,12,EVEN,SG:OTT: 0.273,Measured Rounds: 58
SG: Off-the-Tee,0.273,42,EVEN,Total SG:OTT: 15.844,Measured Rounds: 58
SG: Approach the Green,0.684,7,EVEN,Total SG:APP: 39.701,Measured Rounds: 58
SG: Around-the-Green,0.006,93,EVEN,Total SG:ARG: 0.333,Measured Rounds: 58
SG: Putting,0.237,38,EVEN,Total SG:Putting: 13.725,Measured Rounds: 58
Longest Drives,403,38,EVEN,Tournament: Truist,Round: 3
Driving Distance,304.7,61,EVEN,"Total Distance: 39,612",Total Drives: 130
Driving Distance - All Drives,291.8,98,EVEN,"Total Distance: 236,340",# of Drives: 810
Driving Accuracy Percentage,62.00%,53,EVEN,Fairways Hit: 563,Possible Fairways: 908
Left Rough Tendency,11.01%,26,EVEN,Total Left rough: 89,Possible Fwys: 808
Right Rough Tendency,16.58%,106,EVEN,Total Right rough: 134,Possible Fwys: 808
Distance from Edge of Fairway,23' 3,23,EVEN,"Total Distance (Feet): 7,187.583",Total Strokes: 309
Club Head Speed,116.30,88,EVEN,"Total Club Head Speed: 30,820.19",Total Attempts: 265
Total Driving Efficiency,161,79,EVEN,: ,Carry Efficiency Rank: 94
Greens in Regulation Percentage,68.38%,36,EVEN,Greens Hit: 800,"# Holes: 1,170"
Proximity to Hole,35' 6,18,EVEN,"Total Distance (feet): 36,800.750","# of Attempts: 1,037"
Approaches from > 275 yards,88' 5,128,EVEN,"Total Distance (feet): 1,591.500",# of Attempts: 18
Approaches from 250-275 yards,69' 5,132,EVEN,"Total Distance (feet): 1,665.583",# of Attempts: 24
Approaches from 225-250 yards,48' 6,59,EVEN,"Total Distance (feet): 2,862.500",# of Attempts: 59
Approaches from 200-225 yards,43' 3,117,EVEN,"Total Distance (feet): 3,806.250",# of Attempts: 88
Approaches from > 200 yards,52' 6,115,EVEN,"Total Distance (feet): 9,925.833",# of Attempts: 189
Approaches from 175-200 yards,33' 4,68,EVEN,"Total Distance (feet): 4,600.917",# of Attempts: 138
Approaches from 150-175 yards,29' 0,111,EVEN,"Total Distance (feet): 4,002.000",# of Attempts: 138
Approaches from 125-150 yards,21' 8,20,EVEN,"Total Distance (feet): 2,928.167",# of Attempts: 135
Approaches from 50-125 yards,18' 7,80,EVEN,"Total Distance (feet): 2,879.000",# of Attempts: 155
Approaches from 100-125 yards,18' 10,45,EVEN,"Total Distance (feet): 1,899.583",# of Attempts: 101
Approaches from 75-100 yards,19' 8,129,EVEN,Total Distance (feet): 904.750,# of Attempts: 46
Approaches from 50-75 yards,9' 4,5,EVEN,Total Distance (feet): 74.667,# of Attempts: 8
Approaches from inside 100 yards,17' 11,117,EVEN,"Total Distance (feet): 1,095.167",# of Attempts: 61
Approaches from > 100 yards,33' 4,36,EVEN,"Total Distance (feet): 23,356.500",# of Attempts: 701
Fairway Proximity,32' 1,46,EVEN,: ,Attempts: 762
Rough Proximity,43' 7,49,EVEN,"Total Distance (inches): 100,340",Attempts: 192
Left Rough Proximity,44' 1,80,EVEN,: ,Attempts: 80
Right Rough Proximity,43' 2,47,EVEN,: ,Attempts: 112
Approaches from > 275 yards (Rgh),93' 11,89,EVEN,Total Distance (feet): 281.667,# of Attempts: 3
Approaches from 250-275 yards (Rgh),86' 2,123,EVEN,Total Distance (feet): 603.333,# of Attempts: 7
Approaches from 225-250 yards (Rgh),70' 3,83,EVEN,Total Distance (feet): 632.083,# of Attempts: 9
Approaches from 200-225 yards (Rgh),87' 6,166,EVEN,Total Distance (feet): 875.167,# of Attempts: 10
Approaches from > 100 yards (Rgh),46' 1,36,EVEN,"Total Distance (feet): 7,793.167",# of Attempts: 169
Approaches from inside 100 yards (Rgh),24' 9,92,EVEN,Total Distance (feet): 568.500,# of Attempts: 23
Approaches from > 200 yards (Rgh),82' 6,163,EVEN,"Total Distance (feet): 2,392.250",# of Attempts: 29
Approaches from 175-200 yards (Rgh),44' 10,29,EVEN,"Total Distance (feet): 1,344.500",# of Attempts: 30
Approaches from 150-175 yards (Rgh),40' 7,36,EVEN,"Total Distance (feet): 1,907.083",# of Attempts: 47
